date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Delta Satellite Facility,Delta TVC,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TRANSITIONAL HOUSING,Madison,Noxubee,Rankin/Flowood,Washington,Wilkinson,TOTALS
Capacity,"3,560","4,131",58,0,"3,082","1,793","1,372",0,0,124,324,96,102,102,0,0,0,0,62,58,93,93,178,28,50,0,0,0,62,0,"4,556",300,369,280,310,342,280,274,280,355,280,280,326,300,280,300,"5,472",472,"1,500","1,000","1,500","1,000",10,0,6,4,122,40,34,8,42,40,"24,156"
1-Feb-19,"3,239","3,738",35,0,"2,884","1,264",994,0,0,86,249,53,77,46,0,0,0,0,59,49,81,59,147,16,21,0,0,0,51,0,"3,938",254,292,279,249,306,204,267,278,292,266,279,277,165,264,266,"3,139",0,"1,206",998,0,935,7,0,4,3,17,2,12,3,0,0,"19,255"
2-Feb-19,"3,239","3,738",35,0,"2,884","1,264",994,0,0,86,249,53,77,46,0,0,0,0,59,49,81,59,147,16,21,0,0,0,51,0,"3,932",254,292,279,249,306,204,267,278,292,266,273,277,165,264,266,"3,139",0,"1,206",998,0,935,7,0,4,3,17,2,12,3,0,0,"19,249"
3-Feb-19,"3,240","3,736",35,0,"2,884","1,264",993,0,0,86,248,53,77,46,0,0,0,0,59,49,81,59,147,16,21,0,0,0,51,0,"3,938",254,292,279,249,306,204,267,278,292,266,279,277,165,264,266,"3,139",0,"1,206",998,0,935,7,0,4,3,17,2,12,3,0,0,"19,253"
4-Feb-19,"3,213","3,750",34,0,"2,884","1,251","1,030",0,0,85,275,56,76,46,0,0,0,0,59,50,81,60,153,16,21,0,0,0,52,0,"4,004",263,290,278,257,327,212,267,278,315,267,280,277,165,262,266,"3,138",0,"1,200","1,000",0,938,7,0,4,3,18,2,12,4,0,0,"19,329"
5-Feb-19,"3,226","3,752",35,0,"2,810","1,263","1,024",0,0,86,266,56,76,49,0,0,0,0,61,49,81,60,153,16,20,0,0,0,51,0,"4,036",272,290,278,264,341,211,267,279,314,269,280,276,164,262,269,"3,123",0,"1,199",999,0,925,7,0,4,3,17,2,13,2,0,0,"19,293"
6-Feb-19,"3,230","3,699",35,0,"2,808","1,265","1,056",0,0,86,291,56,77,49,0,0,0,0,61,49,84,65,152,15,20,0,0,0,51,0,"4,102",283,290,281,275,341,220,272,279,313,275,279,276,164,271,283,"3,198",0,"1,208",995,0,995,7,0,4,3,18,3,13,2,0,0,"19,418"
7-Feb-19,"3,235","3,712",35,0,"2,776","1,278","1,050",0,0,86,290,54,75,49,0,0,0,0,61,49,84,65,152,14,19,0,0,0,52,0,"4,122",282,293,279,275,340,218,270,278,343,273,279,274,164,271,283,"3,129",0,"1,210",994,0,925,7,0,4,3,18,2,12,4,0,0,"19,362"
8-Feb-19,"3,243","3,729",36,0,"2,720","1,272","1,059",0,0,86,290,55,77,55,0,0,0,0,60,49,78,65,157,16,19,0,0,0,52,0,"4,140",291,293,279,275,339,228,273,278,342,272,279,274,164,271,282,"3,137",0,"1,205",993,0,939,7,0,4,3,18,2,12,4,0,0,"19,361"
9-Feb-19,"3,243","3,729",36,0,"2,720","1,272","1,058",0,0,86,290,54,77,55,0,0,0,0,60,49,78,65,157,16,19,0,0,0,52,0,"4,140",291,293,279,275,339,228,273,278,342,272,279,274,164,271,282,"3,137",0,"1,205",993,0,939,7,0,4,3,18,2,12,4,0,0,"19,360"
