date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,627","3,665","3,204","1,722","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,088",294,280,280,280,274,280,280,280,280,280,280,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"24,148"
10-Jan-09,"4,085","3,444","3,127","1,769","1,707",80,94,90,100,99,93,94,94,96,84,88,81,246,89,93,89,97,"3,017",276,277,275,278,268,274,274,271,272,279,273,"5,497",954,"1,362",982,"1,223",976,8,4,2,2,6,108,"22,768"
11-Jan-09,"4,084","3,446","3,126","1,769","1,709",80,94,90,100,99,93,94,94,96,84,88,81,246,89,95,89,97,"3,017",276,277,275,278,268,274,274,271,272,279,273,"5,491",952,"1,360",982,"1,223",974,10,4,4,2,6,104,"22,762"
12-Jan-09,"4,084","3,453","3,131","1,766","1,781",90,99,95,102,99,99,97,98,101,87,92,90,245,97,97,94,99,"3,007",276,276,275,278,265,273,274,271,271,276,272,"5,495",954,"1,362",981,"1,226",972,12,4,4,4,6,11,"22,746"
13-Jan-09,"4,094","3,483","3,131","1,735","1,779",90,99,95,102,98,99,97,98,101,87,92,88,249,96,97,92,99,"3,002",280,276,275,278,258,273,273,270,271,276,272,"5,488",956,"1,359",979,"1,223",971,12,4,4,4,6,9,"22,739"
14-Jan-09,"4,104","3,524","3,133","1,682","1,773",90,99,95,101,97,99,94,98,101,87,92,88,249,95,97,92,99,"2,998",280,276,275,278,257,272,273,270,271,274,272,"5,505",957,"1,361",982,"1,230",975,12,4,4,4,6,9,"22,746"
15-Jan-09,"4,098","3,556","3,141","1,648","1,770",90,99,95,96,96,97,98,97,101,91,92,88,248,94,97,92,99,"2,993",279,275,274,278,257,272,273,270,270,274,271,"5,504",958,"1,360",983,"1,228",975,12,4,4,4,6,9,"22,737"
16-Jan-09,"4,094","3,556","3,130","1,682","1,695",81,92,91,96,94,90,92,89,100,86,90,84,245,85,94,91,95,"2,985",279,275,272,277,257,272,273,269,270,271,270,"5,496",957,"1,357",983,"1,223",976,9,3,3,3,6,85,"22,738"
17-Jan-09,"4,092","3,555","3,129","1,682","1,691",81,91,91,96,94,90,91,89,100,86,90,84,244,85,94,90,95,"2,983",279,275,272,277,255,272,273,269,270,271,270,"5,491",956,"1,355",983,"1,222",975,9,3,3,3,6,85,"22,723"
18-Jan-09,"4,090","3,554","3,129","1,682","1,689",81,90,91,96,94,90,91,89,100,86,89,84,244,85,94,90,95,"2,982",279,275,272,277,254,272,273,269,270,271,270,"5,490",956,"1,355",982,"1,222",975,9,3,3,3,6,86,"22,717"
