Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,469",58,350,"3,282","1,973","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,710"
19-Nov-14,"3,155","2,213",33,92,"2,638","1,517","1,098",86,52,48,51,44,45,43,51,51,67,88,57,180,98,53,42,42,"4,224",298,355,262,301,262,267,254,255,331,259,278,271,283,262,286,"4,337",0,"1,184",998,"1,297",858,7,3,3,1,0,,"19,314"
20-Nov-14,"3,162","2,225",33,91,"2,636","1,494","1,109",85,52,58,51,43,45,43,51,52,68,88,54,182,94,54,41,48,"4,220",297,356,261,301,261,267,251,253,330,258,278,271,283,267,286,"4,335",0,"1,181",999,"1,298",857,7,3,3,1,,,"19,312"
Capacity,"4,648","3,469",58,350,"3,282","1,985","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,722"
21-Nov-14,"3,156","2,252",33,91,"2,623","1,503","1,112",82,53,57,51,48,45,45,53,52,68,87,54,181,93,54,41,48,"4,210",297,354,259,300,260,267,252,257,329,256,277,270,282,264,286,"4,338",0,"1,181",999,"1,300",858,10,3,6,1,0,0,"19,328"
22-Nov-14,"3,155","2,253",33,91,"2,624","1,503","1,110",82,52,57,51,48,44,45,53,52,68,87,54,181,93,54,41,48,"4,203",297,354,258,298,259,267,252,257,329,256,276,270,282,264,284,"4,334",0,"1,179",999,"1,298",858,10,3,6,1,,,"19,316"
23-Nov-14,"3,129","2,248",33,88,"2,622","1,503","1,107",82,52,57,51,48,43,45,53,52,68,86,54,181,93,54,40,48,"4,201",297,354,258,298,259,267,252,256,329,255,276,270,282,264,284,"4,335",0,"1,180",999,"1,298",858,10,3,6,1,0,0,"19,276"
24-Nov-14,"3,154","2,215",32,88,"2,634","1,532","1,101",82,52,57,51,47,43,45,53,52,68,84,54,180,92,54,40,47,"4,208",297,359,258,299,258,268,255,259,328,254,275,270,280,264,284,"4,337",0,"1,181","1,000","1,298",858,10,3,6,1,0,0,"19,311"
25-Nov-14,"3,160","2,193",34,85,"2,632","1,551","1,112",79,52,57,53,52,44,45,56,52,68,85,50,181,93,54,40,51,"4,225",297,360,262,299,262,268,254,259,331,256,276,269,280,266,286,"4,334",0,"1,181","1,000","1,298",855,7,3,3,1,0,0,"19,333"
26-Nov-14,"3,162","2,225",34,86,"2,632","1,496","1,111",78,52,57,54,50,47,47,54,52,68,83,51,181,92,54,40,51,"4,225",300,360,263,300,262,266,257,259,330,254,276,269,282,264,283,"4,322",0,"1,177",999,"1,292",854,7,3,3,1,,,"19,300"
27-Nov-14,"3,159","2,223",34,85,"2,616","1,512","1,109",77,52,57,54,50,47,47,53,52,68,83,51,181,92,54,40,51,"4,224",300,360,263,300,262,266,257,259,330,254,276,269,282,264,282,"4,323",0,"1,177","1,000","1,292",854,6,3,3,0,0,0,"19,291"
