date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"3,590","3,818",58,,"3,082","1,781","1,348",0,0,96,102,102,0,0,82,20,102,92,93,93,182,28,50,82,20,102,102,0,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"24,103"
11-Aug-16,"3,341","3,436",33,7,"2,985","1,551","1,055",0,0,76,87,62,0,0,60,18,76,82,84,88,157,10,21,61,15,84,74,0,"3,517",237,292,239,238,200,199,268,269,256,196,200,269,217,199,238,"3,600",0,"1,171",998,544,887,10,4,5,1,"19,535"
12-Aug-16,"3,337","3,477",33,10,"2,985","1,567","1,056",0,0,69,86,64,0,0,68,17,74,80,84,84,156,10,23,69,15,84,73,0,"3,523",240,294,240,240,200,199,270,269,256,196,200,269,217,196,237,"3,550",0,"1,172",997,494,887,9,4,4,1,"19,547"
13-Aug-16,"3,332","3,476",33,10,"2,985","1,567","1,054",0,0,69,86,64,0,0,68,17,73,80,84,87,156,10,23,66,15,83,73,0,"3,522",239,294,240,240,200,199,270,269,256,196,200,269,217,196,237,"3,548",0,"1,172",996,494,886,9,4,4,1,"19,536"
14-Aug-16,"3,331","3,474",33,11,"2,984","1,567","1,050",0,0,69,86,64,0,0,66,17,73,80,84,87,156,10,23,64,15,83,73,0,"3,517",239,293,239,240,199,199,270,269,256,195,200,269,217,196,236,"3,547",0,"1,172",996,493,886,9,4,4,1,"19,523"
15-Aug-16,"3,346","3,478",32,10,"2,982","1,580","1,051",0,0,71,88,63,0,0,66,17,72,82,85,88,154,10,21,64,15,83,72,0,"3,497",236,292,236,240,198,196,268,267,255,195,200,267,216,196,235,"3,531",0,"1,171",995,480,885,10,5,4,1,"19,517"
16-Aug-16,"3,334","3,506",32,10,"2,977","1,549","1,042",0,0,70,87,63,0,0,66,17,71,81,84,88,154,10,21,63,15,82,70,0,"3,511",234,293,240,239,195,197,269,270,255,200,200,265,214,200,240,"3,525",0,"1,169",994,478,884,12,5,4,3,"19,498"
17-Aug-16,"3,340","3,469",32,10,"2,985","1,546","1,044",0,0,70,87,62,0,0,63,17,71,81,90,87,156,10,20,61,15,86,68,0,"3,524",240,293,240,240,198,197,269,270,259,199,200,268,214,199,238,"3,544",0,"1,169",999,478,898,12,5,4,3,"19,506"
18-Aug-16,"3,329","3,471",34,10,"2,976","1,557","1,035",0,0,70,86,61,0,0,61,19,75,79,89,84,155,10,20,61,15,85,65,0,"3,526",240,291,235,240,200,198,268,269,260,200,200,271,215,200,239,"3,537",0,"1,167",997,477,896,12,5,4,3,"19,487"
19-Aug-16,"3,367","3,444",34,10,"2,984","1,560","1,047",0,0,69,85,61,0,0,70,19,73,78,89,84,153,10,23,68,15,84,66,0,"3,528",240,290,240,240,200,198,267,269,260,200,199,270,214,200,241,"3,513",0,"1,167",998,453,895,12,5,4,3,"19,499"
