Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TRANSITIONAL HOUSING,Madison,Noxubee,Rankin/Flowood,Washington,Wilkinson,TOTALS
Capacity,3590,"3,882",58,,"3,082","1,781","1,348",0,0,96,102,102,0,0,82,20,102,92,93,93,182,28,50,82,20,102,102,0,"4,494",300,369,280,310,280,280,274,280,355,280,280,326,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,,,,,,,"24,223"
22-Apr-17,3369,"3,394",29,19,"3,055","1,304",991,0,0,82,78,78,0,0,79,14,62,48,88,67,161,4,28,79,18,49,56,0,"3,809",239,293,264,286,222,222,274,278,350,199,223,261,234,224,240,"3,035",0,"1,153",999,0,883,14,6,5,3,,,,,,,"19,019"
23-Apr-17,3369,"3,399",29,19,"3,052","1,304",990,0,0,82,78,78,0,0,78,14,62,48,88,67,161,4,28,79,18,49,56,0,"3,809",239,293,264,286,222,222,274,278,350,199,223,261,234,224,240,"3,035",0,"1,153",999,0,883,14,6,5,3,,,,,,,"19,020"
24-Apr-17,3369,"3,396",29,19,"3,049","1,308",990,0,0,82,79,78,0,0,78,14,62,49,88,67,159,4,28,79,18,49,56,0,"3,806",239,292,264,286,222,221,274,278,350,199,223,260,234,224,240,"3,035",0,"1,153",999,0,883,14,6,5,3,,,,,,,"19,015"
Capacity,"3,590","3,710",58,,"3,082","1,781","1,348",0,0,96,102,102,0,0,82,20,102,92,93,93,182,28,50,82,20,102,102,0,"4,494",300,369,280,310,280,280,274,280,355,280,280,326,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,164,40,34,8,42,40,"24,215"
25-Apr-17,"3,362","3,402",30,13,"3,043","1,299",987,0,0,0,84,80,80,0,74,14,62,48,88,66,160,4,26,78,17,54,52,0,"3,810",239,291,264,286,222,221,274,278,352,199,226,261,233,224,240,"3,038",0,"1,158",999,0,881,14,6,5,3,69,18,22,2,23,4,"19,067"
26-Apr-17,"3,366","3,392",30,9,"3,041","1,285",981,0,0,84,80,78,0,0,73,13,62,47,89,66,159,4,26,76,18,54,52,0,"3,821",240,294,264,288,224,224,274,280,351,198,226,261,233,224,240,"3,057",0,"1,177","1,000",0,880,14,6,5,3,67,17,21,2,23,4,"19,063"
27-Apr-17,"3,366","3,361",30,9,"3,047","1,303",973,0,0,84,80,80,0,0,73,13,62,47,88,65,158,4,25,73,16,54,51,0,"3,808",240,292,264,288,222,222,274,276,349,197,226,264,232,224,238,"3,072",0,"1,195",998,0,879,13,5,5,3,67,17,21,2,23,4,"19,049"
28-Apr-17,"3,353","3,355",30,13,"3,047","1,305",974,0,0,85,78,79,0,0,78,14,62,47,86,65,156,4,25,77,14,54,50,0,"3,804",239,291,264,288,222,222,272,278,349,198,225,264,232,222,238,"3,074",0,"1,195","1,000",0,879,13,5,5,3,67,17,21,2,23,4,"19,035"
29-Apr-17,"3,353","3,356",30,13,"3,048","1,305",973,0,0,85,78,79,0,0,78,14,62,47,86,65,156,4,25,74,16,54,50,0,"3,802",239,291,264,288,222,222,272,278,348,198,225,264,232,222,237,"3,072",0,"1,195",998,0,879,13,5,5,3,67,17,21,2,23,4,"19,032"
30-Apr-17,"3,350","3,351",30,13,"3,048","1,305",972,0,0,85,78,79,0,0,78,14,62,47,86,65,156,4,25,73,16,54,50,0,"3,801",239,291,264,288,222,222,272,278,348,198,225,264,232,222,236,"3,073",0,"1,195",999,0,879,13,5,5,3,67,17,21,2,23,4,"19,023"
Avg Population,3376,3413,31,15,3056,1358,1013,0,0,83,80,80,3,0,76,15,65,55,88,71,162,5,22,75,18,56,57,0,3831,241,295,264,287,224,224,273,278,349,201,226,266,238,224,240,3141,31,1176,998,48,887,14,6,5,3,67,17,21,2,23,4,19113
