date_raw,Mississippi State Penitentiary,MSP TVC,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,SMCI TVC,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"4,648",108,"3,469",58,158,"3,282",0,"1,995","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"25,726"
10-Feb-15,"3,150",85,"2,356",27,114,"2,421",94,"1,474","1,064",57,55,50,54,50,52,53,49,46,65,75,61,169,100,42,38,48,"4,216",296,353,271,298,262,261,266,258,335,260,272,278,260,259,287,"4,016",0,"1,177",995,957,887,6,4,1,1,"19,023"
11-Feb-15,"3,148",83,"2,366",27,113,"2,422",93,"1,483","1,054",56,55,50,54,48,53,53,48,46,65,75,60,167,100,42,35,47,"4,220",295,355,271,297,261,261,266,259,335,262,273,278,259,265,283,"4,014",0,"1,176",995,956,887,6,4,1,1,"19,029"
12-Feb-15,"3,130",82,"2,381",27,113,"2,417",90,"1,508","1,046",55,55,50,54,45,53,53,47,44,64,78,60,163,99,43,35,48,"4,210",299,352,271,300,259,261,261,259,329,262,273,278,259,265,282,"4,015",0,"1,176",997,955,887,6,4,1,1,"19,025"
13-Feb-15,"3,128",81,"2,379",27,109,"2,410",90,"1,540","1,014",51,48,47,53,43,45,50,45,43,60,77,60,169,94,44,40,45,"4,185",299,351,271,300,256,259,259,258,328,262,272,277,247,265,281,"4,010",0,"1,172",997,954,887,5,3,1,1,"18,978"
14-Feb-15,"3,126",81,"2,379",27,108,"2,410",90,"1,540","1,002",51,48,47,53,42,45,50,45,43,60,77,60,159,94,44,39,45,"4,194",299,351,271,300,256,259,259,258,328,262,272,277,256,265,281,"4,008",0,"1,172",995,954,887,5,3,1,1,"18,970"
15-Feb-15,"3,126",79,"2,379",30,108,"2,409",90,"1,537","1,008",51,51,47,53,43,45,50,47,43,60,77,60,159,94,44,39,45,"4,191",298,351,270,300,256,259,259,258,328,261,272,277,256,265,281,"4,005",0,"1,172",993,954,886,5,3,1,1,"18,967"
16-Feb-15,"3,123",78,"2,383",30,106,"2,408",88,"1,536","1,041",53,53,49,55,45,53,51,47,44,64,79,60,161,95,44,41,47,"4,191",298,351,270,300,256,259,259,258,328,261,272,277,256,265,281,"4,004",0,"1,172",993,954,885,6,4,1,1,"18,994"
17-Feb-15,"3,124",73,"2,376",26,107,"2,411",89,"1,513","1,029",53,52,48,54,45,53,48,47,44,63,79,59,158,94,44,41,47,"4,209",296,351,271,298,263,269,259,257,329,259,273,277,261,267,279,"4,009",0,"1,173",994,960,882,6,4,1,1,"18,972"
18-Feb-15,"3,125",73,"2,376",26,114,"2,398",88,"1,537","1,029",52,52,48,53,44,52,48,47,45,63,79,58,159,94,44,44,47,"4,217",298,350,271,298,263,269,259,258,336,258,273,277,261,267,279,"4,001",0,"1,170",993,957,881,6,4,1,1,"18,990"
