Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,557",42,"3,282","1,882","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,691"
19-Oct-13,"3,345","3,272",39,"3,207","2,227","1,382",92,63,69,53,80,70,70,69,72,70,90,82,218,100,71,51,62,"4,422",296,368,280,300,280,280,274,279,354,276,279,280,299,277,300,"4,416",0,"1,199",998,"1,322",897,11,5,3,3,0,0,"22,321"
20-Oct-13,"3,343","3,273",39,"3,205","2,227","1,379",92,63,69,53,80,70,70,68,72,70,89,82,218,100,71,50,62,"4,420",296,368,280,300,280,280,274,279,354,276,279,280,298,276,300,"4,416",0,"1,199",998,"1,322",897,11,5,3,3,0,0,"22,313"
21-Oct-13,"3,340","3,280",39,"3,208","2,212","1,401",92,67,71,58,83,69,70,69,73,71,92,84,221,100,70,49,62,"4,423",296,369,280,300,279,280,274,279,355,275,280,280,297,278,301,"4,416",0,"1,200",998,"1,323",895,11,5,3,3,0,0,"22,330"
22-Oct-13,"3,350","3,279",39,"3,212","2,224","1,401",92,67,71,58,82,70,69,69,73,72,92,81,224,100,70,49,62,"4,426",295,369,280,300,280,280,274,280,355,278,280,280,296,278,301,"4,414",0,"1,200",998,"1,322",894,11,5,3,3,0,0,"22,356"
23-Oct-13,"3,342","3,306",38,"3,219","2,310","1,389",90,66,72,62,81,71,66,68,70,72,92,81,223,96,70,47,62,"4,421",295,369,280,300,276,280,274,280,355,278,280,280,296,278,300,"4,416",0,"1,200",998,"1,326",892,10,4,3,3,0,0,"22,451"
24-Oct-13,"3,356","3,282",38,"3,213","2,214","1,385",90,65,71,62,81,70,66,71,72,73,92,77,220,94,71,46,64,"4,419",292,369,280,298,276,280,274,280,355,280,280,280,295,280,300,"4,415",0,"1,203",998,"1,321",893,9,3,3,3,0,0,"22,331"
25-Oct-13,"3,356","3,285",38,"3,218","2,227","1,358",90,65,69,61,81,66,64,72,69,68,92,75,215,95,70,46,60,"4,428",296,369,280,298,280,280,274,280,355,280,280,280,299,277,300,"4,413",0,"1,203",999,"1,318",893,8,3,3,2,0,0,"22,331"
26-Oct-13,"3,350","3,284",38,"3,214","2,227","1,357",89,65,69,61,81,66,64,72,69,68,92,75,215,95,70,46,60,"4,423",296,369,279,297,280,279,274,279,355,280,280,280,298,277,300,"4,411",0,"1,201",999,"1,318",893,8,3,3,2,0,0,"22,312"
27-Oct-13,"3,349","3,283",38,"3,214","2,227","1,357",89,65,69,61,81,66,64,72,69,68,92,75,215,95,70,46,60,"4,418",296,368,279,295,280,279,274,278,354,280,280,280,298,277,300,"4,409",0,"1,201",999,"1,317",892,8,3,3,2,0,0,"22,303"
