Location,Mississippi State Penitentiary,MSP TVC,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,SMCI TVC,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"4,648",108,"3,469",58,158,"3,282",0,"1,995","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"25,726"
1-Apr-15,"3,126",87,"2,366",24,126,"2,404",98,"1,546","1,044",51,45,49,59,45,48,42,43,47,59,85,58,174,99,46,48,46,"4,221",300,353,277,300,260,272,253,261,339,254,273,279,249,262,289,"3,995",0,"1,162",998,937,898,8,3,3,2,"19,045"
2-Apr-15,"3,134",87,"2,383",25,131,"2,391",96,"1,548","1,041",51,45,49,59,45,48,42,44,46,58,85,58,174,97,46,48,46,"4,219",300,354,278,300,261,275,257,261,336,254,271,279,248,258,287,"3,989",0,"1,161",995,936,897,8,3,3,2,"19,052"
3-Apr-15,"3,130",94,"2,358",25,129,"2,390",91,"1,561","1,040",57,44,49,59,45,52,41,43,47,57,85,58,172,92,45,48,46,"4,193",300,353,277,298,261,275,254,261,333,253,269,277,246,253,283,"4,004",0,"1,155",998,957,894,8,3,3,2,"19,023"
4-Apr-15,"3,130",94,"2,358",25,129,"2,390",91,"1,561","1,040",57,44,49,59,45,52,41,43,47,57,85,58,172,92,45,48,46,"4,193",300,353,277,298,261,275,254,261,333,253,269,277,246,253,283,"4,004",0,"1,155",998,957,894,8,3,3,2,"19,023"
5-Apr-15,"3,134",91,"2,357",25,128,"2,390",89,"1,548","1,041",58,44,49,59,45,52,41,43,47,57,85,58,172,92,45,48,46,"4,196",300,353,277,298,261,275,255,261,334,254,269,277,246,253,283,"4,006",0,"1,155",998,959,894,8,3,3,2,"19,013"
6-Apr-15,"3,139",90,"2,341",25,131,"2,392",86,"1,550","1,041",57,45,49,59,40,52,42,41,47,57,85,60,177,92,45,48,45,"4,192",300,352,276,296,259,275,256,261,335,254,270,276,246,255,281,"4,004",0,"1,152",987,963,902,8,3,3,2,"18,999"
7-Apr-15,"3,142",91,"2,341",25,131,"2,392",86,"1,550","1,050",58,46,50,60,41,53,42,41,47,57,85,60,178,93,46,48,45,"4,196",300,352,276,296,259,275,257,261,335,254,270,276,247,256,282,"4,006",0,"1,151",988,964,903,9,3,3,3,"19,019"
8-Apr-15,"3,143",92,"2,342",25,131,"2,392",86,"1,550","1,050",58,46,50,60,41,53,42,41,47,57,85,60,178,93,46,48,45,"4,196",300,352,276,296,259,275,257,261,335,254,270,276,247,256,282,"4,010",0,"1,152",989,965,904,9,3,3,3,"19,026"
9-Apr-15,"3,143",92,"2,342",25,131,"2,392",86,"1,550","1,050",58,46,50,60,41,53,42,41,47,57,85,60,178,93,46,48,45,"4,196",300,352,276,296,259,275,257,261,335,254,270,276,247,256,282,"4,010",0,"1,152",989,965,904,9,3,3,3,"19,026"
