Location,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County (opened on May 10th),Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"5,768","3,233","2,214","2,176","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"2,750",250,250,250,250,250,250,250,250,250,250,250,"3,750","1,000","1,000",750,"1,000",24,6,12,6,6,,"21,737"
1-Aug-03,"5,708","3,174","2,151","1,959","1,386",84,66,74,83,70,68,75,88,95,74,52,61,187,80,84,57,88,"2,586",235,235,235,235,235,235,235,235,234,236,236,"3,460",728,993,746,993,16,5,8,3,6,21,"20,467"
2-Aug-03,"5,707","3,171","2,150","1,959","1,386",84,66,74,83,70,68,75,88,95,74,52,61,187,80,84,57,88,"2,586",235,235,235,235,235,235,235,235,234,236,236,"3,459",728,993,745,993,16,5,8,3,6,21,"20,461"
3-Aug-03,"5,706","3,170","2,149","1,959","1,386",84,66,74,83,70,68,75,88,95,74,52,61,187,80,84,57,88,"2,585",235,235,235,234,235,235,235,235,234,236,236,"3,459",728,993,745,993,16,5,8,3,6,22,"20,458"
4-Aug-03,"5,709","3,168","2,163","1,941","1,396",85,66,74,87,74,72,76,86,95,74,51,60,187,79,84,58,88,"2,581",234,234,234,234,235,235,235,235,234,236,235,"3,462",731,992,744,995,16,5,8,3,6,7,"20,449"
5-Aug-03,"5,723","3,175","2,160","1,957","1,396",85,66,73,92,74,72,76,86,96,74,51,60,183,79,83,58,88,"2,584",234,235,235,235,235,235,235,235,235,235,235,"3,463",731,992,745,995,16,5,8,3,6,5,"20,485"
6-Aug-03,"5,738","3,165","2,150","1,950","1,404",85,66,76,95,74,71,76,86,96,72,50,61,183,83,83,58,89,"2,581",232,235,235,235,235,236,235,235,234,235,234,"3,461",731,990,746,994,16,5,8,3,6,4,"20,475"
7-Aug-03,"5,733","3,149","2,166","1,959","1,409",85,66,75,95,75,71,76,86,94,72,50,61,190,83,83,58,89,"2,580",232,235,234,235,235,236,235,235,234,235,234,"3,453",730,988,744,991,16,5,8,3,6,5,"20,476"
8-Aug-03,"5,732","3,125","2,124","1,986","1,388",84,63,71,95,73,71,76,85,93,72,49,60,187,84,81,58,86,"2,580",232,235,232,235,235,236,235,235,235,235,235,"3,464",730,995,746,993,15,5,7,3,6,26,"20,446"
9-Aug-03,"5,731","3,121","2,125","1,986","1,387",84,63,71,95,73,71,76,85,93,72,49,59,187,84,81,58,86,"2,578",231,235,231,235,235,236,235,235,235,235,235,"3,462",729,994,746,993,15,5,7,3,6,29,"20,440"
10-Aug-03,"5,726","3,121","2,124","1,986","1,387",84,63,71,95,73,71,76,85,93,72,49,59,187,84,81,58,86,"2,576",231,235,231,235,235,236,234,235,234,235,235,"3,462",729,994,746,993,15,5,7,3,6,29,"20,432"
11-Aug-03,"5,718","3,116","2,115","1,994","1,424",85,65,74,95,71,71,76,89,95,73,50,60,203,85,85,58,89,"2,579",233,235,231,235,235,236,234,235,236,235,234,"3,459",729,994,744,992,16,5,8,3,6,7,"20,434"
12-Aug-03,"5,720","3,119","2,119","2,010","1,424",85,66,74,95,72,75,76,89,95,70,51,59,202,85,85,56,89,"2,579",232,234,234,235,235,235,234,235,236,235,234,"3,458",728,993,744,993,16,5,8,3,6,7,"20,458"
