Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,527","3,665","3,204","1,711","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,088",294,280,280,280,274,280,280,280,280,280,280,"4,972",972,"1,000","1,000","1,000","1,000",16,6,6,4,6,0,"23,037"
19-Jul-08,"4,191","3,793","3,110","1,996","1,755",85,97,90,102,100,97,97,96,98,91,89,89,245,98,91,94,96,"3,077",293,280,278,280,272,280,280,278,278,279,279,"4,797",970,885,"1,000",951,991,12,5,4,3,6,45,"22,782"
20-Jul-08,"4,192","3,792","3,107","1,996","1,752",85,97,90,100,100,97,97,96,98,91,89,89,245,98,91,94,95,"3,077",293,280,278,280,272,280,280,278,278,279,279,"4,797",970,885,"1,000",951,991,10,3,4,3,6,45,"22,774"
21-Jul-08,"4,183","3,819","3,103","1,990","1,773",89,100,91,99,101,98,100,97,96,91,88,92,247,100,94,95,95,"3,076",293,280,277,280,271,279,279,280,279,280,278,"4,794",970,883,"1,000",951,990,10,3,4,3,6,3,"22,757"
22-Jul-08,"4,178","3,809","3,123","1,983","1,777",89,99,94,101,100,98,99,96,101,91,88,91,250,100,94,92,94,"3,081",294,280,279,279,273,279,280,280,279,280,278,"4,795",970,883,998,953,991,10,3,4,3,5,4,"22,765"
23-Jul-08,"4,177","3,819","3,129","1,987","1,779",89,99,92,101,100,98,99,99,101,91,88,91,250,100,94,92,95,"3,087",294,280,278,280,275,281,280,280,279,280,280,"4,794",970,884,999,949,992,10,3,4,3,5,5,"22,792"
24-Jul-08,"4,199","3,802","3,135","2,006","1,790",89,99,96,102,100,97,98,99,99,90,85,91,250,99,94,100,102,"3,085",293,280,278,280,275,281,280,280,279,279,280,"4,793",970,883,999,949,992,10,3,4,3,5,7,"22,832"
25-Jul-08,"4,206","3,803","3,129","1,986","1,756",87,96,94,99,97,95,102,94,99,89,84,86,243,97,94,99,101,"3,080",291,279,280,280,273,281,280,278,279,279,280,"4,796",972,883,"1,001",947,993,10,3,4,3,5,40,"22,811"
26-Jul-08,"4,203","3,800","3,126","1,986","1,755",87,96,94,99,97,95,102,94,99,89,84,86,243,96,94,99,101,"3,080",291,279,280,280,273,281,280,278,279,279,280,"4,794",972,882,"1,000",947,993,11,3,4,4,5,41,"22,801"
27-Jul-08,"4,202","3,798","3,126","1,986","1,754",87,96,94,99,97,94,102,94,99,89,84,86,243,97,93,99,101,"3,076",291,279,279,279,273,281,280,278,279,279,278,"4,791",972,882,998,946,993,10,3,4,3,5,42,"22,790"
