Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Tallahatchie County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,534","3,381","2,564","1,773","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"3,082",294,280,280,280,274,274,280,280,280,280,280,"5,100",972,"1,000","1,000",128,"1,000","1,000",16,6,6,4,6,,"22,272"
10-Apr-07,"4,515","3,395","2,418","1,932","1,750",91,98,92,100,101,101,102,97,100,88,84,84,215,101,100,97,99,"3,074",294,280,277,280,272,274,279,279,281,280,278,"4,903",972,884,991,128,953,975,10,4,3,3,5,6,"22,008"
11-Apr-07,"4,512","3,420","2,419","1,920","1,756",90,98,95,101,101,101,102,96,99,89,84,84,215,100,100,99,102,"3,074",294,280,276,280,272,274,279,280,281,280,278,"4,898",971,883,991,128,950,975,10,4,3,3,5,7,"22,021"
12-Apr-07,"4,521","3,423","2,430","1,921","1,750",90,98,94,101,100,100,102,95,101,92,82,83,215,100,97,98,102,"3,074",294,280,279,280,270,274,280,279,281,280,277,"4,905",971,883,995,128,954,974,10,4,3,3,5,5,"22,044"
13-Apr-07,"4,508","3,449","2,409","1,907","1,735",89,93,94,97,98,100,102,102,101,92,78,83,213,100,95,97,101,"3,072",293,279,279,280,270,274,279,280,281,278,279,"4,899",971,881,995,128,950,974,9,4,3,2,5,25,"22,018"
14-Apr-07,"4,504","3,448","2,406","1,907","1,734",89,93,94,97,98,100,102,102,101,92,78,82,213,100,95,97,101,"3,071",293,280,279,279,270,273,279,280,281,278,279,"4,898",970,881,995,128,950,974,9,4,3,2,5,24,"22,006"
15-Apr-07,"4,496","3,446","2,407","1,907","1,733",89,93,93,97,98,100,102,102,101,92,78,82,213,100,95,97,101,"3,069",292,280,279,279,270,273,279,280,281,277,279,"4,898",970,881,995,128,950,974,9,4,3,2,5,24,"21,994"
16-Apr-07,"4,502","3,449","2,431","1,860","1,750",89,102,91,100,98,100,101,102,100,91,78,82,215,100,97,102,102,"3,070",293,279,279,280,273,271,277,278,281,279,280,"4,892",971,880,995,128,945,973,9,4,3,2,5,8,"21,976"
17-Apr-07,"4,520","3,474","2,423","1,839","1,748",89,102,91,100,98,99,101,102,102,91,78,81,214,99,98,102,101,"3,071",293,278,279,279,274,272,280,280,280,276,280,"4,893",970,880,992,128,950,973,9,4,3,2,5,5,"21,987"
18-Apr-07,"4,522","3,481","2,436","1,799","1,751",89,102,91,100,97,99,101,101,102,92,78,81,214,102,99,102,101,"3,067",293,279,280,279,273,268,279,280,280,276,280,"4,902",968,889,995,128,949,973,11,4,5,2,5,7,"21,981"
