date_raw,Mississippi State Penitentiary,MSP TVC,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,"South Mississippi Correctional Institution 2,882",SMCI TVC,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"3,590",,"2,932",58,,,,"2,002","1,870",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"23,744"
10-Oct-15,"3,145",70,"2,588",28,140,"2,701",95,"1,254","1,149",88,71,53,51,46,50,0,73,63,68,81,57,169,96,71,49,63,"3,936",285,318,233,292,240,261,259,247,322,248,251,273,197,254,256,"3,797",0,"1,115",994,855,833,8,4,4,0,"18,911"
11-Oct-15,"3,145",70,"2,588",28,140,"2,701",95,"1,254","1,141",88,71,53,51,46,50,0,73,62,67,80,56,169,95,70,48,62,"3,933",284,317,232,292,240,261,259,247,322,248,251,273,197,254,256,"3,797",0,"1,115",994,855,833,8,4,4,0,"18,900"
12-Oct-15,"3,146",71,"2,589",29,141,"2,702",96,"1,260","1,156",89,72,54,52,47,51,0,74,63,68,81,57,169,96,71,49,63,"3,947",285,318,233,293,241,262,260,248,323,249,252,274,197,255,257,"3,801",0,"1,116",995,856,834,14,6,6,2,"18,952"
13-Oct-15,"3,146",71,"2,589",29,141,"2,702",96,"1,250","1,156",89,72,54,52,47,51,0,74,63,68,81,57,169,96,71,49,63,"3,960",285,319,234,294,242,263,261,249,324,250,253,275,197,256,258,"3,805",0,"1,117",996,857,835,14,6,6,2,"18,959"
14-Oct-15,"3,146",71,"2,589",29,141,"2,702",96,"1,250","1,156",89,72,54,52,47,51,0,74,63,68,81,57,169,96,71,49,63,"3,960",285,319,234,294,242,263,261,249,324,250,253,275,197,256,258,"3,805",0,"1,117",996,857,835,14,6,6,2,"18,959"
15-Oct-15,"3,146",71,"2,589",29,141,"2,702",96,"1,233","1,156",89,72,54,52,47,51,0,74,63,68,81,57,169,96,71,49,63,"3,970",285,319,234,294,243,264,262,250,325,251,254,276,197,257,259,"3,805",0,"1,117",996,857,835,14,6,6,2,"18,952"
16-Oct-15,"3,147",72,"2,590",30,142,"2,702",96,"1,245","1,156",89,72,54,52,47,51,0,74,63,68,81,57,169,96,71,49,63,"3,970",285,319,234,294,243,264,262,250,325,251,254,276,197,257,259,"3,805",0,"1,117",996,857,835,14,6,6,2,"18,969"
17-Oct-15,"3,147",72,"2,590",30,142,"2,701",95,"1,244","1,144",88,71,53,51,46,50,0,73,62,67,80,56,169,95,71,49,63,"3,970",285,319,234,294,243,264,262,250,325,251,254,276,197,257,259,"3,805",0,"1,117",996,857,835,14,6,6,2,"18,954"
18-Oct-15,"3,147",72,"2,590",30,142,"2,701",95,"1,245","1,139",88,71,53,51,46,50,0,73,62,67,79,55,169,94,70,48,63,"3,970",285,319,234,294,243,264,262,250,325,251,254,276,197,257,259,"3,805",0,"1,117",996,857,835,14,6,6,2,"18,950"
