Location,Mississippi State Penitentiary,MSP TVC,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,SMCI TVC,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"4,648",108,"3,469",58,158,"3,282",0,"2,006","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"25,737"
19-Sep-15,"3,109",90,"2,555",28,129,"2,659",95,"1,180","1,176",91,73,51,48,51,50,0,78,60,68,80,63,180,93,74,51,65,"4,113",289,339,244,298,267,273,261,253,336,260,264,278,212,271,268,"3,746",0,"1,121",997,800,828,12,6,6,0,"18,892"
20-Sep-15,"3,109",90,"2,555",28,129,"2,659",95,"1,179","1,170",90,72,50,47,50,49,0,78,60,68,80,63,180,93,74,51,65,"4,113",289,339,244,298,267,273,261,253,336,260,264,278,212,271,268,"3,746",0,"1,121",997,800,828,12,6,6,0,"18,885"
21-Sep-15,"3,136",86,"2,594",27,124,"2,667",97,"1,239","1,148",90,65,50,46,48,56,0,73,62,66,71,60,180,96,71,49,65,"4,068",290,338,242,297,253,270,263,248,337,254,258,278,208,265,267,"3,748",0,"1,115",995,815,823,12,5,6,1,"18,946"
22-Sep-15,"3,136",86,"2,594",27,124,"2,667",97,"1,239","1,148",90,65,50,46,48,56,0,73,62,66,71,60,180,96,71,49,65,"4,068",290,338,242,297,253,270,263,248,337,254,258,278,208,265,267,"3,748",0,"1,115",995,815,823,12,5,6,1,"18,946"
23-Sep-15,"3,136",86,"2,594",27,124,"2,667",97,"1,242","1,153",90,65,50,46,48,56,0,73,62,66,72,61,180,97,72,50,65,"4,068",290,338,242,297,253,270,263,248,337,254,258,278,208,265,267,"3,748",0,"1,115",995,815,823,12,5,6,1,"18,954"
24-Sep-15,"3,136",86,"2,594",27,124,"2,667",97,"1,228","1,148",90,65,50,46,48,56,0,73,62,66,72,60,180,96,71,49,64,"4,059",289,337,241,296,252,269,262,247,336,254,258,278,208,265,267,"3,748",0,"1,115",995,815,823,12,5,6,1,"18,926"
25-Sep-15,"3,136",86,"2,594",27,124,"2,667",97,"1,214","1,148",90,65,50,46,48,56,0,73,62,66,72,60,180,96,71,49,64,"4,064",290,338,242,297,253,269,262,247,336,254,258,278,208,265,267,"3,748",0,"1,115",995,815,823,12,5,6,1,"18,917"
26-Sep-15,"3,136",86,"2,594",27,124,"2,667",97,"1,214","1,148",90,65,50,46,48,56,0,73,62,66,72,60,180,96,71,49,64,"4,057",290,338,242,297,253,269,262,247,334,253,257,277,208,264,266,"3,744",0,"1,114",994,814,822,11,4,6,1,"18,905"
27-Sep-15,"3,136",86,"2,594",27,124,"2,667",97,"1,214","1,148",90,65,50,46,48,56,0,73,62,66,72,60,180,96,71,49,64,"4,057",290,338,242,297,253,269,262,247,334,253,257,277,208,264,266,"3,740",0,"1,113",993,813,821,9,4,5,0,"18,899"
