date_raw,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta       (Reopened 04-01-04),East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds                                   (See Note Below),Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,892","3,233","2,214","2,209","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"2,750",250,250,250,250,250,250,250,250,250,250,250,"4,960",960,"1,000","1,000","1,000","1,000",18,6,6,6,6,,"22,098"
1-Sep-04,"4,811","3,044","2,146","2,173","1,688",91,99,96,96,100,94,93,99,101,88,64,90,212,94,88,82,101,"2,746",250,250,249,250,247,250,250,250,250,250,250,"4,572",954,863,994,766,995,13,6,4,3,6,2,"21,201"
2-Sep-04,"4,800","3,064","2,144","2,189","1,691",90,99,95,99,97,94,92,99,99,92,64,90,212,98,88,82,101,"2,740",250,250,244,250,246,250,250,250,250,250,250,"4,578",953,875,995,762,993,13,6,4,3,6,1,"21,226"
3-Sep-04,"4,795","3,076","2,157","2,157","1,680",89,99,94,99,96,94,91,98,98,90,64,90,212,95,88,82,101,"2,742",250,249,249,247,249,250,250,250,250,250,248,"4,584",956,875,995,763,995,13,6,4,3,6,1,"21,211"
4-Sep-04,"4,791","3,074","2,155","2,157","1,678",89,99,94,99,95,94,91,97,98,90,64,90,212,95,88,82,101,"2,741",250,250,249,247,249,250,249,250,250,250,247,"4,581",954,875,995,763,994,13,6,4,3,6,1,"21,197"
5-Sep-04,"4,791","3,074","2,153","2,157","1,678",89,99,94,99,95,94,91,97,98,90,64,90,212,95,88,82,101,"2,740",249,250,249,247,249,250,249,250,250,250,247,"4,578",953,875,993,763,994,13,6,4,3,6,2,"21,192"
6-Sep-04,"4,788","3,075","2,153","2,159","1,678",89,99,94,99,95,94,91,97,98,90,64,90,212,95,88,82,101,"2,739",249,250,249,247,249,250,249,250,250,250,246,"4,577",953,874,993,763,994,13,6,4,3,6,1,"21,189"
7-Sep-04,"4,779","3,131","2,153","2,127","1,672",88,99,94,98,95,93,90,97,98,87,63,91,212,97,88,81,101,"2,737",248,250,249,248,248,250,249,250,250,249,246,"4,579",953,874,995,763,994,13,6,4,3,6,2,"21,199"
8-Sep-04,"4,808","3,145","2,154","2,110","1,669",88,97,92,100,93,91,90,100,97,87,62,91,213,97,88,82,101,"2,743",249,249,250,250,248,250,249,250,249,249,250,"4,575",959,872,994,756,994,12,5,4,3,6,3,"21,225"
9-Sep-04,"4,795","3,169","2,170","2,096","1,656",87,96,92,100,90,91,90,100,101,86,61,89,210,96,86,80,101,"2,741",249,249,249,250,246,250,249,249,250,250,250,"4,573",956,872,994,758,993,12,5,4,3,6,6,"21,224"
10-Sep-04,"4,786","3,181","2,188","2,047","1,615",84,93,91,96,88,90,89,101,100,85,59,87,204,92,85,75,96,"2,741",250,249,249,249,246,250,250,249,250,250,249,"4,572",958,870,994,757,993,12,5,4,3,5,54,"21,201"
11-Sep-04,"4,785","3,180","2,186","2,047","1,612",84,92,91,96,88,90,89,101,100,85,59,86,203,92,85,75,96,"2,741",250,249,249,249,246,250,250,249,250,250,249,"4,572",958,870,994,757,993,12,5,4,3,5,46,"21,186"
12-Sep-04,"4,785","3,179","2,187","2,047","1,612",84,92,91,96,88,90,89,101,100,85,59,86,203,92,85,75,96,"2,741",250,249,249,249,246,250,250,249,250,250,249,"4,570",957,869,994,757,993,12,5,4,3,5,48,"21,186"
13-Sep-04,"4,816","3,201","2,182","2,056","1,660",89,94,92,99,90,90,94,102,102,87,59,88,209,99,87,79,100,"2,742",250,250,250,247,247,250,250,249,250,250,249,"4,562",954,868,993,754,993,12,5,4,3,5,5,"21,241"
