Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"4,648","3,665",42,"3,282","2,020","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,5000,"1,500","1,000","1,500","1,000",16,6,6,4,"24,959"
1-Mar-14,"3,325","2,960",34,"3,239","1,969","1,175",84,57,53,63,48,56,50,49,45,72,88,75,197,89,51,40,58,"4,403",299,367,280,300,276,280,272,279,352,275,280,277,297,274,295,4392,"1,198",998,"1,314",882,12,6,3,3,"21,509"
2-Mar-14,"3,325","2,960",34,"3,236","1,969","1,172",83,55,53,63,48,56,50,49,45,72,88,75,197,89,51,40,58,"4,401",298,366,280,300,276,280,272,279,352,275,280,277,297,274,295,4390,"1,198",997,"1,313",882,12,4,5,3,"21,499"
3-Mar-14,"3,330","2,983",34,"3,230","1,973","1,182",83,55,54,63,48,56,51,49,49,76,88,75,197,89,51,40,58,"4,384",298,366,280,299,278,280,271,279,351,275,281,279,297,275,275,4388,"1,197",998,"1,313",880,13,5,5,3,"21,517"
4-Mar-14,"3,324","2,999",34,"3,224","1,898","1,170",81,55,51,62,48,55,52,47,46,76,89,75,201,87,51,39,55,"4,385",298,365,277,298,278,279,271,279,353,272,280,277,297,271,290,4385,"1,197",995,"1,316",877,12,6,3,3,"21,431"
5-Mar-14,"3,333","2,975",35,"3,236","1,917","1,179",85,55,50,61,48,54,55,48,44,75,89,75,203,93,50,39,55,"4,387",298,365,279,297,279,280,269,274,355,275,280,277,295,275,289,4386,"1,200",994,"1,316",876,12,6,3,3,"21,460"
6-Mar-14,"3,331","2,995",36,"3,237","2,017","1,179",85,55,50,60,48,54,53,48,45,75,89,80,200,93,50,40,54,"4,324",298,369,279,297,278,280,269,272,355,275,279,280,298,278,217,4384,"1,199",993,"1,317",875,12,6,3,3,"21,515"
7-Mar-14,"3,313","2,977",33,"3,216","1,999","1,135",82,51,47,59,44,52,50,47,41,73,85,81,195,90,48,41,49,"4,382",296,367,277,298,275,278,270,272,355,269,278,280,296,276,295,4384,"1,199",993,"1,317",875,12,6,3,3,"21,451"
8-Mar-14,"3,315","2,980",35,"3,219","2,003","1,169",84,53,49,61,46,54,52,49,43,75,87,83,197,92,50,43,51,"4,392",297,368,279,300,277,280,270,272,355,269,278,280,296,276,295,4375,"1,200","1,000","1,301",874,12,6,3,3,"21,500"
9-Mar-14,"3,315","2,979",35,"3,218","2,001","1,170",84,53,49,61,46,54,52,49,43,75,87,84,197,92,50,43,51,"4,392",297,368,279,300,277,280,270,272,355,269,278,280,296,276,295,4372,"1,198","1,000","1,300",874,12,6,3,3,"21,494"
10-Mar-14,"3,326","2,988",35,"3,211","1,998","1,181",84,52,50,60,49,52,51,50,44,75,88,83,199,94,57,42,51,"4,399",294,367,279,299,279,280,272,270,355,277,280,280,294,276,297,4366,"1,197","1,000","1,295",874,12,6,3,3,"21,516"
