Location,Mississippi State Penitentiary,MSP TVC,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,"South Mississippi Correctional Institution 2,882",SMCI TVC,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"3,590",,"2,932",58,,,,"1,780","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"23,516"
1-Nov-15,"3,276",86,"2,685",25,140,"2,694",92,"1,288","1,113",55,71,46,52,40,50,0,78,68,67,71,62,178,98,73,49,55,"3,569",0,278,273,269,224,274,252,244,277,240,254,273,210,224,277,"3,927",0,"1,109",997,935,886,11,4,6,1,"18,906"
2-Nov-15,"3,276",86,"2,685",25,140,"2,694",92,"1,291","1,128",56,72,47,53,41,51,0,79,69,68,72,63,178,99,74,50,56,"3,574",0,279,274,270,225,275,252,244,277,240,254,273,210,224,277,"3,927",0,"1,109",997,935,886,11,4,6,1,"18,929"
3-Nov-15,"3,276",86,"2,685",25,140,"2,694",92,"1,304","1,128",56,72,47,53,41,51,0,79,69,68,72,63,178,99,74,50,56,"3,572",0,279,274,270,225,275,252,244,277,240,254,273,210,223,276,"3,919",0,"1,107",995,933,884,7,3,4,0,"18,928"
4-Nov-15,"3,276",86,"2,685",25,140,"2,694",92,"1,259","1,128",56,72,47,53,41,51,0,79,69,68,72,63,178,99,74,50,56,"3,583",0,279,274,271,226,276,253,245,278,241,255,274,210,224,277,"3,923",0,"1,108",996,934,885,7,3,4,0,"18,898"
5-Nov-15,"3,274",87,"2,686",26,141,"2,695",93,"1,221","1,143",57,73,48,54,42,52,0,80,70,69,73,64,178,100,75,51,57,"3,596",0,280,275,272,227,277,254,246,279,242,256,275,210,225,278,"3,927",0,"1,109",997,935,886,7,3,4,0,"18,896"
6-Nov-15,"3,274",87,"2,686",26,141,"2,695",93,"1,204","1,143",57,73,48,54,42,52,0,80,70,69,73,64,178,100,75,51,57,"3,596",0,280,275,272,227,277,254,246,279,242,256,275,210,225,278,"3,927",0,"1,109",997,935,886,7,3,4,0,"18,879"
7-Nov-15,"3,274",87,"2,685",26,139,"2,695",93,"1,202","1,141",57,73,48,54,42,52,0,80,70,69,73,64,176,100,75,51,57,"3,594",0,280,275,272,227,277,254,246,279,242,256,275,208,225,278,"3,927",0,"1,109",997,935,886,7,3,4,0,"18,870"
8-Nov-15,"3,273",86,"2,684",25,138,"2,694",92,"1,204","1,135",57,73,48,54,42,52,0,79,69,68,72,64,174,100,75,51,57,"3,592",0,280,275,272,227,277,254,246,279,242,256,275,206,225,278,"3,927",0,"1,109",997,935,886,7,3,4,0,"18,857"
9-Nov-15,"3,275",80,"2,685",27,124,"2,699",93,"1,191","1,125",48,73,48,53,45,53,0,73,69,71,73,61,174,98,80,51,55,"3,633",0,297,273,261,230,279,249,246,293,245,258,276,204,239,283,"3,928",0,"1,112",996,925,895,10,4,5,1,"18,870"
