Location,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilikinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,TOTALS
Capacity,"5,612","3,049","2,214","2,122","1,320",75,75,75,75,75,75,75,75,75,75,75,75,120,75,75,75,75,"2,500",250,250,250,250,250,250,250,250,250,250,"3,900","1,000",500,"1,000",500,900,24,6,12,6,6,"20,747"
21-Sep-01,"5,204","3,053","1,988","1,519","1,210",72,72,71,71,73,68,70,70,67,65,52,56,116,72,71,71,73,"2,032",203,199,201,199,212,225,201,193,198,201,"3,493",840,497,868,405,883,13,4,8,1,6,"18,518"
22-Sep-01,"5,204","3,053","1,984","1,519","1,209",72,72,71,71,73,68,70,70,66,65,52,56,116,72,71,71,73,"2,032",203,199,201,199,212,225,201,193,198,201,"3,493",840,497,868,405,883,13,4,8,1,6,"18,513"
23-Sep-01,"5,200","3,051","1,982","1,519","1,210",72,72,71,71,73,68,70,70,66,66,52,56,116,72,71,71,73,"2,031",203,199,201,198,212,225,201,193,198,201,"3,493",840,497,868,405,883,13,4,8,1,6,"18,505"
24-Sep-01,"5,195","3,040","1,989","1,554","1,253",74,74,74,73,74,73,74,74,66,74,55,55,118,75,73,73,74,"2,034",203,198,197,198,212,224,201,200,200,201,"3,490",839,495,868,405,883,18,6,11,1,6,"18,579"
25-Sep-01,"5,192","3,039","2,019","1,563","1,252",75,74,74,73,74,73,73,74,67,74,53,55,117,75,75,72,74,"2,031",202,198,198,198,212,224,200,200,199,200,"3,490",839,495,868,405,883,18,6,11,1,6,"18,610"
26-Sep-01,"5,200","3,041","2,019","1,562","1,256",75,74,74,73,74,73,75,74,71,73,51,55,116,75,75,73,75,"2,033",207,198,197,198,212,222,200,200,199,200,"3,488",839,494,868,404,883,18,6,11,1,6,"18,623"
27-Sep-01,"5,195","3,049","2,038","1,569","1,255",75,74,74,73,74,72,75,74,71,73,51,55,116,75,75,73,75,"2,034",207,198,197,198,212,222,200,201,199,200,"3,486",837,494,867,405,883,18,6,11,1,6,"18,650"
28-Sep-01,"5,222","3,025","2,045","1,600","1,224",73,74,71,72,74,72,73,71,69,70,50,55,114,71,71,73,71,"2,032",207,200,196,198,212,221,200,200,198,200,"3,485",837,494,867,405,882,18,6,11,1,6,"18,657"
29-Sep-01,"5,221","3,022","2,045","1,599","1,221",73,74,70,72,74,72,73,71,69,70,50,55,114,71,71,71,71,"2,032",207,200,196,198,212,221,200,200,198,200,"3,485",837,494,867,405,882,18,6,11,1,6,"18,649"
30-Sep-01,"5,223","3,021","2,045","1,598","1,222",73,74,71,72,74,72,73,71,69,70,50,54,115,71,71,71,71,"2,031",207,200,196,198,212,221,199,200,198,200,"3,485",837,494,867,405,882,18,6,11,1,6,"18,649"
