date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"3,356","3,449","3,256","1,616","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,363",300,294,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,882"
28-Nov-11,"3,065","2,999","3,186","2,054","1,469",81,86,83,82,82,82,75,92,82,77,59,64,190,90,91,70,83,"3,517",247,235,223,248,224,223,226,224,284,221,224,225,237,224,252,"5,133",897,"1,334","1,000","1,011",891,9,4,3,2,5,5,"21,442"
29-Nov-11,"3,067","3,024","3,199","2,062","1,467",81,85,82,82,82,82,74,92,82,79,59,63,192,89,92,69,82,"3,516",247,234,224,248,224,224,226,224,284,221,224,224,237,223,252,"5,118",896,"1,318","1,000","1,014",890,10,4,3,3,5,2,"21,470"
30-Nov-11,"3,066","3,033","3,200","2,065","1,472",82,77,82,81,82,81,74,92,92,78,59,71,192,88,91,69,81,"3,522",250,235,224,250,224,224,225,223,284,224,224,225,237,221,252,"5,120",898,"1,315","1,000","1,016",891,10,4,3,3,5,2,"21,495"
Avg Population,"3,067","3,053","3,192","2,034","1,476",83,86,80,79,80,83,74,90,88,77,62,64,192,91,88,74,85,"3,503",249,234,223,249,224,224,221,224,283,223,225,225,227,223,251,"5,150",899,"1,344",999,"1,020",888,10,4,3,3,5,13,"21,503"
