Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,665","3,282","1,667","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,363",300,294,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,467"
10-Mar-12,"3,239","3,100","3,159","2,221","1,443",90,68,74,77,73,83,71,72,91,79,92,91,185,67,78,68,84,"4,260",299,293,277,299,280,280,274,277,339,279,280,279,223,280,301,"4,135",0,"1,315","1,000",937,883,11,5,3,3,0,20,"21,588"
11-Mar-12,"3,237","3,097","3,159","2,221","1,442",90,68,74,77,73,83,71,72,91,79,91,91,185,67,78,68,84,"4,259",299,293,277,299,280,280,274,277,338,279,280,279,223,280,301,"4,134",0,"1,315","1,000",937,882,11,5,3,3,0,23,"21,583"
12-Mar-12,"3,232","3,098","3,167","2,234","1,447",90,68,75,76,74,81,71,74,90,78,91,93,188,69,74,69,86,"4,258",298,293,280,299,280,280,274,277,338,279,279,278,222,280,301,"4,137",0,"1,313","1,000",943,881,11,5,3,3,0,7,"21,591"
13-Mar-12,"3,227","3,097","3,167","2,205","1,432",89,66,74,76,81,80,69,74,89,76,90,92,182,68,73,69,84,"4,264",299,294,280,300,280,280,272,280,339,280,279,279,222,280,300,"4,142",0,"1,313","1,000",949,880,11,4,3,4,0,8,"21,553"
14-Mar-12,"3,249","3,081","3,169","2,176","1,454",89,66,78,81,81,80,69,79,89,79,90,92,183,72,73,69,84,"4,259",298,294,280,300,280,280,273,279,340,280,277,280,221,279,298,"4,147",0,"1,311",999,951,886,11,4,3,4,0,9,"21,555"
15-Mar-12,"3,248","3,090","3,174","2,204","1,464",90,72,78,81,79,80,69,80,92,79,90,92,184,71,75,68,84,"4,281",300,294,280,300,279,278,273,279,340,280,280,280,239,280,299,"4,139",0,"1,311",999,944,885,11,4,3,4,0,6,"21,617"
16-Mar-12,"3,255","3,081","3,177","2,216","1,430",87,72,72,79,76,75,64,79,90,73,90,88,179,80,72,68,86,"4,281",298,294,280,300,279,280,274,280,340,280,279,280,238,279,300,"4,139",0,"1,311","1,000",943,885,10,3,3,4,0,57,"21,646"
17-Mar-12,"3,254","3,080","3,177","2,216","1,421",87,72,71,79,72,75,65,79,88,73,91,87,179,80,72,66,85,"4,278",297,294,280,300,279,280,274,280,340,280,279,280,238,278,299,"4,138",0,"1,311","1,000",942,885,10,3,3,4,0,59,"21,633"
18-Mar-12,"3,254","3,080","3,181","2,216","1,418",87,72,70,79,71,75,65,79,88,73,91,86,179,80,72,66,85,"4,273",297,294,279,299,279,279,274,279,339,280,279,280,238,278,299,"4,134",0,"1,308",999,942,885,10,3,3,4,0,58,"21,624"
