Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,557",42,"3,282","1,872","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,681"
19-Jul-13,"3,387","3,399",35,"3,232","2,313","1,450",91,71,66,66,85,79,67,72,83,72,93,83,237,97,70,61,57,"4,429",300,369,279,299,280,280,274,280,355,276,280,279,298,280,300,"4,306",0,"1,126",998,"1,291",891,11,4,5,2,0,0,"22,562"
20-Jul-13,"3,384","3,400",35,"3,233","2,313","1,448",91,71,65,66,85,79,66,72,83,72,93,83,237,97,70,61,57,"4,428",300,369,278,299,280,280,274,280,355,276,280,279,298,280,300,"4,305",0,"1,126",997,"1,291",891,11,4,5,2,0,0,"22,557"
21-Jul-13,"3,386","3,395",35,"3,234","2,313","1,444",91,71,65,66,85,79,66,71,83,72,93,80,237,97,70,61,57,"4,426",300,369,277,299,280,280,274,280,355,276,280,279,298,280,299,"4,300",0,"1,125",995,"1,290",890,11,4,5,2,0,0,"22,544"
22-Jul-13,"3,385","3,380",35,"3,253","2,296","1,460",91,71,67,69,87,79,66,71,83,76,92,81,238,98,72,59,60,"4,427",300,369,278,299,280,280,274,280,354,278,280,279,297,280,299,"4,317",0,"1,126",999,"1,299",893,14,5,5,4,0,0,"22,567"
23-Jul-13,"3,384","3,398",35,"3,249","2,259","1,475",91,70,67,69,87,80,66,76,89,78,92,80,239,98,74,59,60,"4,429",299,369,279,299,278,280,275,280,354,280,279,279,299,280,299,"4,314",0,"1,125",998,"1,298",893,14,5,5,4,0,0,"22,557"
24-Jul-13,"3,382","3,416",35,"3,237","2,229","1,483",91,71,70,70,91,79,65,76,88,78,92,83,239,98,72,58,62,"4,421",298,368,278,300,276,280,274,279,355,280,280,278,297,280,298,"4,314",0,"1,124",998,"1,299",893,12,5,3,4,0,0,"22,529"
25-Jul-13,"3,389","3,373",35,"3,250","2,206","1,484",89,72,68,70,91,79,65,73,90,79,93,90,239,98,70,57,61,"4,419",298,367,279,298,277,280,274,279,355,280,280,278,294,280,300,"4,334",0,"1,124",999,"1,313",898,12,5,3,4,0,0,"22,502"
26-Jul-13,"3,378","3,350",35,"3,251","2,201","1,460",89,72,65,72,87,78,63,73,84,75,93,86,239,102,68,57,57,"4,429",297,367,280,300,278,280,274,280,355,280,280,278,299,279,302,"4,369",0,"1,146",999,"1,326",898,12,5,3,4,0,0,"22,485"
27-Jul-13,"3,376","3,347",36,"3,252","2,200","1,460",89,72,65,72,87,78,63,73,84,75,93,86,239,102,68,57,57,"4,428",297,367,280,300,278,280,274,280,355,279,280,278,299,279,302,"4,369",0,"1,146",999,"1,326",898,12,5,3,4,0,0,"22,480"
