date_raw,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County (opened on May 10th),Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta (Closed),East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,TOTALS
Capacity,"5,551","3,099","2,214","2,113","1,350",75,75,75,75,75,75,75,75,75,75,75,75,150,75,75,75,75,"2,750",250,250,250,250,250,250,250,250,250,250,250,"4,750","1,000","1,000","1,000",750,"1,000",24,6,12,6,6,"21,857"
1-Nov-02,"5,359","3,032","2,016","1,966","1,243",74,69,72,71,70,72,68,64,66,69,68,60,130,73,71,72,74,"2,493",227,229,227,226,224,225,227,225,227,228,228,"3,408",0,722,991,713,982,10,4,6,0,5,"19,532"
2-Nov-02,"5,358","3,029","2,015","1,966","1,242",74,69,72,71,70,72,68,63,66,69,68,60,130,73,71,72,74,"2,493",227,229,227,226,224,225,227,225,227,228,228,"3,407",0,721,991,713,982,10,4,6,0,5,"19,525"
3-Nov-02,"5,356","3,030","2,015","1,966","1,242",74,69,72,71,70,72,68,63,66,69,68,59,130,73,71,73,74,"2,492",227,229,227,225,224,225,227,225,227,228,228,"3,405",0,720,991,713,981,10,4,6,0,5,"19,521"
4-Nov-02,"5,345","3,034","2,034","1,957","1,288",74,73,75,74,73,73,74,69,74,71,68,59,137,74,71,74,75,"2,491",227,229,227,225,224,225,227,225,227,227,228,"3,402",0,720,989,713,980,11,4,6,1,5,"19,567"
5-Nov-02,"5,359","3,045","2,035","1,943","1,283",75,73,74,74,73,73,74,67,74,71,67,59,136,73,71,74,75,"2,497",227,229,226,225,227,227,227,227,227,227,228,"3,399",0,719,987,713,980,11,4,6,1,5,"19,577"
6-Nov-02,"5,353","3,041","2,055","1,940","1,274",74,73,73,74,71,72,74,66,73,70,66,59,136,73,71,74,75,"2,496",227,229,224,225,227,227,229,227,227,227,227,"3,397",0,718,986,713,980,11,4,6,1,5,"19,572"
7-Nov-02,"5,364","3,040","2,054","1,966","1,274",74,73,71,74,71,72,73,66,75,71,64,59,137,73,71,75,75,"2,492",227,229,224,224,227,227,227,227,227,227,226,"3,393",0,717,986,711,979,11,4,6,1,5,"19,599"
8-Nov-02,"5,356","3,048","2,055","1,990","1,261",72,70,70,74,68,72,72,74,70,70,62,56,138,73,75,75,70,"2,491",227,229,224,226,227,227,227,226,225,227,226,"3,403",0,728,985,711,979,10,4,5,1,4,"19,618"
9-Nov-02,"5,355","3,049","2,052","1,990","1,260",72,70,70,74,68,72,72,74,70,70,61,56,138,73,75,75,70,"2,491",227,229,224,226,227,227,227,226,225,227,226,"3,403",0,728,985,711,979,10,4,5,1,4,"19,614"
10-Nov-02,"5,352","3,048","2,052","1,990","1,260",72,70,70,74,68,72,72,74,70,70,61,56,138,73,75,75,70,"2,491",227,229,224,226,227,227,227,226,225,227,226,"3,403",0,728,985,711,979,10,4,5,1,4,"19,610"
