Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Tallahatchie County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,529","3,233","2,306","2,177","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"3,058",294,280,280,280,274,250,280,280,280,280,280,"5,100",972,"1,000","1,000",128,"1,000","1,000",16,6,6,4,6,,"22,241"
1-Feb-06,"4,322","3,170","2,108","1,657","1,726",90,98,86,99,94,97,95,95,100,89,81,84,224,98,101,98,97,"3,045",293,280,277,279,271,250,280,279,278,279,279,"4,756",967,826,994,128,923,918,14,3,6,5,6,4,"20,808"
2-Feb-06,"4,338","3,174","2,100","1,674","1,729",92,98,84,99,94,97,92,96,101,90,87,86,224,97,101,98,93,"3,046",292,280,278,279,270,250,280,280,279,279,279,"4,744",965,826,994,128,911,920,14,3,6,5,6,2,"20,827"
3-Feb-06,"4,317","3,186","2,096","1,664","1,683",82,96,83,97,92,95,90,93,94,83,92,85,222,95,100,96,88,"3,048",291,278,280,280,273,250,279,280,279,280,278,"4,754",967,826,993,127,921,920,14,3,6,5,6,60,"20,828"
4-Feb-06,"4,315","3,178","2,096","1,664","1,681",82,96,83,95,92,95,90,93,94,84,91,85,222,95,100,96,88,"3,047",291,278,280,280,272,250,279,280,279,280,278,"4,751",966,826,992,127,920,920,14,3,6,5,6,63,"20,815"
5-Feb-06,"4,311","3,177","2,097","1,664","1,681",82,96,83,95,92,95,90,93,94,84,91,85,222,95,100,96,88,"3,045",291,278,279,280,271,250,279,280,279,280,278,"4,750",966,826,992,127,920,919,14,3,6,5,6,59,"20,804"
6-Feb-06,"4,327","3,164","2,089","1,679","1,736",92,97,88,96,94,97,94,98,99,89,92,85,227,96,101,97,94,"3,047",293,280,279,280,271,250,277,280,280,280,277,"4,748",966,826,992,127,917,920,14,3,6,5,6,7,"20,817"
7-Feb-06,"4,323","3,175","2,091","1,693","1,741",91,97,88,96,97,97,95,100,99,89,90,85,227,96,102,97,95,"3,052",295,280,280,280,273,249,278,280,280,280,277,"4,750",970,826,995,126,912,921,14,3,6,5,6,8,"20,853"
8-Feb-06,"4,336","3,197","2,083","1,688","1,723",91,99,84,92,91,97,95,99,99,87,90,86,226,96,99,98,94,"3,047",294,280,280,280,273,247,280,279,280,280,274,"4,765",971,825,994,127,924,924,13,3,6,4,6,7,"20,865"
9-Feb-06,"4,332","3,193","2,095","1,709","1,732",91,99,82,90,91,97,95,98,98,89,93,86,228,101,99,98,97,"3,048",293,280,279,280,274,247,280,280,280,279,276,"4,760",970,824,994,127,921,924,13,3,6,4,6,7,"20,895"
