Location,MS STATE PENITENTIARY (See note at bottom),CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta       (Reopened 04-01-04),East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"5,396","3,233","2,214","2,224","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"2,750",250,250,250,250,250,250,250,250,250,250,250,"4,700",950,"1,000","1,000",750,"1,000",24,6,12,6,6,,"22,363"
1-May-04,"5,383","3,164","2,173","2,129","1,703",90,96,92,95,100,93,96,99,101,89,71,80,212,102,101,84,102,"2,745",250,250,250,249,249,250,250,250,248,250,249,"3,821",395,725,994,716,991,14,6,5,3,5,28,"21,165"
2-May-04,"5,383","3,164","2,174","2,129","1,703",90,96,92,95,100,93,96,99,101,89,71,80,212,102,101,84,102,"2,745",250,250,250,249,249,250,250,250,248,250,249,"3,821",395,725,994,716,991,14,6,5,3,5,27,"21,165"
3-May-04,"5,383","3,158","2,187","2,161","1,725",90,101,95,97,100,93,95,100,101,89,71,79,214,102,101,97,100,"2,734",249,249,248,248,249,250,248,248,247,250,248,"3,820",395,724,992,714,995,14,6,5,3,5,9,"21,196"
4-May-04,"5,341","3,160","2,186","2,142","1,734",89,101,94,98,100,95,100,101,102,92,71,79,213,102,101,96,100,"2,742",249,251,250,249,247,249,248,250,250,250,249,"3,866",439,724,993,715,995,14,6,5,3,5,9,"21,199"
5-May-04,"5,344","3,160","2,194","2,133","1,731",89,100,92,96,100,95,101,101,102,92,71,79,217,102,101,94,99,"2,746",249,251,250,249,249,250,250,249,250,250,249,"3,864",438,723,995,714,994,14,6,5,3,5,7,"21,198"
6-May-04,"5,320","3,164","2,188","2,133","1,725",89,100,91,96,98,94,101,101,102,92,71,79,216,102,101,93,99,"2,742",249,249,249,250,248,250,250,250,249,250,248,"3,900",482,723,995,708,992,14,6,5,3,5,8,"21,199"
7-May-04,"5,320","3,171","2,185","2,107","1,697",86,100,90,95,96,98,96,98,99,91,71,78,212,99,96,93,99,"2,742",249,249,249,250,250,250,249,250,249,250,247,"3,903",480,729,995,705,994,14,6,5,3,5,39,"21,183"
8-May-04,"5,316","3,168","2,185","2,107","1,696",86,100,90,95,96,98,96,98,99,91,71,78,211,99,96,93,99,"2,742",249,249,249,250,250,250,249,250,249,250,247,"3,903",480,729,995,705,994,14,6,5,3,5,39,"21,175"
9-May-04,"5,316","3,168","2,185","2,107","1,696",86,100,90,95,96,98,96,98,99,91,71,78,211,99,96,93,99,"2,742",249,249,249,250,250,250,249,250,249,250,247,"3,903",480,729,995,705,994,14,6,5,3,5,39,"21,175"
10-May-04,"5,300","3,171","2,184","2,116","1,726",90,102,95,97,97,100,102,99,101,91,71,79,214,98,97,93,100,"2,749",250,250,250,249,250,250,250,250,250,250,250,"3,900",478,729,994,705,994,14,6,5,3,5,7,"21,172"
11-May-04,"5,272","3,189","2,177","2,109","1,726",89,102,95,97,102,101,102,99,100,91,71,79,212,97,97,91,101,"2,747",250,249,250,249,251,250,249,250,250,249,250,"3,939",522,728,993,703,993,14,6,5,3,5,7,"21,185"
12-May-04,"5,243","3,200","2,159","2,112","1,722",92,99,95,100,100,99,102,101,100,91,71,79,212,99,95,89,98,"2,743",250,249,249,250,248,248,249,250,250,250,250,"3,938",522,728,993,700,995,14,6,5,3,5,7,"21,143"
13-May-04,"5,188","3,172","2,183","2,132","1,730",92,97,95,100,99,97,102,101,102,91,71,80,211,98,95,98,101,"2,741",250,249,249,250,248,248,249,250,250,250,248,"3,981",568,727,992,701,993,15,6,6,3,5,7,"21,154"
