Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,557",42,"3,282","1,818","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,611"
19-Jan-13,"3,318","3,358",18,"3,207","2,246","1,421",86,64,67,68,62,53,73,67,85,74,91,87,229,95,73,59,88,"4,281",299,355,271,300,271,272,272,278,330,275,278,274,249,264,293,"4,274",0,"1,111",999,"1,264",900,13,5,6,2,0,37,"22,173"
20-Jan-13,"3,315","3,353",19,"3,206","2,246","1,420",86,64,67,68,62,53,73,67,84,74,91,87,229,95,73,59,88,"4,278",299,355,271,300,271,271,272,278,330,274,277,274,249,264,293,"4,269",0,"1,110",999,"1,261",899,13,5,6,2,0,40,"22,159"
21-Jan-13,"3,310","3,353",19,"3,204","2,261","1,451",88,64,70,71,65,60,76,69,84,77,91,89,232,96,73,57,89,"4,273",298,354,271,300,271,271,271,278,329,274,277,274,248,264,293,"4,267",0,"1,109",999,"1,260",899,12,5,4,3,0,10,"22,160"
22-Jan-13,"3,341","3,165",19,"3,224","2,228","1,469",88,68,74,78,65,63,76,67,82,77,93,89,230,99,77,56,87,"4,346",298,367,280,300,279,279,274,280,335,278,277,279,247,278,295,"4,286",0,"1,109",999,"1,275",903,12,5,4,3,0,9,"22,099"
23-Jan-13,"3,335","3,253",19,"3,241","2,194","1,460",87,68,71,77,66,60,75,67,82,77,92,89,230,102,77,55,85,"4,346",298,366,280,300,277,280,274,280,334,278,278,279,248,278,296,"4,281",0,"1,107",999,"1,272",903,12,5,4,3,0,9,"22,150"
24-Jan-13,"3,351","3,242",19,"3,240","2,184","1,442",70,68,71,76,64,60,75,69,81,77,92,88,228,102,76,60,85,"4,354",300,366,279,300,279,280,273,279,336,277,278,280,248,276,303,"4,283",0,"1,115",997,"1,275",896,13,6,4,3,0,9,"22,137"
25-Jan-13,"3,346","3,226",17,"3,251","2,204","1,428",92,64,70,76,58,58,74,64,80,72,92,84,228,100,72,68,76,"4,353",300,366,279,300,280,280,274,279,333,277,280,279,248,275,303,"4,282",0,"1,115",997,"1,274",896,14,6,4,4,0,40,"22,161"
26-Jan-13,"3,346","3,220",19,"3,250","2,204","1,429",92,64,70,76,59,58,74,64,80,72,92,84,228,100,72,68,76,"4,349",299,365,279,300,280,280,274,278,333,277,280,279,247,275,303,"4,282",0,"1,115",997,"1,274",896,14,6,4,4,0,40,"22,153"
27-Jan-13,"3,342","3,220",19,"3,249","2,204","1,428",92,64,70,76,59,58,74,64,79,72,92,84,228,100,72,68,76,"4,348",299,365,279,300,280,280,274,277,333,277,280,279,247,275,303,"4,278",0,"1,113",997,"1,273",895,14,6,4,4,0,41,"22,143"
