Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Tallahatchie County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,527","3,425","2,884","1,606","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"3,088",294,280,280,280,274,280,280,280,280,280,280,"4,972",972,"1,000","1,000",0,"1,000","1,000",16,6,6,4,6,,"22,340"
1-Sep-07,"4,457","3,379","2,756","1,800","1,763",92,97,89,102,101,99,97,100,100,92,91,91,215,101,100,95,101,"3,075",292,280,279,280,274,273,279,280,279,280,279,"4,784",972,890,994,0,937,991,13,4,5,4,5,6,"22,038"
2-Sep-07,"4,455","3,378","2,755","1,800","1,762",92,96,89,102,101,99,97,100,100,92,91,91,215,101,100,95,101,"3,074",292,280,279,280,274,273,279,280,279,280,278,"4,784",972,890,994,0,937,991,13,4,5,4,5,7,"22,033"
3-Sep-07,"4,454","3,379","2,755","1,801","1,759",92,96,95,102,101,99,96,100,100,92,91,91,213,95,100,95,101,"3,070",292,280,278,280,274,273,279,279,277,280,278,"4,781",972,887,994,0,937,991,13,4,5,4,5,8,"22,025"
4-Sep-07,"4,458","3,396","2,756","1,798","1,762",92,95,95,101,101,99,97,100,99,92,90,92,212,95,100,101,101,"3,071",293,277,280,280,270,276,279,280,278,280,278,"4,778",972,887,995,0,933,991,13,4,5,4,5,9,"22,046"
5-Sep-07,"4,451","3,407","2,756","1,811","1,772",92,100,94,100,101,101,102,101,102,92,89,91,212,95,99,100,101,"3,071",289,277,280,280,273,274,279,280,280,280,279,"4,767",968,887,993,0,928,991,13,4,5,4,5,10,"22,063"
6-Sep-07,"4,444","3,412","2,766","1,824","1,774",91,99,93,101,100,101,102,101,102,92,91,92,217,95,98,97,102,"3,070",288,280,279,280,273,274,278,279,280,280,279,"4,765",969,886,992,0,928,990,14,5,5,4,5,10,"22,084"
7-Sep-07,"4,445","3,405","2,772","1,829","1,729",88,98,81,101,98,98,102,100,101,87,91,86,212,96,94,100,96,"3,078",294,280,279,279,273,274,279,280,280,280,280,"4,768",969,885,996,0,926,992,14,5,5,4,5,54,"22,099"
8-Sep-07,"4,437","3,400","2,768","1,829","1,728",88,98,81,101,98,99,102,100,101,86,90,86,212,96,94,100,96,"3,077",294,280,279,279,273,274,279,279,280,280,280,"4,762",968,884,995,0,923,992,14,5,5,4,5,55,"22,075"
9-Sep-07,"4,435","3,398","2,768","1,829","1,728",88,98,81,100,98,99,102,100,101,87,90,86,212,96,94,100,96,"3,075",293,280,279,279,273,273,279,279,280,280,280,"4,760",967,884,995,0,923,991,14,5,5,4,5,54,"22,066"
