Location,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta       (Reopened 04-01-04),East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"5,768","3,233","2,214","2,176","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"2,750",250,250,250,250,250,250,250,250,250,250,250,"4,700",950,"1,000","1,000",750,"1,000",24,6,12,6,6,,"22,687"
14-Apr-04,"5,559","3,189","2,161","2,174","1,634",90,98,95,77,90,78,88,101,102,89,71,76,196,100,101,83,99,"2,741",248,250,248,249,247,250,250,250,250,250,249,"3,601",173,718,993,723,994,14,6,5,3,6,7,"21,086"
15-Apr-04,"5,544","3,161","2,160","2,173","1,646",92,101,95,86,90,78,86,102,102,88,71,75,196,100,101,83,100,"2,740",248,250,247,249,247,250,250,250,250,250,249,"3,651",217,725,993,723,993,14,6,5,3,6,6,"21,101"
16-Apr-04,"5,537","3,170","2,173","2,161","1,641",90,101,93,85,89,78,87,102,102,88,71,78,196,98,100,83,100,"2,749",250,250,249,250,250,250,250,250,250,250,250,"3,648",217,724,993,719,995,12,4,5,3,6,17,"21,114"
17-Apr-04,"5,537","3,170","2,171","2,161","1,641",90,101,93,85,89,78,87,102,102,88,71,78,196,98,100,83,100,"2,749",250,250,249,250,250,250,250,250,250,250,250,"3,648",217,724,993,719,995,12,4,5,3,6,17,"21,112"
18-Apr-04,"5,537","3,170","2,171","2,161","1,640",90,101,93,85,89,78,87,102,102,88,71,78,196,98,100,82,100,"2,748",250,250,248,250,250,250,250,250,250,250,250,"3,647",217,724,992,719,995,12,4,5,3,6,16,"21,108"
19-Apr-04,"5,541","3,175","2,172","2,150","1,645",92,101,96,84,89,78,86,101,101,87,70,80,197,100,101,82,100,"2,747",250,249,249,250,249,250,250,250,250,250,250,"3,645",217,724,992,718,994,13,6,4,3,6,7,"21,101"
20-Apr-04,"5,491","3,185","2,192","2,132","1,647",92,101,96,84,89,78,86,101,100,90,70,80,197,100,102,82,99,"2,747",250,249,248,250,250,250,250,250,250,250,250,"3,689",261,724,994,717,993,14,6,5,3,6,6,"21,109"
21-Apr-04,"5,504","3,188","2,186","2,100","1,662",91,101,96,84,92,85,86,101,102,90,73,81,197,100,101,82,100,"2,749",250,250,250,250,250,250,249,250,250,250,250,"3,690",261,724,993,719,993,14,6,5,3,6,9,"21,108"
22-Apr-04,"5,467","3,178","2,191","2,104","1,669",92,102,96,84,92,82,86,102,102,89,71,80,209,98,101,81,102,"2,748",250,250,250,248,250,250,250,250,250,250,250,"3,735",306,724,995,718,992,14,6,5,3,6,8,"21,120"
23-Apr-04,"5,469","3,176","2,200","2,081","1,645",91,101,90,85,91,79,86,99,100,89,71,78,206,102,101,78,98,"2,749",250,250,250,250,249,250,250,250,250,250,250,"3,745",306,728,995,721,995,13,6,5,2,6,31,"21,115"
24-Apr-04,"5,467","3,174","2,201","2,081","1,645",91,101,90,85,91,79,86,99,100,89,71,78,206,102,101,78,98,"2,748",250,250,250,250,249,250,250,250,250,250,249,"3,745",306,728,995,721,995,13,6,5,2,6,29,"21,109"
25-Apr-04,"5,466","3,174","2,203","2,081","1,645",92,101,90,85,91,78,86,99,100,89,71,78,206,102,101,78,98,"2,747",250,250,249,250,249,250,250,250,250,250,249,"3,744",306,727,995,721,995,13,6,5,2,6,28,"21,107"
26-Apr-04,"5,465","3,173","2,204","2,083","1,666",92,101,95,86,91,81,86,102,102,89,71,79,208,101,100,80,102,"2,746",250,250,249,250,249,250,250,250,250,250,248,"3,743",306,727,995,721,994,14,6,5,3,6,6,"21,106"
