date_raw,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilikinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,TOTALS
Capacity,"5,612","3,049","2,214","2,122","1,320",75,75,75,75,75,75,75,75,75,75,75,75,120,75,75,75,75,"2,500",250,250,250,250,250,250,250,250,250,250,"3,900","1,000",500,"1,000",500,900,24,6,12,6,6,"20,747"
1-Oct-01,"5,224","3,037","2,057","1,574","1,239",75,74,71,71,74,72,75,75,71,72,50,53,112,74,75,70,75,"2,034",206,200,198,200,212,225,198,200,195,200,"3,486",837,493,870,405,881,17,6,11,0,6,"18,674"
2-Oct-01,"5,244","3,017","2,056","1,562","1,243",74,74,73,71,74,72,75,75,73,72,50,53,114,74,75,69,75,"2,031",206,200,198,200,210,224,198,200,195,200,"3,494",842,492,869,410,881,15,6,9,0,6,"18,668"
3-Oct-01,"5,239","3,006","2,084","1,562","1,245",74,74,73,72,74,75,75,75,75,72,49,53,112,74,75,69,74,"2,026",206,199,198,198,209,222,200,200,194,200,"3,493",842,491,869,410,881,15,6,9,0,6,"18,676"
4-Oct-01,"5,262","2,996","2,075","1,618","1,243",74,74,73,71,74,75,75,75,75,71,48,54,112,74,75,69,74,"2,027",206,199,198,198,208,222,199,200,197,200,"3,479",841,491,867,399,881,15,6,9,0,6,"18,721"
5-Oct-01,"5,254","3,009","2,078","1,611","1,189",72,68,71,73,69,68,72,73,71,70,47,53,110,68,68,68,68,"2,027",206,199,199,197,208,222,199,200,197,200,"3,479",840,490,867,401,881,13,5,8,0,6,"18,666"
6-Oct-01,"5,252","3,009","2,077","1,609","1,187",72,68,71,73,69,68,72,73,71,70,47,53,110,67,67,68,68,"2,027",206,199,199,197,208,222,199,200,197,200,"3,479",840,490,867,401,881,13,5,8,0,6,"18,659"
7-Oct-01,"5,250","3,004","2,077","1,609","1,188",72,68,71,73,69,68,72,73,71,70,47,53,110,67,68,68,68,"2,027",206,199,199,197,208,222,199,200,197,200,"3,478",840,489,867,401,881,13,5,8,0,6,"18,652"
8-Oct-01,"5,241","3,008","2,076","1,600","1,239",74,73,73,74,74,72,75,75,74,71,47,53,111,74,73,74,72,"2,022",205,199,199,197,208,220,199,199,196,200,"3,477",840,489,867,400,881,14,6,8,0,6,"18,683"
9-Oct-01,"5,270","2,997","2,071","1,615","1,241",72,75,73,74,74,75,75,75,74,71,46,53,111,74,73,74,72,"2,020",205,198,199,196,209,220,198,199,196,200,"3,474",839,489,865,400,881,14,6,8,0,6,"18,708"
10-Oct-01,"5,271","2,989","2,068","1,623","1,246",73,73,74,74,74,75,75,74,74,70,46,53,118,75,72,73,73,"2,032",207,199,199,198,212,220,198,199,200,200,"3,483",843,489,869,396,886,15,6,9,0,6,"18,733"
