Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TRANSITIONAL HOUSING,Madison,Noxubee,Rankin/Flowood,Washington,Wilkinson,TOTALS
Capacity,"3,590","3,750",58,0,"3,082","1,781","1,188",0,0,96,102,102,0,0,82,20,62,58,93,93,178,28,50,82,20,60,62,0,"4,494",300,369,280,310,280,280,274,280,355,280,280,326,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,164,40,34,8,42,40,"24,095"
18-Aug-17,"3,381","3,304",32,28,"3,046","1,258",894,0,0,55,70,58,0,0,71,17,60,47,75,52,170,10,10,71,15,58,55,0,"3,815",240,293,252,278,272,224,273,278,344,198,224,262,222,217,238,"3,087",0,"1,201",999,0,887,11,6,4,1,30,1,26,3,0,0,"18,886"
19-Aug-17,"3,382","3,304",32,28,"3,043","1,258",891,0,0,55,70,58,0,0,71,17,60,47,75,50,170,10,10,71,15,57,55,0,"3,814",240,293,251,278,272,224,273,278,344,198,224,262,222,217,238,"3,089",0,"1,202",999,0,888,11,6,4,1,30,1,26,3,0,0,"18,882"
20-Aug-17,"3,382","3,304",32,28,"3,043","1,258",893,0,0,55,70,58,0,0,71,17,60,47,75,50,170,10,10,71,17,57,55,0,"3,812",240,293,251,278,272,224,272,277,344,198,224,262,222,217,238,"3,089",0,"1,202",999,0,888,11,6,4,1,30,1,26,3,0,0,"18,882"
21-Aug-17,"3,373","3,300",32,27,"3,038","1,310",899,0,0,55,72,59,0,0,70,17,60,51,78,51,168,10,10,70,15,57,56,0,"3,805",240,292,250,278,272,224,271,277,343,197,224,262,222,216,237,"3,087",0,"1,202",999,0,886,11,6,4,1,29,1,25,3,0,0,"18,911"
22-Aug-17,"3,392","3,296",32,28,"3,041","1,324",892,0,0,55,72,59,0,0,68,17,62,51,76,51,168,10,10,66,15,57,55,0,"3,799",240,290,250,278,271,224,269,277,344,200,224,261,222,213,236,"3,086",0,"1,201",999,0,886,13,6,4,3,31,1,25,5,0,0,"18,934"
23-Aug-17,"3,388","3,283",32,28,"3,036","1,332",905,0,0,55,72,58,0,0,77,17,61,51,76,51,168,10,8,74,15,57,55,0,"3,801",239,287,260,276,271,224,268,279,344,198,223,262,222,213,235,"3,097",0,"1,214",998,0,885,13,6,4,3,32,1,26,5,0,0,"18,947"
24-Aug-17,"3,382","3,276",32,28,"3,040","1,300",910,0,0,62,72,57,0,0,76,17,62,51,76,50,168,10,7,73,15,57,57,0,"3,814",239,293,250,275,273,223,268,280,351,198,221,261,222,224,236,"3,119",0,"1,222",998,0,899,13,6,4,3,32,1,26,5,0,0,"18,946"
25-Aug-17,"3,370","3,259",32,25,"3,043","1,292",922,0,0,63,71,57,0,0,76,20,62,50,75,51,168,10,15,73,15,59,57,0,"3,822",240,290,250,275,273,223,273,279,352,199,224,262,221,222,239,"3,128",0,"1,230","1,000",0,898,13,6,4,3,31,1,25,5,0,0,"18,937"
26-Aug-17,"3,369","3,259",32,25,"3,043","1,292",922,0,0,63,71,57,0,0,76,20,62,50,75,51,168,10,15,73,15,59,57,0,"3,820",240,289,250,275,273,223,273,278,352,199,224,262,221,222,239,"3,128",0,"1,230","1,000",0,898,13,6,4,3,31,1,25,5,0,0,"18,934"
27-Aug-17,"3,366","3,258",32,25,"3,043","1,292",921,0,0,63,71,57,0,0,75,20,62,50,75,51,168,10,15,73,15,59,57,0,"3,819",240,289,250,275,273,223,272,278,352,199,224,262,221,222,239,"3,128",0,"1,230","1,000",0,898,13,6,4,3,31,1,25,5,0,0,"18,928"
28-Aug-17,"3,375","3,286",32,12,"3,042","1,292",914,0,0,63,72,57,0,0,69,20,62,50,76,51,168,10,12,73,15,59,57,0,"3,812",240,289,251,274,272,223,271,276,352,200,223,262,219,221,239,"3,128",0,"1,230","1,000",0,898,13,6,4,3,31,1,25,5,0,0,"18,937"
29-Aug-17,"3,386","3,303",32,9,"3,041","1,284",908,0,0,63,72,58,0,0,67,20,61,50,76,51,168,10,12,71,15,59,55,0,"3,804",240,288,250,273,272,223,271,275,352,200,223,262,217,221,237,"3,122",0,"1,226",998,0,898,13,6,4,3,31,1,25,5,0,0,"18,933"
30-Aug-17,"3,368","3,311",32,10,"3,037","1,289",902,0,0,63,71,59,0,0,65,19,60,50,78,51,166,10,11,70,15,60,54,0,"3,814",240,292,251,273,272,224,272,279,350,201,224,263,216,222,235,"3,122",0,"1,226","1,000",0,896,13,6,4,3,30,1,24,5,0,0,"18,928"
31-Aug-17,"3,362","3,328",32,10,"3,042","1,294",900,0,0,63,68,60,0,0,69,19,60,50,77,49,166,10,11,69,15,60,54,0,"3,814",239,289,251,273,273,224,272,276,352,201,224,263,216,224,237,"3,119",0,"1,225","1,000",0,894,13,6,4,3,37,1,31,5,0,0,"18,951"
Avg Population,"3,367","3,300",31,23,"3,041","1,268",902,0,0,57,72,61,0,0,71,17,61,50,77,47,169,10,11,70,16,59,55,0,"3,821",240,291,254,276,271,223,272,278,350,198,223,262,226,221,237,"3,085",0,"1,193",999,0,894,13,6,5,2,26,1,21,4,0,0,"18,877"
