date_raw,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS (increased by 15 on 11/2),COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilikinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,TOTALS
Capacity,"5,551","3,049","2,214","2,137","1,320",75,75,75,75,75,75,75,75,75,75,75,75,120,75,75,75,75,"2,500",250,250,250,250,250,250,250,250,250,250,"3,900","1,000",500,"1,000",500,900,24,6,12,6,6,"20,701"
21-Nov-01,"5,205","2,982","2,105","1,693","1,284",74,74,75,72,70,69,71,74,73,74,68,70,122,75,75,73,75,"2,044",207,200,201,199,209,227,199,200,201,201,"3,546",843,496,871,444,892,18,6,11,1,5,"18,882"
22-Nov-01,"5,205","2,982","2,104","1,692","1,283",74,74,75,72,70,68,71,74,73,74,68,70,122,75,75,73,75,"2,043",207,200,201,199,209,227,199,200,200,201,"3,545",843,495,871,444,892,18,6,11,1,5,"18,877"
23-Nov-01,"5,200","2,982","2,104","1,691","1,281",74,74,75,72,70,68,71,74,71,74,68,70,122,75,75,73,75,"2,042",207,200,201,199,209,226,199,200,200,201,"3,545",843,495,871,444,892,18,6,11,1,5,"18,868"
24-Nov-01,"5,406","2,980","2,104","1,692","1,280",74,74,75,72,70,68,71,74,71,74,67,70,122,75,75,73,75,"1,834",0,200,200,199,209,226,199,200,200,201,"3,545",843,495,871,444,892,18,6,11,1,5,"18,864"
25-Nov-01,"5,406","2,981","2,104","1,692","1,280",74,74,75,72,70,68,71,74,71,74,67,70,122,75,75,73,75,"1,834",0,200,200,199,209,226,199,200,200,201,"3,544",843,494,871,444,892,18,6,11,1,5,"18,864"
26-Nov-01,"5,369","2,989","2,099","1,702","1,248",69,70,73,70,68,67,72,69,70,73,67,68,122,74,73,72,71,"1,828",0,199,200,195,209,226,199,199,200,201,"3,532",839,494,865,444,890,18,6,11,1,5,"18,790"
27-Nov-01,"5,367","3,006","2,091","1,726","1,244",73,67,72,69,68,67,72,71,69,72,67,68,121,74,73,70,71,"1,823",0,199,195,195,209,227,199,199,199,201,"3,530",839,493,864,444,890,18,6,11,1,5,"18,810"
28-Nov-01,"5,278","2,984","2,079","1,751","1,248",73,66,72,71,69,67,73,71,70,72,67,67,120,73,72,70,75,"1,870",0,217,209,195,207,227,199,199,199,218,"3,593",859,494,881,469,890,18,6,11,1,5,"18,826"
29-Nov-01,"5,211","2,961","2,089","1,748","1,248",73,66,68,71,69,67,73,70,70,72,67,69,119,75,74,70,75,"1,931",0,216,216,210,207,244,215,206,199,218,"3,611",857,492,882,490,890,18,6,11,1,5,"18,822"
30-Nov-01,"5,193","2,946","2,086","1,731","1,251",73,66,68,71,70,68,73,70,69,72,67,69,121,75,74,70,75,"1,970",0,216,216,210,221,243,216,216,214,218,"3,613",855,492,882,494,890,18,6,11,1,5,"18,813"
