date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,435","3,449","3,204","1,543","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,763",294,280,300,280,280,274,280,355,280,280,280,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"24,236"
19-Dec-10,"3,252","3,213","3,177","1,664","1,585",80,83,73,86,75,84,97,83,101,92,86,67,217,101,84,84,92,"3,000",235,223,236,224,224,218,223,284,225,224,221,222,241,"5,240",900,"1,359",903,"1,195",883,8,4,3,1,5,15,"21,159"
20-Dec-10,"3,262","3,239","3,175","1,663","1,568",79,83,72,86,75,84,97,82,96,91,84,71,214,101,84,81,88,"3,000",234,222,235,224,224,222,222,284,226,224,222,220,241,"5,235",899,"1,359",903,"1,187",887,8,4,3,1,5,12,"21,167"
21-Dec-10,"3,257","3,220","3,186","1,643","1,547",79,81,71,85,75,82,93,80,99,90,84,71,208,95,84,85,85,"3,004",234,222,239,224,224,219,223,285,226,224,221,223,240,"5,250",902,"1,361",903,"1,197",887,8,4,3,1,5,14,"21,134"
22-Dec-10,"3,264","3,214","3,179","1,644","1,545",79,81,73,84,73,81,93,80,99,90,84,71,203,95,89,85,85,"3,006",234,224,238,224,224,217,224,284,227,223,223,223,241,"5,256",902,"1,364",903,"1,200",887,8,4,3,1,5,15,"21,136"
23-Dec-10,"3,270","3,217","3,185","1,655","1,537",78,81,72,84,73,81,93,80,98,90,82,71,200,95,89,85,85,"3,010",234,223,238,225,224,217,225,284,229,224,223,223,241,"5,257",900,"1,368",900,"1,202",887,8,4,3,1,5,12,"21,156"
24-Dec-10,"3,266","3,217","3,183","1,653","1,537",78,81,72,84,73,81,93,80,98,90,81,71,201,95,89,85,85,"3,009",234,223,238,224,224,217,225,284,229,224,223,223,241,"5,255",900,"1,367",900,"1,201",887,8,4,3,1,5,11,"21,144"
25-Dec-10,"3,266","3,218","3,183","1,653","1,535",78,81,72,84,73,81,93,79,98,90,81,71,200,95,89,85,85,"3,007",234,223,238,224,224,216,225,284,228,224,223,223,241,"5,254",900,"1,367",900,"1,200",887,8,4,3,1,5,8,"21,137"
26-Dec-10,"3,264","3,216","3,182","1,653","1,535",78,81,72,84,73,81,93,79,98,90,81,71,200,95,89,85,85,"3,007",234,223,238,224,224,216,225,284,228,224,223,223,241,"5,253",899,"1,367",900,"1,200",887,8,4,3,1,5,9,"21,132"
27-Dec-10,"3,261","3,215","3,181","1,653","1,534",78,81,71,84,73,81,93,79,98,90,81,71,200,95,89,85,85,"3,005",234,223,238,224,224,216,224,284,227,224,223,223,241,"5,249",899,"1,366",900,"1,198",886,8,4,3,1,5,9,"21,120"
