Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Tallahatchie County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,534","3,381","2,564","1,773","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"3,082",294,280,280,280,274,274,280,280,280,280,280,"5,100",972,"1,000","1,000",128,"1,000","1,000",16,6,6,4,6,,"22,272"
19-Apr-07,"4,528","3,444","2,466","1,806","1,754",92,102,91,100,97,102,99,101,102,89,79,81,215,102,99,102,101,"3,072",292,280,280,280,273,272,279,280,280,279,277,"4,895",968,888,995,128,942,974,11,4,5,2,5,8,"21,989"
20-Apr-07,"4,530","3,424","2,479","1,844","1,714",92,102,89,95,92,102,95,101,101,85,72,75,215,101,96,102,99,"3,064",290,280,277,280,273,269,280,280,280,276,279,"4,898",970,886,995,127,946,974,11,4,5,2,5,37,"22,006"
21-Apr-07,"4,529","3,423","2,479","1,844","1,713",92,102,89,95,92,102,95,101,101,85,72,75,215,101,95,102,99,"3,057",289,280,277,278,272,268,279,280,280,275,279,"4,890",966,885,994,127,944,974,11,4,5,2,5,38,"21,989"
22-Apr-07,"4,524","3,423","2,478","1,844","1,714",92,102,89,95,92,102,95,101,102,85,72,75,215,101,95,102,99,"3,055",289,280,276,278,272,267,279,280,280,275,279,"4,889",965,885,994,127,944,974,11,4,5,2,5,37,"21,980"
23-Apr-07,"4,523","3,453","2,472","1,831","1,747",91,102,94,100,102,102,96,101,102,90,73,78,213,102,98,102,101,"3,063",290,279,278,279,274,269,278,279,280,277,280,"4,880",965,885,993,127,944,966,11,4,5,2,5,9,"21,994"
24-Apr-07,"4,516","3,484","2,466","1,803","1,746",91,101,93,100,102,101,96,100,102,90,73,80,215,102,98,102,100,"3,067",289,280,280,280,271,268,280,279,280,280,280,"4,875",961,885,993,128,945,963,11,4,5,2,5,12,"21,985"
25-Apr-07,"4,527","3,472","2,493","1,778","1,757",91,100,91,101,101,101,102,100,102,90,77,78,220,102,98,102,101,"3,061",288,279,280,280,268,266,280,280,279,281,280,"4,863",960,887,994,128,933,961,11,4,5,2,5,15,"21,982"
26-Apr-07,"4,513","3,447","2,495","1,784","1,772",90,102,96,102,100,101,96,102,102,90,81,86,222,102,98,101,101,"3,072",292,279,280,279,269,274,280,280,279,280,280,"4,881",970,887,993,128,933,970,11,4,5,2,5,15,"21,995"
27-Apr-07,"4,516","3,417","2,495","1,832","1,740",89,101,92,101,100,96,96,98,101,88,87,84,216,98,98,98,97,"3,072",292,279,279,279,272,273,280,279,279,280,280,"4,881",969,887,992,128,935,970,11,4,5,2,5,42,"22,011"
