date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Tallahatchie County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,534","3,381","2,484","1,727","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"3,082",294,280,280,280,274,274,280,280,280,280,280,"5,100",972,"1,000","1,000",128,"1,000","1,000",16,6,6,4,6,,"22,146"
1-Feb-07,"4,512","3,399","2,270","1,781","1,755",91,100,96,102,99,100,100,100,102,89,89,82,211,100,100,95,99,"3,078",294,280,280,280,273,274,280,279,279,279,280,"4,846",971,856,992,128,952,947,12,3,6,3,5,9,"21,667"
2-Feb-07,"4,506","3,422","2,262","1,763","1,705",83,99,92,100,96,99,95,95,101,88,86,80,206,98,96,92,99,"3,074",292,280,279,279,274,272,280,280,280,278,280,"4,853",971,855,992,128,950,957,11,3,5,3,5,58,"21,659"
3-Feb-07,"4,501","3,421","2,261","1,763","1,701",83,99,92,100,96,99,95,94,101,88,84,79,206,98,96,92,99,"3,072",292,280,278,279,274,272,279,280,280,278,280,"4,849",969,855,992,128,950,955,11,3,5,3,5,60,"21,644"
4-Feb-07,"4,498","3,418","2,259","1,763","1,698",83,99,92,100,96,99,95,94,101,88,84,79,205,97,95,92,99,"3,070",292,280,278,279,273,271,279,280,280,278,280,"4,849",969,855,992,128,950,955,11,3,5,3,5,60,"21,631"
5-Feb-07,"4,495","3,402","2,249","1,822","1,757",92,100,96,100,99,100,100,99,101,90,89,81,209,101,99,100,101,"3,067",289,276,278,280,274,272,279,279,281,279,280,"4,854",970,854,994,128,949,959,12,3,6,3,5,9,"21,672"
6-Feb-07,"4,498","3,398","2,262","1,861","1,758",92,100,96,102,99,101,100,98,101,90,89,80,209,101,99,100,101,"3,071",291,277,278,279,274,274,279,278,281,280,280,"4,856",971,854,994,128,951,958,12,3,6,3,5,6,"21,727"
7-Feb-07,"4,503","3,419","2,262","1,890","1,752",92,100,96,102,99,101,96,98,101,90,88,80,208,101,101,100,99,"3,065",292,276,277,279,274,273,279,277,280,278,280,"4,848",971,853,989,128,951,956,14,5,6,3,5,5,"21,763"
8-Feb-07,"4,487","3,422","2,285","1,883","1,755",92,99,96,102,99,101,95,101,101,90,87,83,212,100,100,100,97,"3,071",294,280,275,280,272,273,280,279,278,280,280,"4,847",972,851,992,128,951,953,14,5,6,3,5,6,"21,775"
9-Feb-07,"4,474","3,430","2,297","1,883","1,688",88,93,89,98,95,99,90,93,100,86,85,78,204,98,97,98,97,"3,071",294,280,279,278,271,273,280,278,278,280,280,"4,840",968,849,996,128,946,953,14,5,6,3,5,68,"21,770"
