Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,435","3,449","3,204","1,539","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,763",294,280,300,280,280,274,280,355,280,280,280,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"24,232"
1-Oct-10,"3,230","3,134","3,170","1,635","1,510",65,76,73,88,90,75,76,81,86,87,81,83,217,92,79,64,97,"2,993",234,224,240,223,222,218,221,282,225,224,222,219,239,"5,321",900,"1,362",914,"1,197",948,7,4,2,1,5,19,"21,024"
2-Oct-10,"3,229","3,136","3,168","1,635","1,505",65,76,73,87,89,75,76,81,86,87,80,83,217,90,79,64,97,"2,990",234,224,240,223,222,218,220,282,224,224,221,219,239,"5,316",900,"1,359",913,"1,197",947,7,4,2,1,5,20,"21,011"
3-Oct-10,"3,227","3,139","3,167","1,635","1,506",65,76,73,87,88,75,76,81,86,87,80,83,217,92,79,64,97,"2,990",234,224,240,223,222,218,220,282,224,224,221,219,239,"5,316",900,"1,359",913,"1,197",947,7,4,2,1,5,21,"21,013"
4-Oct-10,"3,224","3,148","3,171","1,604","1,515",67,77,73,87,87,75,80,81,84,87,79,82,217,92,79,73,95,"3,004",234,224,240,223,224,219,223,284,225,224,221,224,239,"5,316",900,"1,358",912,"1,195",951,8,4,2,2,5,7,"21,002"
5-Oct-10,"3,226","3,148","3,165","1,595","1,533",68,84,73,87,86,82,80,81,83,88,81,83,216,92,82,73,94,"2,996",232,224,240,222,224,216,223,282,225,223,222,224,239,"5,321",902,"1,359",912,"1,202",946,8,4,2,2,5,9,"21,006"
6-Oct-10,"3,243","3,157","3,167","1,616","1,524",68,84,73,87,86,82,80,80,83,89,81,76,214,93,82,73,93,"3,003",232,224,239,222,224,219,224,284,224,223,224,224,240,"5,323",902,"1,359",912,"1,204",946,9,4,3,2,5,10,"21,057"
7-Oct-10,"3,246","3,120","3,159","1,634","1,514",68,82,73,86,85,80,86,79,91,88,81,76,215,83,83,69,89,"3,004",232,224,238,223,224,219,223,284,224,224,224,224,241,"5,317",900,"1,359",912,"1,197",949,9,4,3,2,5,10,"21,018"
8-Oct-10,"3,250","3,110","3,158","1,637","1,499",65,79,73,90,81,76,85,76,96,86,79,76,217,82,80,61,97,"3,004",235,224,236,223,225,220,222,282,224,224,224,224,241,"5,312",899,"1,360",911,"1,193",949,9,4,3,2,5,42,"21,026"
9-Oct-10,"3,246","3,113","3,152","1,637","1,499",65,79,73,90,81,76,85,76,96,86,79,76,217,82,80,61,97,"2,994",233,223,236,223,223,220,222,281,224,224,223,221,241,"5,308",898,"1,359",911,"1,193",947,9,4,3,2,5,43,"21,006"
