date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Delta Satellite Facility,Delta TVC,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TRANSITIONAL HOUSING,Madison,Noxubee,Rankin/Flowood,Washington,Wilkinson,TOTALS
Capacity,"3,560","4,131",58,0,"3,082","1,781","1,536",0,0,124,324,96,102,102,0,0,82,0,62,58,93,93,178,28,50,82,0,0,62,0,"4,556",300,369,280,310,342,280,274,280,355,280,280,326,300,280,300,"5,472",472,"1,500","1,000","1,500","1,000",10,0,6,4,122,40,34,8,42,40,"24,308"
1-Dec-18,"3,262","3,870",37,0,"3,044","1,250",985,0,0,77,251,57,74,49,0,0,0,0,70,35,68,53,154,20,20,0,0,0,57,0,"3,708",237,294,266,241,201,198,266,265,259,269,268,265,169,270,240,"3,193",0,"1,259","1,000",0,934,10,0,6,4,43,2,33,8,0,0,"19,402"
2-Dec-18,"3,259","3,869",36,0,"3,044","1,250",984,0,0,77,250,57,74,49,0,0,0,0,70,35,68,53,154,20,20,0,0,0,57,0,"3,708",236,294,269,241,200,198,267,265,258,268,270,265,169,268,240,"3,192",0,"1,259",999,0,934,10,0,6,4,43,2,33,8,0,0,"19,395"
3-Dec-18,"3,274","3,853",36,0,"3,046","1,259","1,002",0,0,76,264,57,76,50,0,0,0,0,70,35,72,53,153,19,20,0,0,0,57,0,"3,708",236,294,269,241,200,198,267,265,258,268,270,265,169,268,240,"3,188",0,"1,256",999,0,933,10,0,6,4,43,2,33,8,0,0,"19,419"
4-Dec-18,"3,284","3,857",36,0,"3,040","1,284",996,0,0,76,252,56,76,49,0,0,0,0,68,35,72,52,152,19,33,0,0,0,56,0,"3,698",236,293,269,240,200,198,266,263,257,267,269,265,169,267,239,"3,189",0,"1,259",998,0,932,10,0,6,4,43,2,33,8,0,0,"19,437"
5-Dec-18,"3,286","3,852",37,0,"3,056","1,286","1,015",0,0,76,266,56,76,49,0,0,0,0,68,40,72,52,152,19,33,0,0,0,56,0,"3,705",235,293,269,240,200,198,265,268,257,266,269,265,169,267,244,"3,188",0,"1,259",998,0,931,10,0,6,4,44,2,33,9,0,0,"19,479"
6-Dec-18,"3,287","3,860",35,0,"3,060","1,271","1,012",0,0,76,263,56,75,49,0,0,0,0,70,40,71,54,152,19,33,0,0,0,54,0,"3,715",239,293,270,239,200,200,269,268,257,266,269,265,169,267,244,"3,203",0,"1,272","1,000",0,931,10,0,6,4,44,2,33,9,0,0,"19,497"
7-Dec-18,"3,282","3,866",35,0,"3,060","1,314","1,007",0,0,74,260,58,75,49,0,0,0,0,69,40,71,55,151,19,32,0,0,0,54,0,"3,711",239,292,270,238,200,200,269,267,257,266,269,264,169,267,244,"3,202",0,"1,272","1,000",0,930,10,0,6,4,23,2,13,8,0,0,"19,510"
8-Dec-18,"3,281","3,864",35,0,"3,060","1,314","1,007",0,0,74,260,58,75,49,0,0,0,0,69,40,71,55,151,19,32,0,0,0,54,0,"3,708",239,292,270,238,200,200,268,267,257,265,269,264,169,266,244,"3,202",0,"1,272","1,000",0,930,10,0,6,4,23,2,13,8,0,0,"19,504"
9-Dec-18,"3,280","3,863",35,0,"3,060","1,314",993,0,0,74,248,58,75,49,0,0,0,0,69,40,71,55,151,19,30,0,0,0,54,0,"3,707",239,292,270,238,200,200,268,267,257,265,268,264,169,266,244,"3,202",0,"1,272","1,000",0,930,10,0,6,4,23,2,13,8,0,0,"19,487"
