Location,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County (opened on May 10th),Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,TOTALS
Capacity,"5,751","3,233","2,214","2,133","1,350",75,75,75,75,75,75,75,75,75,75,75,75,150,75,75,75,75,"2,750",250,250,250,250,250,250,250,250,250,250,250,"3,750","1,000","1,000",750,"1,000",24,6,12,6,6,"21,211"
1-Apr-03,"5,663","3,094","2,152","2,083","1,310",74,75,74,74,75,74,74,74,74,73,57,68,150,75,72,72,75,"2,482",225,225,226,225,226,226,226,226,226,225,226,"3,369",681,983,716,989,13,6,5,2,6,"20,172"
2-Apr-03,"5,658","3,100","2,163","2,077","1,306",74,75,73,74,75,75,74,73,74,73,58,68,148,75,72,70,75,"2,484",225,226,226,226,226,226,226,226,226,225,226,"3,375",681,987,717,990,13,6,5,2,6,"20,182"
3-Apr-03,"5,660","3,108","2,168","2,063","1,306",75,74,75,74,75,75,74,70,75,73,58,68,148,75,72,70,75,"2,483",225,225,226,225,226,226,226,226,226,226,226,"3,370",680,985,716,989,13,6,5,2,6,"20,177"
4-Apr-03,"5,651","3,100","2,172","2,061","1,289",75,74,75,75,74,75,73,73,74,69,59,68,140,73,69,70,73,"2,501",230,225,226,225,229,226,231,226,226,226,231,"3,364",679,986,711,988,13,6,5,2,6,"20,157"
5-Apr-03,"5,648","3,099","2,173","2,061","1,287",75,74,75,75,74,74,73,73,74,69,59,68,139,73,69,70,73,"2,499",230,225,226,225,229,226,230,225,226,226,231,"3,361",676,986,711,988,13,6,5,2,6,"20,147"
6-Apr-03,"5,648","3,100","2,172","2,061","1,284",75,74,75,75,74,74,73,73,72,69,58,68,139,73,69,70,73,"2,498",229,225,226,225,229,226,230,225,226,226,231,"3,361",676,986,711,988,13,6,5,2,6,"20,143"
7-Apr-03,"5,655","3,116","2,160","2,078","1,291",74,74,75,75,74,75,73,73,72,73,57,67,141,73,72,70,73,"2,500",228,228,226,225,229,226,230,226,226,226,230,"3,358",676,984,711,987,13,6,5,2,6,"20,177"
8-Apr-03,"5,668","3,108","2,175","2,066","1,285",73,73,74,74,74,74,73,72,72,74,57,66,140,72,74,70,73,"2,495",228,228,226,225,225,226,229,226,226,227,229,"3,356",673,980,716,987,13,6,5,2,6,"20,172"
9-Apr-03,"5,658","3,128","2,171","2,061","1,290",73,73,73,74,74,74,72,74,74,74,57,66,140,75,74,69,74,"2,494",228,229,226,224,224,226,229,226,226,227,229,"3,351",671,979,715,986,13,6,5,2,6,"20,172"
10-Apr-03,"5,659","3,146","2,166","2,067","1,296",73,73,73,73,74,72,72,74,73,74,57,66,145,75,74,73,75,"2,486",227,229,223,223,221,226,229,226,226,227,229,"3,351",671,979,715,986,13,6,5,2,6,"20,190"
11-Apr-03,"5,650","3,157","2,137","2,055","1,287",71,74,73,73,72,72,71,73,74,74,58,65,143,74,75,72,73,"2,534",228,230,231,223,230,234,228,231,232,235,232,"3,336",670,985,714,967,11,4,5,2,5,"20,172"
12-Apr-03,"5,650","3,158","2,135","2,055","1,285",71,74,73,73,72,72,71,73,74,74,58,65,142,74,75,71,73,"2,534",228,230,231,223,230,234,228,231,232,235,232,"3,336",670,985,714,967,11,4,5,2,5,"20,169"
