date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"3,590","3,506",58,,"3,082","1,986","1,848",92,102,96,102,102,102,102,82,20,102,92,93,93,260,,82,20,102,102,102,"4,378",240,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"24,436"
1-Jun-16,"3,390","2,976",32,4,"2,998","1,503","1,179",0,22,76,91,76,0,0,79,19,99,88,90,87,170,34,73,15,95,65,0,"3,404",238,294,240,240,195,200,240,240,257,199,201,199,226,196,239,"3,907",0,"1,095",998,919,895,14,6,5,3,"19,407"
2-Jun-16,"3,389","2,979",32,4,"2,998","1,542","1,175",0,22,76,91,75,0,0,79,19,98,88,90,88,169,34,73,15,93,65,0,"3,405",240,293,240,240,198,200,240,240,254,199,202,199,224,200,236,"3,897",0,"1,091",996,918,892,15,6,6,3,"19,436"
3-Jun-16,"3,391","2,959",32,5,"2,993","1,556","1,169",0,21,73,90,72,0,0,81,17,98,85,89,85,169,37,78,15,95,64,0,"3,401",239,292,240,239,198,199,240,238,253,199,202,201,227,197,237,"3,898",0,"1,090",999,917,892,14,6,5,3,"19,418"
4-Jun-16,"3,391","2,957",32,5,"2,994","1,556","1,163",0,21,73,89,72,0,0,79,17,98,85,89,85,169,37,76,15,94,64,0,"3,401",239,292,240,239,198,199,240,238,253,199,202,201,227,197,237,"3,898",0,"1,090",999,917,892,14,6,5,3,"19,411"
5-Jun-16,"3,391","2,956",32,5,"2,994","1,556","1,160",0,21,73,89,71,0,0,79,17,97,85,89,85,169,37,75,15,94,64,0,"3,400",239,292,240,239,198,199,240,238,253,199,202,201,227,197,236,"3,898",0,"1,090",999,917,892,14,6,5,3,"19,406"
6-Jun-16,"3,388","2,961",32,5,"3,001","1,562","1,182",0,22,75,92,74,0,0,79,19,97,88,90,88,170,36,75,15,97,65,0,"3,408",238,294,240,238,196,199,239,241,258,198,204,201,227,200,235,"3,895",0,"1,090",999,914,892,15,6,6,3,"19,449"
7-Jun-16,"3,394","2,984",32,5,"3,000","1,570","1,174",0,22,75,92,74,0,0,75,19,101,88,89,86,169,34,73,15,97,65,0,"3,412",237,294,240,238,196,201,240,241,260,199,203,201,225,200,237,"3,888",0,"1,091",995,911,891,15,6,6,3,"19,474"
8-Jun-16,"3,367","3,016",32,6,"2,993","1,546","1,169",0,22,75,91,76,0,0,72,19,100,88,88,80,164,34,74,15,101,70,0,"3,411",240,292,238,240,198,200,240,241,260,200,202,201,223,199,237,"3,889",0,"1,090","1,000",909,890,15,6,6,3,"19,444"
9-Jun-16,"3,378","3,008",32,6,"2,990","1,536","1,165",0,22,73,90,75,0,0,72,19,101,87,90,79,169,31,72,15,101,69,0,"3,410",240,294,237,240,198,200,240,240,260,200,202,201,222,199,237,"3,885",0,"1,091","1,000",903,891,15,6,6,3,"19,425"
