date_raw,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County (opened on May 10th),Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta (Closed),East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,TOTALS
Capacity,"5,711","3,099","2,214","2,121","1,350",75,75,75,75,75,75,75,75,75,75,75,75,150,75,75,75,75,"2,750",250,250,250,250,250,250,250,250,250,250,250,"3,750",0,"1,000","1,000",750,"1,000",24,6,12,6,6,"21,025"
14-Jan-03,"5,544","3,020","2,119","2,010","1,287",74,72,73,74,73,68,74,74,75,73,61,58,147,75,73,72,71,"2,483",226,225,227,227,226,226,224,227,222,227,226,"3,397",0,721,990,696,990,13,6,6,1,6,"19,879"
15-Jan-03,"5,561","3,028","2,117","1,991","1,285",74,72,73,74,73,68,74,74,73,73,61,60,147,75,73,70,71,"2,487",226,226,227,227,227,226,226,226,223,227,226,"3,390",0,720,989,693,988,13,6,6,1,6,"19,878"
16-Jan-03,"5,564","3,042","2,106","1,954","1,283",74,72,73,73,72,68,73,74,75,73,61,59,147,75,73,70,71,"2,484",226,226,227,227,226,226,225,226,223,227,225,"3,401",0,727,988,698,988,14,6,6,2,6,"19,854"
17-Jan-03,"5,564","3,034","2,128","1,949","1,201",66,67,64,68,69,65,68,69,72,65,57,56,140,70,67,71,67,"2,481",224,226,226,226,226,226,225,226,223,227,226,"3,402",0,727,987,698,990,12,6,4,2,6,"19,777"
18-Jan-03,"5,563","3,032","2,125","1,949","1,201",66,67,64,68,69,65,68,69,72,65,57,56,140,70,67,71,67,"2,480",224,226,226,226,225,226,225,226,223,227,226,"3,401",0,726,987,698,990,12,6,4,2,6,"19,769"
19-Jan-03,"5,561","3,030","2,125","1,949","1,199",66,67,64,67,69,65,68,69,72,65,56,56,140,70,67,71,67,"2,480",224,226,226,226,225,226,225,226,223,227,226,"3,400",0,726,987,697,990,12,6,4,2,6,"19,762"
20-Jan-03,"5,560","3,028","2,124","1,948","1,279",74,72,71,69,71,69,75,72,75,73,58,59,147,75,73,72,74,"2,478",224,225,226,226,225,226,224,226,223,227,226,"3,398",0,725,986,697,990,14,6,6,2,6,"19,835"
21-Jan-03,"5,568","3,037","2,118","1,919","1,292",73,72,74,72,73,73,75,72,75,74,58,59,147,75,73,73,74,"2,475",223,225,226,226,225,226,224,224,223,227,226,"3,404",0,724,983,707,990,14,6,6,2,6,"19,833"
22-Jan-03,"5,562","3,049","2,142","1,919","1,287",72,72,74,72,72,73,75,71,75,74,57,59,146,75,73,73,74,"2,478",222,225,226,226,225,226,224,225,227,227,225,"3,405",0,722,983,714,986,14,6,6,2,6,"19,862"
23-Jan-03,"5,552","3,071","2,131","1,914","1,285",72,72,74,72,71,73,75,71,75,74,57,59,146,75,73,73,73,"2,481",226,224,227,226,223,226,226,225,227,226,225,"3,403",0,722,983,713,985,14,6,6,2,6,"19,857"
24-Jan-03,"5,561","3,066","2,132","1,897","1,241",67,73,71,70,67,67,70,70,74,71,57,59,143,72,69,71,70,"2,485",227,226,226,226,226,225,226,225,227,226,225,"3,416",0,721,993,717,985,14,6,6,2,6,"19,818"
25-Jan-03,"5,558","3,067","2,132","1,897","1,240",67,73,71,70,67,67,70,70,74,71,57,59,143,72,69,71,69,"2,483",225,226,226,226,226,225,226,225,227,226,225,"3,413",0,721,991,717,984,14,6,6,2,6,"19,810"
26-Jan-03,"5,555","3,068","2,132","1,897","1,235",67,73,71,70,67,67,70,70,73,70,57,56,143,72,69,70,70,"2,481",225,225,226,226,226,225,225,225,227,226,225,"3,412",0,721,991,717,983,14,6,6,2,6,"19,800"
