date_raw,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilikinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,TOTALS
Capacity,"5,612","3,049","2,214","2,122","1,320",75,75,75,75,75,75,75,75,75,75,75,75,120,75,75,75,75,"2,500",250,250,250,250,250,250,250,250,250,250,"3,900","1,000",500,"1,000",500,900,24,6,12,6,6,"20,747"
11-Sep-01,"5,215","3,039","1,989","1,490","1,242",71,73,73,75,71,75,74,74,74,74,56,52,107,71,73,74,75,"2,023",206,201,200,194,210,223,195,198,200,196,"3,510",840,499,870,415,886,16,6,9,1,6,"18,530"
12-Sep-01,"5,201","3,023","2,012","1,517","1,230",75,72,71,73,70,75,74,73,74,72,55,52,105,72,71,72,74,"2,015",201,201,199,193,209,223,195,198,200,196,"3,509",839,498,870,416,886,16,6,9,1,6,"18,529"
13-Sep-01,"5,193","3,063","1,985","1,518","1,236",74,72,72,74,70,75,74,73,74,70,55,52,110,73,72,72,74,"2,027",201,200,198,198,211,224,200,196,201,198,"3,509",843,498,871,415,882,16,6,9,1,6,"18,553"
14-Sep-01,"5,217","3,034","1,974","1,557","1,210",69,68,68,71,70,69,70,75,69,68,54,52,118,73,71,70,75,"2,028",203,200,198,197,211,224,199,196,201,199,"3,502",840,498,868,415,881,16,6,9,1,6,"18,544"
15-Sep-01,"5,214","3,036","1,973","1,558","1,209",69,68,68,71,70,69,70,75,68,68,54,52,118,73,71,70,75,"2,027",203,200,198,196,211,224,199,196,201,199,"3,502",840,498,868,415,881,16,6,9,1,6,"18,541"
16-Sep-01,"5,214","3,039","1,971","1,558","1,208",69,68,68,71,70,70,70,75,68,68,54,52,118,73,71,70,73,"2,027",203,200,198,196,211,224,199,196,201,199,"3,501",840,498,867,415,881,16,6,9,1,6,"18,540"
17-Sep-01,"5,205","3,061","1,962","1,562","1,241",74,73,71,74,70,73,74,74,73,70,53,51,117,75,74,72,73,"2,023",203,197,198,195,211,224,199,196,201,199,"3,498",840,496,866,415,881,16,6,9,1,6,"18,574"
18-Sep-01,"5,229","3,042","1,961","1,554","1,246",74,73,70,74,74,73,74,74,73,70,53,51,117,75,74,74,73,"2,017",203,197,195,195,211,223,199,196,198,200,"3,500",839,496,866,414,885,16,6,9,1,6,"18,571"
19-Sep-01,"5,219","3,035","1,979","1,545","1,246",74,73,73,73,74,73,73,74,71,69,53,55,116,75,74,73,73,"2,010",200,197,195,194,211,223,199,193,198,200,"3,493",838,495,866,410,884,16,6,9,1,6,"18,549"
20-Sep-01,"5,210","3,053","1,995","1,517","1,252",74,73,74,73,74,72,75,74,70,70,54,56,116,75,74,73,75,"2,015",203,197,193,194,212,225,199,193,198,201,"3,491",841,496,865,405,884,16,6,9,1,6,"18,555"
