Location,Mississippi State Penitentiary,MSP TVC,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Leflore TVC Support,Leflore TVC,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Flowood TVC,Simpson TVC and Simpson TVC support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"3,590",,"2,876",58,,"2,882","1,986","1,950",92,102,96,102,102,102,102,102,20,82,102,92,93,93,260,,102,102,102,102,"4,378",240,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"23,606"
28-Feb-16,"3,386",0,"2,804",31,2,"2,797","1,540","1,077",0,30,72,76,66,38,0,0,21,23,91,82,79,87,125,24,88,79,60,36,"3,400",240,293,234,238,194,200,240,239,257,199,199,198,232,199,238,"3,941",0,"1,132",996,934,879,10,4,4,2,"18,988"
29-Feb-16,"3,385",0,"2,841",30,2,"2,794","1,518","1,114",0,33,72,80,68,40,0,0,20,24,91,86,79,87,153,22,87,79,60,33,"3,396",240,293,234,238,194,200,240,238,256,199,199,198,231,199,237,"3,937",0,"1,130",995,933,879,12,5,5,2,"19,029"
Avg Population,"3,359",2,"2,681",29,6,"2,796","1,465","1,049",0,33,73,72,64,38,0,16,4,4,85,84,85,85,134,19,82,79,58,34,"3,603",215,292,246,241,227,225,243,244,278,226,231,231,234,221,249,"3,926",0,"1,137",990,922,877,9,3,4,2,"18,925"
