date_raw,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County (re-opened 10-07-02),Carroll County,George County (opened on May 10th),Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta (closed 10-09-02),East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,TOTALS
Capacity,"5,551","3,099","2,214","2,113","1,350",75,75,75,75,75,75,75,75,75,75,75,75,150,75,75,75,75,"2,750",250,250,250,250,250,250,250,250,250,250,250,"4,750","1,000","1,000","1,000",750,"1,000",24,6,12,6,6,"21,857"
1-Oct-02,"5,330","2,993","2,031","1,894","1,293",71,72,74,74,71,75,75,67,75,72,69,66,140,72,72,73,75,"2,145",0,227,201,227,202,228,201,202,229,227,201,"3,629",229,712,995,705,988,12,4,7,1,5,"19,332"
2-Oct-02,"5,328","3,010","2,027","1,866","1,306",72,72,74,74,71,75,75,74,75,72,74,66,140,73,71,73,75,"2,169",0,225,200,227,203,226,201,230,229,227,201,"3,610",201,711,994,711,993,12,4,7,1,5,"19,333"
3-Oct-02,"5,338","3,012","2,032","1,853","1,306",73,72,74,74,70,75,75,74,75,72,74,66,140,73,71,73,75,"2,198",0,226,200,227,203,227,228,230,229,227,201,"3,582",173,712,994,710,993,12,4,7,1,5,"19,338"
4-Oct-02,"5,341","3,037","2,030","1,836","1,256",71,72,69,71,68,69,75,74,73,66,72,65,135,72,65,71,68,"2,228",0,228,201,227,230,228,228,230,229,226,201,"3,539",134,711,993,709,992,9,4,4,1,5,"19,281"
5-Oct-02,"5,339","3,036","2,028","1,836","1,256",71,72,69,71,68,69,75,74,73,66,72,65,135,72,65,71,68,"2,226",0,228,200,227,230,228,228,230,229,226,200,"3,539",135,711,993,709,991,9,4,4,1,5,"19,274"
6-Oct-02,"5,337","3,037","2,029","1,836","1,257",71,72,69,71,68,69,75,74,73,66,72,65,136,72,65,71,68,"2,226",0,228,200,227,230,228,228,230,229,226,200,"3,538",135,711,992,709,991,9,4,4,1,5,"19,274"
7-Oct-02,"5,330","3,063","2,030","1,814","1,296",73,71,74,73,70,74,75,75,74,71,71,65,137,74,72,72,75,"2,305",35,227,227,227,230,227,228,230,229,227,218,"3,452",51,709,997,707,988,12,4,7,1,5,"19,307"
8-Oct-02,"5,321","3,082","2,028","1,807","1,301",73,75,74,73,71,74,72,74,75,71,72,68,137,74,72,72,74,"2,333",67,226,227,226,227,227,229,230,229,227,218,"3,439",50,709,992,707,981,12,4,7,1,5,"19,328"
9-Oct-02,"5,320","3,105","1,982","1,813","1,296",73,74,72,73,71,74,71,74,75,72,71,67,138,74,72,72,73,"2,397",115,228,228,227,226,229,229,230,229,228,228,"3,404",0,708,995,712,989,12,4,7,1,5,"19,334"
10-Oct-02,"5,328","3,111","1,947","1,804","1,299",73,74,72,73,75,74,72,74,75,72,71,67,138,73,72,72,72,"2,428",149,227,227,227,225,229,229,230,228,229,228,"3,401",0,707,993,712,989,12,4,7,1,5,"19,335"
