date_raw,MS STATE PENITENTIARY  (capacity decreased by 80 7/27),CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilikinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,TOTALS
Capacity,"5,692","3,049","2,214","2,122","1,320",75,75,75,75,75,75,75,75,75,75,75,75,120,75,75,75,75,"2,500",250,250,250,250,250,250,250,250,250,250,"3,900","1,000",500,"1,000",500,900,24,6,12,6,6,"20,827"
1-Jul-01,"5,206","3,030","1,904","1,364","1,269",75,75,73,72,70,74,75,70,75,74,71,61,112,74,74,73,71,"2,026",198,200,200,197,213,224,198,199,200,197,"3,466",843,499,869,382,873,17,5,11,1,6,"18,288"
2-Jul-01,"5,224","3,020","1,904","1,362","1,283",75,75,75,73,73,74,75,74,75,74,71,60,112,74,74,74,75,"2,040",207,201,201,195,213,227,200,197,200,199,"3,464",842,499,869,382,872,17,5,11,1,6,"18,320"
3-Jul-01,"5,220","3,041","1,904","1,390","1,277",74,74,75,73,73,74,73,74,75,74,69,58,114,74,74,74,75,"2,035",207,202,201,193,212,225,199,197,200,199,"3,467",842,499,869,385,872,17,5,11,1,6,"18,357"
4-Jul-01,"5,219","3,044","1,904","1,390","1,277",74,74,75,72,73,75,73,74,75,74,69,58,114,74,74,74,75,"2,034",207,202,201,193,212,224,199,197,200,199,"3,467",842,499,869,385,872,17,5,11,1,6,"18,358"
5-Jul-01,"5,227","3,033","1,902","1,427","1,279",75,75,75,72,73,75,75,75,74,74,69,59,113,74,73,73,75,"2,035",207,201,200,196,212,224,199,197,199,200,"3,465",840,499,869,385,872,17,5,11,1,6,"18,391"
6-Jul-01,"5,220","3,066","1,912","1,370","1,269",73,75,70,72,73,74,75,75,74,74,69,60,113,74,72,71,75,"2,035",207,201,200,196,212,225,199,197,198,200,"3,467",843,499,869,385,871,17,5,11,1,6,"18,362"
7-Jul-01,"5,220","3,064","1,911","1,369","1,269",73,75,70,72,73,74,75,75,74,74,69,60,113,74,72,71,75,"2,035",207,201,200,196,212,225,199,197,198,200,"3,467",843,499,869,385,871,17,5,11,1,6,"18,358"
8-Jul-01,"5,219","3,064","1,911","1,369","1,268",73,75,70,71,73,74,75,75,74,74,69,60,113,74,72,71,75,"2,034",207,201,200,196,212,225,199,197,197,200,"3,467",843,499,869,385,871,17,5,11,1,6,"18,355"
9-Jul-01,"5,250","3,035","1,903","1,404","1,280",74,75,75,73,75,75,75,75,74,74,67,60,112,74,74,73,75,"2,032",207,201,200,196,212,224,199,197,197,199,"3,466",842,498,867,389,870,17,5,11,1,6,"18,393"
10-Jul-01,"5,250","3,039","1,901","1,448","1,277",74,74,75,72,75,75,74,75,75,74,67,60,112,74,73,73,75,"2,028",206,201,200,195,212,224,199,196,197,198,"3,465",842,498,867,388,870,17,5,11,1,6,"18,431"
