Location,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilikinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County (opened on May 10th),Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,TOTALS
Capacity,"5,551","3,049","2,214","2,135","1,328",75,75,75,75,75,75,75,75,75,75,75,75,128,75,75,75,75,"2,750",250,250,250,250,250,250,250,250,250,250,250,"4,750","1,000","1,000","1,000",750,"1,000",24,6,12,6,6,"21,807"
21-Jun-02,"5,382","2,992","2,042","1,852","1,237",70,75,72,72,67,71,72,69,65,68,69,62,125,73,73,66,68,"2,046",0,200,201,200,201,213,227,200,203,200,201,"3,598",843,499,869,508,879,16,5,9,2,6,"19,171"
22-Jun-02,"5,380","2,997","2,041","1,851","1,238",70,75,72,72,67,71,73,69,65,68,69,62,125,73,73,66,68,"2,046",0,200,201,200,201,213,227,200,203,200,201,"3,596",842,499,869,508,878,16,5,9,2,6,"19,171"
23-Jun-02,"5,380","2,997","2,039","1,851","1,237",70,75,72,73,67,71,73,69,65,68,69,62,124,73,72,66,68,"2,045",0,200,200,200,201,213,227,200,203,200,201,"3,596",842,499,869,508,878,16,5,9,2,6,"19,167"
24-Jun-02,"5,367","2,993","2,029","1,862","1,291",74,75,74,74,74,73,75,75,74,71,74,66,126,75,73,69,69,"2,047",0,199,200,201,202,213,227,200,203,200,202,"3,611",845,503,873,507,883,16,5,9,2,6,"19,222"
25-Jun-02,"5,379","3,017","2,026","1,843","1,286",74,75,74,74,74,72,75,75,74,71,74,65,126,73,72,69,69,"2,048",0,201,200,201,201,213,227,200,203,200,202,"3,608",845,502,873,505,883,16,5,9,2,6,"19,229"
26-Jun-02,"5,373","3,018","2,048","1,821","1,292",74,75,73,72,73,74,75,75,75,71,74,65,125,75,73,74,69,"2,049",0,201,200,201,201,214,227,200,203,200,202,"3,604",844,501,872,505,882,16,5,9,2,6,"19,227"
27-Jun-02,"5,378","3,048","2,050","1,779","1,295",73,75,73,71,75,74,75,74,75,71,74,65,128,75,73,74,70,"2,045",0,201,199,201,200,214,225,200,203,200,202,"3,604",844,500,874,503,883,16,5,9,2,6,"19,221"
28-Jun-02,"5,371","3,075","2,034","1,776","1,270",70,72,69,72,72,74,73,69,74,70,74,65,128,75,73,72,68,"2,048",0,201,200,201,200,214,227,200,203,200,202,"3,614",844,501,873,500,896,16,5,9,2,6,"19,210"
29-Jun-02,"5,371","3,075","2,032","1,774","1,270",70,72,69,72,72,74,73,69,74,70,74,65,128,75,73,72,68,"2,048",0,201,200,201,200,214,227,200,203,200,202,"3,613",843,501,873,500,896,16,5,9,2,6,"19,205"
30-Jun-02,"5,371","3,077","2,031","1,774","1,271",70,72,69,73,72,74,73,69,74,70,74,65,128,75,73,72,68,"2,047",0,201,200,201,200,214,227,199,203,200,202,"3,613",843,501,873,500,896,16,5,9,2,6,"19,206"
