Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,469",58,350,"3,282","1,973","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,710"
1-Dec-14,"3,134","2,207",34,84,"2,627","1,517","1,093",74,52,55,53,48,47,46,53,51,69,82,51,181,87,53,40,51,"4,205",298,359,261,300,257,263,257,258,330,252,271,269,281,265,284,"4,326",0,"1,179",997,"1,287",863,6,3,3,0,0,0,"19,233"
2-Dec-14,"3,116","2,213",33,84,"2,635","1,517","1,095",73,53,54,53,48,47,52,53,51,72,80,51,182,85,52,39,50,"4,201",298,360,261,298,257,264,257,257,330,251,271,269,281,263,284,"4,339",0,"1,183",997,"1,285",874,6,3,3,0,0,0,"19,239"
3-Dec-14,"3,117","2,227",34,84,"2,637","1,511","1,094",73,53,54,53,48,46,52,53,51,72,80,51,182,85,52,39,50,"4,200",298,360,259,296,256,264,259,257,328,250,271,269,287,261,285,"4,341",0,"1,179",997,"1,288",877,6,3,3,0,0,0,"19,251"
4-Dec-14,"3,110","2,278",35,85,"2,624","1,501","1,097",75,51,54,53,51,46,51,54,49,72,80,52,182,84,52,41,50,"4,184",298,359,258,300,255,264,258,255,327,248,271,268,287,254,282,"4,335",0,"1,178",995,"1,287",875,6,3,3,0,0,0,"19,255"
5-Dec-14,"3,139","2,279",35,35,"2,623","1,551","1,092",75,51,54,53,50,45,51,54,48,71,80,52,183,82,52,40,51,"4,179",298,358,257,300,255,261,258,255,326,253,271,268,287,250,282,"4,338",0,"1,176",994,"1,282",886,6,3,3,0,0,0,"19,277"
6-Dec-14,"3,136","2,276",35,84,"2,622","1,502","1,090",75,51,54,52,50,45,52,54,48,71,80,52,183,82,52,38,51,"4,177",298,357,257,300,255,261,258,255,326,252,271,268,287,250,282,"4,335",0,"1,175",993,"1,282",885,6,3,3,0,0,0,"19,263"
7-Dec-14,"3,127","2,278",35,84,"2,624","1,502","1,085",75,51,55,51,48,45,52,54,48,71,80,52,182,82,51,38,50,"4,175",298,356,257,299,255,261,258,255,326,252,271,268,287,250,282,"4,335",0,"1,175",993,"1,282",885,6,3,3,0,0,0,"19,251"
8-Dec-14,"3,145","2,217",35,89,"2,635","1,475","1,099",75,50,55,51,49,45,51,54,48,70,85,53,191,83,51,38,50,"4,212",298,359,258,299,258,265,256,262,329,260,274,268,282,263,281,"4,326",0,"1,174",991,"1,276",885,6,3,3,0,0,0,"19,239"
9-Dec-14,"3,157","2,187",35,90,"2,634","1,481","1,111",75,50,55,51,48,45,55,54,48,72,83,58,191,87,51,38,50,"4,220",298,359,261,298,258,265,255,262,340,254,275,270,282,261,282,"4,322",0,"1,175",992,"1,270",885,6,3,3,0,0,0,"19,243"
