Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Delta Satellite Facility,Delta TVC,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TRANSITIONAL HOUSING,Madison,Noxubee,Rankin/Flowood,Washington,Wilkinson,TOTALS
Capacity 1-May-18,"3,590","3,920",58,0,"3,082","1,781","1,488",0,0,0,300,96,102,102,0,0,82,20,62,58,93,93,178,28,50,82,20,60,62,0,"4,556",300,369,280,310,342,280,274,280,355,280,280,326,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,164,40,34,8,42,40,"24,627"
,"3,399","3,784",32,0,"3,026","1,208",843,0,0,62,120,63,67,57,0,0,0,0,57,46,77,54,146,23,23,0,0,0,48,0,"3,758",257,293,252,274,239,236,249,263,259,240,268,248,188,249,243,"3,206",0,"1,290",994,0,922,6,0,4,2,24,4,11,9,0,0,"19,286"
2-May-18,"3,389","3,799",32,0,"3,014","1,253",839,0,0,62,120,63,66,57,0,0,0,0,59,45,78,54,145,23,23,0,0,0,44,0,"3,756",246,293,266,273,239,226,259,263,258,239,268,247,188,248,243,"3,216",0,"1,294","1,000",0,922,6,0,4,2,24,4,11,9,0,0,"19,328"
3-May-18,"3,395","3,787",32,0,"3,027","1,179",855,0,0,63,138,63,64,57,0,0,0,0,59,45,78,53,145,23,23,0,0,0,44,0,"3,766",245,293,264,270,217,225,267,270,254,258,267,246,186,260,244,"3,211",0,"1,289","1,000",0,922,6,0,4,2,24,4,11,9,0,0,"19,282"
4-May-18,"3,393","3,772",31,0,"3,045","1,233",877,0,0,63,159,56,64,56,0,0,0,0,65,45,78,53,146,26,22,0,0,0,44,0,"3,735",245,290,263,269,215,224,267,270,255,257,267,224,186,260,243,"3,212",0,"1,289",998,0,925,6,0,4,2,24,4,11,9,0,0,"19,328"
5-May-18,"3,392","3,750",31,0,"3,044","1,233",875,0,0,63,157,56,64,56,0,0,0,0,65,45,78,53,146,26,22,0,0,0,44,0,"3,728",245,290,263,269,214,224,267,268,255,256,267,222,185,260,243,"3,209",0,"1,288",998,0,923,6,0,4,2,24,4,11,9,0,0,"19,292"
6-May-18,"3,392","3,768",31,0,"3,043","1,233",870,0,0,63,152,56,64,56,0,0,0,0,65,45,78,53,146,26,22,0,0,0,44,0,"3,729",245,290,263,269,214,224,267,268,255,256,267,223,185,260,243,"3,209",0,"1,288",998,0,923,6,0,4,2,24,4,11,9,0,0,"19,305"
7-May-18,"3,386","3,803",31,0,"3,036","1,236",873,0,0,63,158,56,63,57,0,0,0,0,65,45,78,53,144,24,23,0,0,0,44,0,"3,722",244,289,262,268,214,224,266,268,254,256,267,223,185,260,242,"3,206",0,"1,286",997,0,923,6,0,4,2,24,4,11,9,0,0,"19,323"
8-May-18,"3,393","3,770",32,0,"3,048","1,201",875,0,0,63,157,56,63,56,0,0,0,0,68,44,78,51,150,24,21,0,0,0,44,0,"3,718",244,293,260,268,213,223,267,267,254,256,266,222,186,257,242,"3,213",0,"1,295",997,0,921,6,0,4,2,32,4,18,10,0,0,"19,288"
9-May-18,"3,385","3,784",32,0,"3,045","1,169",898,0,0,63,171,56,63,56,0,0,0,0,68,45,80,52,150,27,21,0,0,0,46,0,"3,711",241,292,266,267,213,222,268,265,253,257,266,221,186,254,240,"3,221",0,"1,292",997,0,932,6,0,4,2,32,4,18,10,0,0,"19,283"
10-May-18,"3,376","3,796",31,0,"3,055","1,163",909,0,0,63,174,56,66,55,0,0,0,0,68,47,80,52,150,27,21,0,0,0,50,0,"3,710",241,294,266,267,213,222,268,265,252,257,266,220,186,253,240,"3,223",0,"1,295",997,0,931,6,0,4,2,32,4,18,10,0,0,
11-May-18,"3,383","3,753",31,0,"3,055","1,171",925,0,0,67,191,56,66,57,0,0,0,0,68,45,79,52,144,27,24,0,0,0,49,0,"3,714",241,293,266,265,213,222,268,269,248,265,265,220,185,255,239,"3,221",0,"1,291",999,0,931,6,0,4,2,31,4,17,10,0,0,"19,290"
12-May-18,"3,380","3,752",31,0,"3,055","1,171",925,0,0,67,191,56,66,57,0,0,0,0,68,45,79,52,144,27,24,0,0,0,49,0,"3,714",241,293,266,265,213,222,268,269,248,265,265,220,185,255,239,"3,222",0,"1,292",999,0,931,6,0,4,2,31,4,17,10,0,0,"19,287"
13-May-18,"3,379","3,751",31,0,"3,053","1,171",922,0,0,67,188,56,66,57,0,0,0,0,68,45,79,52,144,27,24,0,0,0,49,0,"3,714",241,293,265,265,213,222,268,269,249,265,265,220,185,255,239,"3,220",0,"1,291",999,0,930,6,0,4,2,31,4,17,10,0,0,"19,278"
14-May-18,"3,386","3,797",31,0,"3,058","1,172",953,0,0,67,204,62,67,57,0,0,0,0,67,48,80,52,149,27,24,0,0,0,49,0,"3,701",241,293,266,265,213,221,268,268,248,262,264,219,184,252,237,"3,226",0,"1,295",999,0,932,6,0,4,2,31,4,17,10,0,0,"19,361"
15-May-18,"3,377","3,786",31,0,"3,047","1,161",966,0,0,74,203,62,67,57,0,0,0,0,66,48,80,52,154,28,24,0,0,0,51,0,"3,693",241,291,266,265,213,221,267,266,246,261,264,219,184,252,237,"3,219",0,"1,293",996,0,930,6,0,4,2,31,4,17,10,0,0,"19,317"
16-May-18,"3,384","3,791",31,0,"3,042","1,173",973,0,0,74,213,62,67,55,0,0,0,0,68,48,80,52,154,28,22,0,0,0,50,0,"3,690",241,294,265,265,212,218,267,266,246,261,264,219,184,252,236,"3,234",0,"1,307",996,0,931,6,0,4,2,27,3,17,7,0,0,"19,351"
17-May-18,"3,379","3,777",31,0,"3,055","1,182",968,0,0,74,212,61,67,55,0,0,0,0,68,47,81,50,154,28,21,0,0,0,50,0,"3,696",241,294,268,265,211,217,267,269,246,263,263,219,184,256,233,"3,258",0,"1,323",999,0,936,6,0,4,2,27,2,18,7,0,0,"19,379"
