Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Delta Satellite Facility,Delta TVC,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TRANSITIONAL HOUSING,Madison,Noxubee,Rankin/Flowood,Washington,Wilkinson,TOTALS,10/15/2018 - Capacity  change from 24
Capacity,"3,560","4,131",58,0,"3,082","1,781","1,512",0,0,124,300,96,102,102,0,0,82,0,62,58,93,93,178,28,50,82,0,0,62,0,"4,556",300,369,280,310,342,280,274,280,355,280,280,326,300,280,300,"5,472",472,"1,500","1,000","1,500","1,000",10,0,6,4,122,40,34,8,42,40,"24,284",334 to 24
18-Oct-18,"3,276","3,830",32,0,"3,049","1,344","1,050",0,0,79,280,56,71,54,0,0,0,0,75,42,68,51,159,21,45,0,0,0,49,0,"3,679",239,293,267,240,198,200,269,273,253,269,270,198,204,267,239,"3,220",0,"1,290",994,0,936,8,0,4,4,44,4,32,8,0,0,"19,532",326; CMCF from 4
19-Oct-18,"3,274","3,830",34,0,"3,057","1,337","1,028",0,0,77,279,52,70,51,0,0,0,0,74,41,67,51,152,21,45,0,0,0,48,0,"3,672",239,293,269,240,198,200,268,269,252,268,270,198,204,266,238,"3,225",0,"1,290",999,0,936,8,0,4,4,44,4,32,8,0,0,"19,509","129"""
20-Oct-18,"3,273","3,831",34,0,"3,059","1,337","1,027",0,0,77,278,52,70,51,0,0,0,0,74,41,67,51,152,21,45,0,0,0,48,0,"3,670",239,293,269,240,197,200,267,269,252,268,270,198,204,266,238,"3,223",0,"1,290",999,0,934,8,0,4,4,44,4,32,8,0,0,"19,506",
21-Oct-18,"3,273","3,832",34,0,"3,059","1,337","1,024",0,0,77,275,52,70,51,0,0,0,0,74,41,67,51,152,21,45,0,0,0,48,0,"3,669",239,293,269,240,197,200,267,269,252,268,270,198,204,266,237,"3,221",0,"1,290",999,0,932,8,0,4,4,42,4,30,8,0,0,"19,499",
22-Oct-18,"3,273","3,834",35,0,"3,057","1,352","1,050",0,0,81,287,55,71,51,0,0,0,0,75,41,68,51,158,20,43,0,0,0,49,0,"3,664",238,293,269,239,197,200,267,268,250,270,270,200,202,265,236,"3,214",0,"1,287",998,0,929,8,0,4,4,42,4,30,8,0,0,"19,529",
23-Oct-18,"3,277","3,842",35,0,"3,061","1,344","1,046",0,0,84,282,55,71,51,0,0,0,0,72,41,69,51,159,20,42,0,0,0,49,0,"3,654",237,293,268,239,195,200,266,270,249,269,270,200,198,263,237,"3,204",0,"1,280",997,0,927,8,0,4,4,42,4,30,8,0,0,"19,513",
24-Oct-18,"3,267","3,835",35,0,"3,060","1,372","1,048",0,0,84,286,62,71,52,0,0,0,0,65,41,67,51,158,20,42,0,0,0,49,0,"3,679",237,293,268,238,195,200,269,270,261,269,270,200,197,268,244,"3,199",0,"1,274",997,0,928,8,0,4,4,42,4,30,8,0,0,"19,545",
25-Oct-18,"3,267","3,841",35,0,"3,056","1,356","1,050",0,0,78,284,62,71,51,0,0,0,0,65,39,71,58,158,20,42,0,0,0,51,0,"3,679",239,293,269,240,194,200,267,270,260,269,270,200,196,269,243,"3,201",0,"1,273","1,000",0,928,9,0,5,4,42,4,30,8,0,0,"19,536",
26-Oct-18,"3,272","3,860",35,0,"3,057","1,388","1,039",0,0,75,281,61,71,50,0,0,0,0,67,39,70,57,155,20,42,0,0,0,51,0,"3,681",240,293,269,240,196,201,266,270,259,269,270,200,196,269,243,"3,200",0,"1,271","1,000",0,929,9,0,5,4,41,4,30,7,0,0,"19,582",
