Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Tallahatchie County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,730","3,219","2,306","2,192","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"3,028",294,250,280,280,274,250,280,280,280,280,280,"5,100",972,"1,000","1,000",128,"1,000","1,000",16,6,6,4,6,,"22,413"
1-Nov-05,"4,348","3,151","2,198","1,700","1,655",89,95,94,94,93,80,74,100,102,88,72,84,222,100,96,79,93,"3,024",292,250,280,280,273,249,280,280,280,280,280,"4,836",970,857,995,128,916,970,10,4,5,1,5,8,"20,935"
2-Nov-05,"4,340","3,160","2,204","1,698","1,653",89,94,94,94,92,80,74,101,102,88,72,84,223,99,96,79,92,"3,023",293,250,280,280,274,246,280,280,280,280,280,"4,833",969,857,993,128,916,970,10,4,5,1,5,6,"20,932"
3-Nov-05,"4,350","3,157","2,194","1,698","1,654",88,93,94,94,92,80,74,101,101,90,72,86,222,99,96,79,93,"3,023",294,250,280,280,274,246,280,280,280,279,280,"4,834",969,856,993,128,914,974,10,4,5,1,5,6,"20,931"
4-Nov-05,"4,367","3,146","2,183","1,681","1,628",78,90,96,94,88,82,79,100,99,86,71,85,219,98,95,78,90,"3,017",294,249,279,280,274,244,280,280,278,279,280,"4,833",972,862,992,128,909,970,9,3,5,1,5,42,"20,911"
5-Nov-05,"4,360","3,145","2,183","1,681","1,628",78,90,96,94,88,81,79,100,99,87,71,85,219,98,95,78,90,"3,014",294,249,278,280,273,243,280,280,278,279,280,"4,832",972,861,992,128,909,970,9,3,5,1,5,40,"20,897"
6-Nov-05,"4,356","3,144","2,182","1,681","1,628",78,90,96,94,88,81,79,100,99,87,71,85,219,98,95,78,90,"3,013",294,249,278,280,273,242,280,280,278,279,280,"4,831",972,861,992,128,909,969,9,3,5,1,5,41,"20,890"
7-Nov-05,"4,357","3,134","2,210","1,699","1,668",87,93,94,94,91,82,78,101,102,90,71,86,227,99,94,85,94,"3,006",294,248,277,279,270,242,280,280,279,278,279,"4,818",971,862,994,128,904,959,10,4,5,1,5,7,"20,914"
8-Nov-05,"4,366","3,136","2,195","1,716","1,648",88,82,96,94,91,80,78,99,102,91,69,84,224,101,91,85,93,"3,017",294,250,279,279,271,248,278,280,279,280,279,"4,828",971,862,993,128,914,960,10,4,5,1,5,7,"20,928"
9-Nov-05,"4,382","3,140","2,186","1,685","1,648",90,83,96,94,91,80,77,98,102,91,69,83,223,101,90,85,95,"3,023",293,250,280,280,273,248,280,280,279,280,280,"4,820",971,860,993,128,910,958,10,4,5,1,5,11,"20,910"
10-Nov-05,"4,399","3,144","2,207","1,675","1,637",90,83,94,93,91,77,77,99,101,91,69,83,220,99,89,85,96,"3,018",291,250,280,279,272,248,279,280,279,280,280,"4,813",969,859,994,128,905,958,10,4,5,1,5,14,"20,922"
11-Nov-05,"4,397","3,144","2,204","1,676","1,551",87,83,89,89,88,72,74,92,94,81,64,74,214,98,79,79,94,"3,013",291,248,279,279,271,247,279,280,279,280,280,"4,812",969,858,994,128,905,958,10,4,5,1,5,99,"20,911"
12-Nov-05,"4,391","3,143","2,205","1,676","1,548",87,83,89,87,88,72,74,92,94,81,64,74,214,98,79,79,93,"3,010",290,248,278,279,271,246,279,280,279,280,280,"4,805",968,857,991,128,905,956,10,4,5,1,5,99,"20,892"
13-Nov-05,"4,390","3,141","2,206","1,676","1,546",87,83,89,87,88,72,74,92,94,81,64,74,213,98,79,79,92,"3,008",290,247,278,279,271,245,279,280,279,280,280,"4,802",967,856,992,128,904,955,10,4,5,1,5,96,"20,880"
