date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,435","3,665","3,204","1,470","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,163",294,280,280,280,274,280,355,280,280,280,280,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,779"
10-Feb-10,"3,892","3,125","3,087","1,518","1,761",92,95,93,91,96,98,99,93,102,90,93,92,235,101,94,97,100,"2,733",255,242,241,242,237,241,309,242,242,240,242,"5,212",903,"1,260",900,"1,198",951,9,6,2,1,6,18,"21,361"
11-Feb-10,"3,896","3,141","3,092","1,498","1,751",91,95,93,91,96,97,99,92,102,89,93,90,234,100,94,95,100,"2,728",255,242,241,242,235,239,309,242,242,241,240,"5,207",902,"1,263",899,"1,197",946,8,6,1,1,6,15,"21,342"
12-Feb-10,"3,887","3,166","3,090","1,472","1,718",86,95,90,89,94,93,95,94,101,85,92,90,234,97,93,92,98,"2,721",254,240,241,240,234,239,309,241,242,241,240,"5,201",900,"1,262",897,"1,196",946,7,5,1,1,6,56,"21,324"
13-Feb-10,"3,888","3,165","3,089","1,472","1,716",86,94,90,89,94,93,95,94,101,85,92,90,234,96,93,92,98,"2,720",254,240,241,240,234,239,308,241,242,241,240,"5,200",900,"1,262",897,"1,195",946,7,5,1,1,6,55,"21,318"
14-Feb-10,"3,886","3,164","3,088","1,472","1,716",86,94,90,89,94,93,95,94,101,85,92,90,234,96,93,92,98,"2,719",254,240,241,240,234,239,308,240,242,241,240,"5,196",899,"1,261",897,"1,193",946,7,5,1,1,6,55,"21,309"
15-Feb-10,"3,879","3,163","3,083","1,482","1,754",90,96,93,91,96,97,99,95,102,88,93,91,237,98,94,95,99,"2,717",254,240,240,240,233,239,308,240,242,241,240,"5,181",895,"1,258",895,"1,189",944,8,6,1,1,6,12,"21,285"
16-Feb-10,"3,883","3,233","3,080","1,450","1,744",90,95,91,91,96,97,99,90,101,88,92,91,236,99,94,94,100,"2,709",254,240,240,240,233,238,307,236,241,240,240,"5,177",894,"1,256",895,"1,188",944,10,6,3,1,6,10,"21,302"
17-Feb-10,"3,909","3,189","3,080","1,448","1,727",90,95,96,98,95,102,99,62,101,92,78,91,239,96,94,100,99,"2,726",254,240,240,240,237,243,309,241,241,242,239,"5,209",899,"1,261",898,"1,197",954,10,6,3,1,6,13,"21,317"
18-Feb-10,"3,891","3,193","3,084","1,435","1,759",90,101,95,101,95,102,100,70,101,90,92,83,241,97,101,100,100,"2,736",254,242,242,242,237,243,309,241,242,242,242,"5,220",901,"1,265",900,"1,201",953,10,6,3,1,6,10,"21,344"
