Location,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilikinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,TOTALS
Capacity,"5,631","3,049","2,214","2,104","1,320",75,75,75,75,75,75,75,75,75,75,75,75,120,75,75,75,75,"2,500",250,250,250,250,250,250,250,250,250,250,"3,900","1,000",500,"1,000",500,900,24,6,12,6,6,"20,748"
1-May-01,"5,170","3,046","1,988","1,309","1,265",70,73,73,74,72,74,72,72,72,73,73,65,109,73,73,72,75,"2,009",197,199,200,206,200,196,200,195,199,217,"3,256",785,496,780,321,874,6,4,1,1,6,"18,055"
2-May-01,"5,198","3,028","1,980","1,354","1,266",75,73,72,74,73,74,72,71,73,71,73,63,111,72,72,72,75,"2,007",197,199,200,205,200,195,200,195,199,217,"3,255",785,496,780,320,874,11,4,6,1,6,"18,105"
3-May-01,"5,208","3,044","1,977","1,331","1,270",75,73,73,74,73,74,72,75,72,71,72,63,112,72,72,72,75,"2,015",196,199,200,216,201,194,199,194,199,217,"3,240",776,496,767,327,874,12,4,7,1,6,"18,103"
4-May-01,"5,225","3,035","1,974","1,322","1,261",74,74,72,73,70,74,74,73,75,66,73,63,113,73,71,70,73,"2,012",196,200,199,213,201,194,199,194,199,217,"3,228",766,496,763,326,877,14,6,7,1,6,"18,077"
5-May-01,"5,225","3,036","1,972","1,325","1,260",74,74,72,73,71,74,74,73,75,66,72,62,113,73,71,70,73,"2,012",196,200,199,213,201,194,199,194,199,217,"3,228",766,496,763,326,877,14,6,7,1,6,"18,078"
6-May-01,"5,223","3,036","1,972","1,325","1,260",74,74,72,73,71,74,74,73,75,66,72,62,113,73,71,70,73,"2,011",196,200,198,213,201,194,199,194,199,217,"3,228",766,496,763,326,877,14,6,7,1,6,"18,075"
7-May-01,"5,220","3,070","1,975","1,314","1,274",74,75,73,74,72,74,75,74,74,70,71,61,113,73,75,72,74,"2,008",196,200,197,212,201,193,199,194,199,217,"3,230",766,498,763,326,877,13,6,6,1,6,"18,110"
8-May-01,"5,245","3,041","1,984","1,319","1,280",74,73,75,74,72,74,75,75,74,75,71,62,112,75,75,73,71,"2,008",198,199,197,211,200,196,199,194,198,216,"3,217",766,498,752,325,876,13,6,6,1,6,"18,113"
9-May-01,"5,262","3,001","1,976","1,326","1,273",74,70,74,75,70,74,75,74,75,74,72,62,111,75,72,73,73,"2,010",199,196,199,208,200,197,199,198,198,216,"3,218",764,498,752,329,875,13,6,6,1,6,"18,085"
10-May-01,"5,256","3,002","1,980","1,350","1,271",72,70,75,75,71,74,75,74,75,73,72,62,111,74,72,73,73,"2,009",199,195,200,208,200,197,199,197,199,215,"3,209",760,497,751,326,875,18,6,11,1,6,"18,101"
