date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,435","3,449","3,204","1,543","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,763",294,280,300,280,280,274,280,355,280,280,280,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"24,236"
19-Jan-11,"3,254","3,133","3,170","1,639","1,471",69,77,74,82,72,80,89,69,91,78,79,83,197,88,84,88,71,"2,994",226,225,245,221,224,219,223,283,225,222,224,219,238,"5,209",902,"1,357",896,"1,165",889,8,4,3,1,5,12,"20,895"
20-Jan-11,"3,239","3,120","3,178","1,608","1,454",67,77,71,80,72,80,89,69,92,77,79,83,193,86,83,85,71,"3,011",233,225,245,222,225,219,223,283,225,224,224,223,240,"5,208",899,"1,357",899,"1,164",889,8,4,3,1,5,11,"20,842"
21-Jan-11,"3,228","3,139","3,180","1,623","1,408",66,76,67,78,71,75,84,66,85,77,77,83,193,79,78,85,68,"3,007",233,225,245,221,225,219,223,283,224,224,223,223,239,"5,203",904,"1,360",899,"1,152",888,8,4,3,1,5,55,"20,856"
22-Jan-11,"3,223","3,136","3,179","1,623","1,408",66,76,67,78,71,75,84,66,85,77,77,83,193,80,78,85,67,"3,004",232,225,243,221,225,219,223,283,224,224,223,223,239,"5,203",904,"1,360",899,"1,152",888,8,4,3,1,5,56,"20,845"
23-Jan-11,"3,222","3,136","3,178","1,623","1,407",66,76,67,78,71,74,84,66,85,77,77,83,193,80,79,85,66,"3,003",232,225,243,221,225,219,222,283,224,224,223,223,239,"5,200",902,"1,360",899,"1,151",888,8,4,3,1,5,55,"20,837"
24-Jan-11,"3,217","3,150","3,180","1,628","1,442",67,76,70,80,71,76,86,68,87,81,77,84,198,85,83,84,69,"3,005",231,225,242,223,224,219,223,283,226,224,224,221,240,"5,193",898,"1,360",898,"1,151",886,8,4,3,1,5,12,"20,840"
25-Jan-11,"3,242","3,135","3,172","1,627","1,442",68,74,72,79,70,80,85,68,87,80,78,84,198,84,83,83,69,"3,005",231,225,242,223,223,219,223,282,226,224,224,223,240,"5,195",901,"1,359",897,"1,152",886,8,4,3,1,5,12,"20,843"
26-Jan-11,"3,237","3,149","3,177","1,615","1,434",68,74,72,78,70,80,85,68,85,80,76,85,198,82,82,82,69,"3,007",232,223,242,223,224,219,224,281,226,224,224,224,241,"5,202",901,"1,363",901,"1,151",886,8,4,3,1,5,10,"20,844"
27-Jan-11,"3,228","3,182","3,183","1,604","1,435",68,73,72,78,70,80,85,71,83,79,74,85,200,82,84,82,69,"3,002",232,222,241,222,224,218,224,281,226,224,223,224,241,"5,198",901,"1,364",899,"1,149",885,9,4,4,1,5,10,"20,856"
