Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,435","3,665","3,204","1,785","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,088",294,280,280,280,274,280,280,280,280,280,280,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"24,019"
19-Dec-08,"3,924","3,702","3,128","1,722","1,826",92,102,95,101,101,102,102,100,101,92,92,93,248,100,101,102,102,"3,085",294,280,279,280,274,279,280,280,280,279,280,"5,501",956,"1,360",982,"1,228",975,12,4,4,4,6,13,"22,919"
20-Dec-08,"3,921","3,706","3,128","1,722","1,825",92,102,95,101,101,102,101,100,101,92,92,93,248,100,101,102,102,"3,082",293,280,279,280,273,279,280,280,280,279,279,"5,496",956,"1,359",980,"1,226",975,12,4,4,4,6,8,"22,906"
21-Dec-08,"3,918","3,708","3,126","1,722","1,825",92,102,95,101,101,102,101,100,101,92,92,93,248,100,101,102,102,"3,082",293,280,279,280,273,279,280,280,280,279,279,"5,495",956,"1,359",980,"1,226",974,12,4,4,4,6,8,"22,902"
22-Dec-08,"3,919","3,646","3,135","1,755","1,824",92,102,95,101,101,101,101,100,102,92,91,93,246,102,101,102,102,"3,085",294,280,279,280,274,280,280,279,280,279,280,"5,497",955,"1,360",979,"1,226",977,12,4,4,4,6,9,"22,888"
23-Dec-08,"3,921","3,617","3,129","1,792","1,818",92,102,95,101,102,101,101,100,101,92,92,92,248,102,99,100,98,"3,086",294,280,280,280,274,280,279,280,280,280,279,"5,498",954,"1,362",983,"1,224",975,12,4,4,4,6,13,"22,892"
24-Dec-08,"3,936","3,545","3,140","1,815","1,816",92,102,95,98,102,101,98,102,101,92,92,91,250,102,101,99,98,"3,085",294,280,280,279,274,280,279,280,280,280,279,"5,501",956,"1,360",982,"1,226",977,12,4,4,4,6,0,"22,856"
25-Dec-08,"3,933","3,544","3,137","1,815","1,814",92,102,95,98,102,101,97,102,101,92,92,91,250,102,101,98,98,"3,083",294,280,279,279,273,280,279,280,280,280,279,"5,497",955,"1,358",981,"1,226",977,12,4,4,4,6,10,"22,851"
26-Dec-08,"3,927","3,548","3,137","1,815","1,811",92,102,95,98,102,101,97,102,101,92,92,91,250,99,101,98,98,"3,083",294,280,279,279,273,280,279,280,280,280,279,"5,497",955,"1,358",981,"1,226",977,12,4,4,4,6,7,"22,843"
27-Dec-08,"3,928","3,548","3,136","1,815","1,812",92,102,95,98,102,101,97,102,101,92,92,91,250,100,101,98,98,"3,078",294,280,278,278,273,280,279,278,280,279,279,"5,491",955,"1,357",979,"1,224",976,12,4,4,4,6,6,"22,832"
