date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,627","3,665","3,204","1,808","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,088",294,280,280,280,274,280,280,280,280,280,280,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"24,234"
10-Oct-08,"4,010","3,679","3,072","2,173","1,770",92,95,94,100,97,96,101,96,97,88,90,91,244,97,99,99,94,"3,080",294,280,277,276,275,280,280,279,281,278,280,"5,156",968,995,"1,000","1,199",994,16,6,6,4,6,54,"23,016"
11-Oct-08,"4,007","3,678","3,071","2,173","1,768",92,95,94,100,97,96,101,97,96,88,90,91,244,96,99,98,94,"3,077",294,280,277,276,274,279,280,279,281,277,280,"5,154",968,994,999,"1,199",994,16,6,6,4,6,55,"23,005"
12-Oct-08,"4,004","3,673","3,069","2,173","1,768",92,95,94,100,97,96,101,97,96,88,90,91,244,96,99,98,94,"3,075",294,280,276,276,273,279,280,279,281,277,280,"5,153",967,994,999,"1,199",994,16,6,6,4,6,55,"22,992"
13-Oct-08,"4,022","3,655","3,074","2,160","1,811",92,100,96,99,101,99,102,102,99,89,93,92,247,102,100,97,101,"3,076",294,278,277,280,273,279,279,279,281,278,278,"5,165",966,995,998,"1,208",998,16,6,6,4,6,7,"22,992"
14-Oct-08,"4,025","3,649","3,091","2,154","1,812",92,100,96,99,101,99,102,102,99,89,92,92,247,102,102,97,101,"3,077",293,278,277,280,274,280,280,278,281,278,278,"5,172",967,993,"1,000","1,213",999,16,6,6,4,6,10,"23,012"
15-Oct-08,"3,993","3,662","3,082","2,133","1,820",91,100,96,102,102,101,101,102,102,89,92,91,247,102,102,99,101,"3,079",293,277,280,280,273,280,280,279,280,277,280,"5,221",970,"1,041",999,"1,212",999,16,6,6,4,6,10,"23,022"
16-Oct-08,"4,013","3,615","3,100","2,137","1,817",91,100,96,101,101,100,101,101,102,92,92,91,246,101,102,99,101,"3,082",293,277,280,280,273,280,280,281,280,278,280,"5,222",971,"1,040",999,"1,214",998,16,6,6,4,6,9,"23,017"
17-Oct-08,"4,019","3,623","3,101","2,120","1,770",89,98,96,101,98,100,96,89,100,88,89,87,241,100,101,99,98,"3,081",292,280,279,280,274,279,279,281,280,277,280,"5,223",969,"1,040",999,"1,218",997,16,6,6,4,6,57,"23,016"
18-Oct-08,"4,013","3,617","3,099","2,120","1,767",89,98,96,101,98,100,96,88,100,88,88,86,241,100,101,99,98,"3,081",292,280,279,280,274,279,279,281,280,277,280,"5,221",969,"1,040",999,"1,218",995,16,6,6,4,6,57,"22,997"
