date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TRANSITIONAL HOUSING,Madison,Noxubee,Rankin/Flowood,Washington,Wilkinson,TOTALS
Capacity,"3,590","3,750",58,0,"3,082","1,781","1,188",0,0,96,102,102,0,0,82,20,62,58,93,93,178,28,50,82,20,60,62,0,"4,494",300,369,280,310,280,280,274,280,355,280,280,326,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,164,40,34,8,42,40,"24,095"
24-Oct-17,"3,369","3,636",27,25,"2,665","1,237",908,0,0,60,72,60,0,0,73,17,60,46,74,47,165,13,21,75,12,57,56,0,"4,172",288,291,275,309,279,237,273,277,351,199,280,323,228,276,286,"3,084",0,"1,189",998,0,897,11,4,4,3,48,3,36,6,0,3,"19,182"
25-Oct-17,"3,393","3,624",27,26,"2,643","1,271",897,0,0,59,72,60,0,0,73,17,60,46,74,41,162,13,21,75,12,57,55,0,"4,167",288,288,274,307,277,237,272,277,351,199,279,323,227,276,292,"3,092",0,"1,197",999,0,896,10,4,3,3,47,3,36,5,0,3,"19,197"
26-Oct-17,"3,387","3,607",28,20,"2,631","1,289",895,0,0,59,71,59,0,0,71,17,61,46,74,42,162,11,21,75,12,57,57,0,"4,199",288,293,273,308,289,243,274,275,351,200,279,329,225,274,298,"3,106",0,"1,211",998,0,897,10,4,3,3,47,3,36,5,0,3,"19,219"
27-Oct-17,"3,382","3,596",28,24,"2,614","1,267",881,0,0,54,67,57,0,0,69,16,58,45,74,42,159,11,23,81,12,56,57,0,"4,216",288,292,273,308,299,242,274,278,350,200,278,327,237,273,297,"3,118",0,"1,226",996,0,896,10,4,3,3,47,3,36,5,0,3,"19,183"
28-Oct-17,"3,382","3,596",28,24,"2,615","1,267",879,0,0,54,67,57,0,0,69,16,57,45,74,42,159,11,23,80,12,56,57,0,"4,215",288,291,273,308,299,242,274,278,350,200,278,327,237,273,297,"3,118",0,"1,226",996,0,896,10,4,3,3,47,3,36,5,0,3,"19,181"
29-Oct-17,"3,382","3,595",28,24,"2,614","1,267",878,0,0,54,67,57,0,0,69,16,57,45,74,41,159,11,23,80,12,56,57,0,"4,214",288,291,273,308,299,242,274,278,350,200,278,327,237,273,296,"3,117",0,"1,225",996,0,896,10,4,3,3,47,3,36,5,0,3,"19,176"
30-Oct-17,"3,362","3,627",28,22,"2,601","1,279",882,0,0,58,69,58,0,0,69,15,56,46,74,45,159,11,21,76,12,56,57,0,"4,220",288,290,272,306,296,255,274,278,352,200,277,327,236,274,295,"3,114",0,"1,224",996,0,894,10,4,3,3,47,3,36,5,0,3,"19,192"
31-Oct-17,"3,356","3,650",28,22,"2,595","1,249",879,0,0,58,69,57,0,0,68,15,56,46,74,46,155,11,21,79,12,55,57,0,"4,229",288,289,272,303,306,255,274,278,353,200,280,327,236,273,295,"3,117",0,"1,226","1,000",0,891,10,4,3,3,47,3,36,5,0,3,"19,182"
Avg Population,"3,325",3592,29,24,2835,1284,892,0,0,63,73,55,0,0,73,17,60,46,73,44,157,11,17,77,13,58,56,0,4028,269,292,272,303,279,231,273,277,349,199,254,296,229,242,266,3080,0,1187,998,0,895,11,4,5,3,43,3,33,5,0,2,"19,144"
