date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"3,356","3,449","3,204","1,608","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,763",294,280,300,280,280,274,280,355,280,280,280,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,222"
19-Feb-11,"3,214","3,199","3,182","1,701","1,386",57,75,72,84,65,80,71,77,84,73,73,70,183,80,75,83,84,"3,018",235,223,250,221,224,219,225,284,225,224,224,224,240,"5,196",896,"1,360",924,"1,130",886,6,3,3,0,5,47,"20,954"
20-Feb-11,"3,212","3,201","3,181","1,701","1,382",57,75,72,84,64,80,71,77,84,73,73,70,183,79,75,83,82,"3,017",235,223,250,221,224,218,225,284,225,224,224,224,240,"5,196",896,"1,360",924,"1,130",886,6,3,3,0,5,46,"20,947"
21-Feb-11,"3,206","3,200","3,180","1,702","1,413",62,76,75,82,67,83,72,77,85,77,75,70,186,83,76,85,82,"3,011",234,223,249,221,223,218,224,284,225,224,224,224,238,"5,193",895,"1,360",924,"1,129",885,6,3,3,0,5,10,"20,926"
22-Feb-11,"3,232","3,197","3,184","1,708","1,411",60,76,75,82,67,83,70,77,84,77,77,70,186,89,76,80,82,"3,011",235,221,249,224,222,218,223,284,224,223,224,222,242,"5,191",896,"1,356",923,"1,132",884,6,3,3,0,5,10,"20,955"
23-Feb-11,"3,271","3,188","3,188","1,696","1,400",61,77,74,82,65,83,67,75,83,77,76,69,183,89,77,79,83,"3,012",235,222,249,224,224,217,223,284,224,223,224,221,242,"5,190",898,"1,357",921,"1,128",886,6,3,3,0,5,12,"20,968"
24-Feb-11,"3,268","3,191","3,171","1,672","1,400",61,77,74,82,68,83,67,75,83,76,75,69,182,92,77,78,81,"3,013",233,222,248,223,224,219,223,283,224,224,225,223,242,"5,213",901,"1,359",920,"1,146",887,6,3,3,0,5,6,"20,945"
25-Feb-11,"3,248","3,212","3,170","1,672","1,385",62,74,74,79,80,80,64,72,80,73,73,68,178,91,78,78,81,"3,016",235,224,248,224,224,217,223,284,224,224,224,223,242,"5,209",898,"1,360",920,"1,144",887,6,3,3,0,5,27,"20,950"
26-Feb-11,"3,246","3,209","3,168","1,672","1,384",62,74,74,79,80,79,64,72,80,73,73,68,178,91,78,78,81,"3,016",235,224,248,224,224,217,223,284,224,224,224,223,242,"5,202",897,"1,359",919,"1,142",885,6,3,3,0,5,27,"20,935"
27-Feb-11,"3,246","3,212","3,168","1,672","1,380",62,74,74,79,78,80,63,71,80,73,73,68,177,91,78,78,81,"3,016",235,224,248,224,224,217,223,284,224,224,224,223,242,"5,202",897,"1,359",919,"1,142",885,6,3,3,0,5,27,"20,934"
