Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,435","3,665","3,204","1,487","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,163",294,280,280,280,274,280,355,280,280,280,280,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,796"
10-Sep-09,"3,924","3,313","2,703","1,558","1,533",58,71,68,78,81,90,85,67,91,77,90,89,241,92,78,84,93,"2,930",279,266,266,266,260,266,263,265,267,266,266,"5,533",957,"1,364",981,"1,255",976,10,5,3,2,6,14,"21,524"
11-Sep-09,"3,935","3,329","2,701","1,561","1,483",51,69,65,75,79,87,83,66,85,76,89,86,235,89,75,80,93,"2,935",280,266,266,266,260,266,266,266,267,266,266,"5,529",956,"1,363",983,"1,252",975,10,5,3,2,6,54,"21,543"
12-Sep-09,"3,927","3,328","2,698","1,561","1,481",51,69,65,74,79,87,83,66,85,76,88,86,235,89,75,80,93,"2,934",280,266,266,266,260,266,266,266,267,265,266,"5,526",956,"1,360",983,"1,252",975,10,5,3,2,6,55,"21,526"
13-Sep-09,"3,925","3,324","2,696","1,561","1,482",51,69,65,75,79,87,83,66,85,76,88,86,235,89,75,80,93,"2,932",279,265,266,266,260,266,266,266,267,265,266,"5,524",956,"1,358",983,"1,252",975,10,5,3,2,6,56,"21,516"
14-Sep-09,"3,919","3,348","2,703","1,563","1,509",58,68,68,76,81,88,82,68,86,76,86,89,238,91,78,84,92,"2,931",278,266,266,266,260,264,265,267,267,266,266,"5,521",956,"1,361",982,"1,247",975,10,5,3,2,6,14,"21,524"
15-Sep-09,"3,933","3,338","2,699","1,544","1,499",58,67,68,76,80,88,81,68,85,73,86,88,240,91,77,81,92,"2,935",280,266,266,266,260,266,266,266,267,266,266,"5,549",959,"1,362",982,"1,271",975,10,5,3,2,6,14,"21,527"
16-Sep-09,"3,928","3,313","2,697","1,506","1,494",58,67,68,76,79,88,79,67,86,73,88,87,238,90,77,81,92,"2,980",281,265,265,266,259,265,316,266,266,265,266,"5,542",958,"1,363",980,"1,265",976,10,5,3,2,6,13,"21,489"
17-Sep-09,"3,931","3,316","2,700","1,527","1,489",58,67,69,75,77,89,79,67,85,73,87,87,236,90,77,81,92,"2,981",280,266,266,266,258,267,316,266,264,266,266,"5,541",955,"1,364",985,"1,261",976,10,5,3,2,6,16,"21,517"
18-Sep-09,"3,939","3,276","2,714","1,577","1,455",55,67,70,72,75,84,80,66,84,73,86,82,235,85,74,77,90,"3,007",280,267,265,266,260,267,341,264,265,266,266,"5,533",953,"1,365",983,"1,256",976,9,4,3,2,6,41,"21,557"
