date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Delta Satellite Facility,Delta TVC,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin Satellite Facility (RRP),Flowood TVC,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Tallahatchie County,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TRANSITIONAL HOUSING,Madison,Noxubee,Rankin/Flowood,Washington,Wilkinson,TOTALS
Capacity,"3,560","4,094",58,0,"3,082","1,793","1,372",0,0,124,324,96,102,102,0,0,62,58,93,93,178,28,50,0,62,0,"4,579",300,369,280,310,342,280,297,280,355,280,280,326,300,280,300,"5,500","1,000","1,500","1,000","1,000","1,000",10,0,6,4,122,40,34,8,42,40,"24,170"
1-Aug-20,"2,032","3,061",17,0,"2,464","1,733",492,0,0,113,52,37,0,0,0,0,43,49,58,41,98,1,0,0,0,0,"4,062",287,271,241,297,331,274,312,273,301,252,341,275,115,206,286,"3,529",558,"1,166",946,0,859,0,0,0,0,0,0,0,0,0,0,"17,390"
2-Aug-20,"2,029","3,061",17,0,"2,463","1,733",492,0,0,113,52,37,0,0,0,0,43,49,58,41,98,1,0,0,0,0,"4,035",286,270,239,295,328,273,309,271,299,249,339,274,115,204,284,"3,529",558,"1,166",946,0,859,0,0,0,0,0,0,0,0,0,0,"17,359"
3-Aug-20,"2,029","3,063",17,0,"2,462","1,741",488,0,0,106,50,37,0,0,0,0,50,48,58,41,97,1,0,0,0,0,"4,052",287,271,240,296,334,274,309,272,301,251,339,274,115,205,284,"3,528",558,"1,166",945,0,859,0,0,0,0,0,0,0,0,0,0,"17,380"
4-Aug-20,"2,026","3,051",17,0,"2,462","1,761",488,0,0,106,50,37,0,0,0,0,50,48,58,41,97,1,0,0,0,0,"4,047",287,271,240,296,332,273,309,272,300,251,339,274,115,204,284,"3,527",558,"1,165",945,0,859,0,0,0,0,0,0,0,0,0,0,"17,379"
5-Aug-20,"2,029","3,040",17,0,"2,456","1,772",489,0,0,104,53,37,0,0,0,0,50,48,58,41,97,1,0,0,0,0,"4,035",286,270,239,295,328,273,309,271,299,249,339,274,115,204,284,"3,524",558,"1,163",944,0,859,0,0,0,0,0,0,0,0,0,0,"17,362"
6-Aug-20,"2,032","3,038",16,0,"2,456","1,779",487,0,0,104,51,37,0,0,0,0,50,48,58,41,97,1,0,0,0,0,"4,022",286,270,238,294,328,273,301,271,299,249,339,273,115,202,284,"3,523",558,"1,163",944,0,858,0,0,0,0,0,0,0,0,0,0,"17,353"
7-Aug-20,"2,027","3,032",16,0,"2,452","1,814",486,0,0,112,51,36,0,0,0,0,42,48,58,41,97,1,0,0,0,0,"4,007",285,270,238,294,327,273,300,270,295,247,338,272,114,201,283,"3,521",558,"1,163",943,0,857,0,0,0,0,0,0,0,0,0,0,"17,355"
8-Aug-20,"2,026","3,030",16,0,"2,452","1,814",486,0,0,112,51,36,0,0,0,0,42,48,58,41,97,1,0,0,0,0,"4,003",285,269,238,294,325,272,299,270,295,247,338,272,114,201,284,"3,521",558,"1,163",943,0,857,0,0,0,0,0,0,0,0,0,0,"17,348"
9-Aug-20,"2,026","3,030",16,0,"2,451","1,814",486,0,0,112,51,36,0,0,0,0,42,48,58,41,97,1,0,0,0,0,"4,003",285,269,238,294,325,272,299,270,295,247,338,272,114,201,284,"3,520",558,"1,162",943,0,857,0,0,0,0,0,0,0,0,0,0,"17,346"
10-Aug-20,"2,025","3,029",16,0,"2,448","1,835",484,0,0,103,50,36,0,0,0,0,50,48,58,41,97,1,0,0,0,0,"3,995",286,269,238,293,324,271,297,268,295,246,338,272,114,200,284,"3,520",558,"1,162",943,0,857,0,0,0,0,0,0,0,0,0,0,"17,352"
11-Aug-20,"2,022","3,064",16,0,"2,441","1,796",481,0,0,103,49,35,0,0,0,0,49,48,58,41,97,1,0,0,0,0,"3,988",286,269,236,292,323,271,297,268,293,246,338,272,114,200,283,"3,519",558,"1,162",942,0,857,0,0,0,0,0,0,0,0,0,0,"17,327"
