Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,469",58,350,"3,282","1,973","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,710"
1-Oct-14,"3,323","2,336",33,110,"3,071","1,622","1,093",74,46,50,54,41,46,52,48,50,73,88,60,175,101,45,44,46,"4,313",294,365,280,298,276,269,256,263,355,257,279,278,280,275,288,"4,048",0,"1,196",996,"1,019",837,6,3,2,1,0,,"19,955"
2-Oct-14,"3,313","2,338",33,111,"3,064","1,627","1,085",70,46,49,56,42,46,50,47,50,72,87,59,175,102,45,44,45,"4,318",300,365,279,298,275,270,268,260,355,250,279,278,279,276,286,"4,043",0,"1,196",997,"1,016",834,6,3,2,1,0,,"19,938"
3-Oct-14,"3,309","2,329",33,110,"3,067","1,657","1,075",70,48,49,56,46,46,47,45,52,70,83,59,171,100,45,44,44,"4,309",300,365,279,299,276,272,263,260,354,251,279,278,279,269,285,"3,994",0,"1,193",997,996,808,5,2,2,1,0,,"19,888"
4-Oct-14,"3,307","2,331",33,109,"3,066","1,656","1,075",70,48,49,56,46,46,47,44,52,70,83,59,172,100,45,44,44,"4,306",300,365,279,299,276,272,263,260,354,251,279,278,279,268,283,"3,994",0,"1,193",997,996,808,5,2,2,1,0,,"19,882"
5-Oct-14,"3,306","2,332",33,108,"3,064","1,657","1,074",70,48,48,56,46,46,47,44,52,70,83,59,172,100,45,44,44,"4,305",300,365,279,299,276,272,263,260,354,251,279,278,279,267,283,"3,991",0,"1,191",997,995,808,5,2,2,1,0,,"19,875"
6-Oct-14,"3,294","2,338",33,108,"3,009","1,640","1,085",70,48,49,53,46,49,48,46,54,71,84,59,172,102,45,44,45,"4,304",300,367,277,298,274,272,262,260,354,253,279,277,278,266,287,"4,049",0,"1,191",997,"1,052",809,6,2,3,1,0,0,"19,866"
7-Oct-14,"3,304","2,321",32,110,"2,968","1,660","1,077",74,48,49,53,46,49,47,46,53,68,82,59,171,101,43,43,45,"4,319",297,367,276,300,276,271,265,264,351,264,280,276,278,267,287,"4,103",0,"1,190","1,000","1,105",808,6,4,1,1,0,0,"19,900"
8-Oct-14,"3,305","2,324",35,111,"2,917","1,615","1,071",74,48,49,52,45,48,47,48,52,68,82,59,171,100,43,40,45,"4,332",297,366,277,299,278,271,264,263,350,276,280,278,277,269,287,"4,145",0,"1,189","1,000","1,152",804,4,2,1,1,0,0,"19,859"
9-Oct-14,"3,304","2,324",35,111,"2,917","1,608","1,067",74,48,49,53,45,47,47,49,52,68,81,58,171,99,43,40,43,"4,310",297,364,276,298,278,271,264,259,343,274,278,278,277,266,287,"4,185",0,"1,188","1,000","1,194",803,4,2,1,1,0,0,"19,865"
