date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Delta Satellite Facility,Delta TVC,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin Satellite Facility (RRP),Flowood TVC,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Tallahatchie County,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TRANSITIONAL HOUSING,Madison,Noxubee,Rankin/Flowood,Washington,Wilkinson,TOTALS
Capacity,"3,560","4,178",58,0,"3,082","1,793","1,270",0,0,124,324,96,0,102,0,0,62,58,93,93,178,28,50,0,62,0,"4,579",300,369,280,310,342,280,297,280,355,280,280,326,300,280,300,"4,500","1,000","1,500","1,000",0,"1,000",10,0,6,4,122,40,34,8,42,40,"23,152"
1-Jul-20,"2,027","3,101",19,0,"2,491","1,560",540,0,0,139,27,41,0,0,0,0,59,44,67,46,114,3,0,0,0,0,"4,148",296,281,235,300,320,280,313,263,333,266,357,270,121,217,296,"3,562",565,"1,179",955,0,863,0,0,0,0,0,0,0,0,0,0,"17,448"
2-Jul-20,"2,027","3,099",19,0,"2,485","1,573",534,0,0,145,27,41,0,0,0,0,51,44,67,44,113,2,0,0,0,0,"4,142",296,281,235,300,319,280,311,262,333,266,356,270,121,217,295,"3,545",555,"1,174",954,0,862,0,0,0,0,0,0,0,0,0,0,"17,424"
3-Jul-20,"2,027","3,101",19,0,"2,480","1,574",534,0,0,145,27,41,0,0,0,0,51,44,67,44,113,2,0,0,0,0,"4,139",296,281,235,300,319,280,311,262,333,264,355,270,121,217,295,"3,553",565,"1,173",954,0,861,0,0,0,0,0,0,0,0,0,0,"17,427"
4-Jul-20,"2,027","3,101",19,0,"2,479","1,574",534,0,0,145,27,41,0,0,0,0,51,44,67,44,113,2,0,0,0,0,"4,136",295,281,235,300,319,280,311,262,333,263,355,270,121,217,294,"3,554",565,"1,174",954,0,861,0,0,0,0,0,0,0,0,0,0,"17,424"
5-Jul-20,"2,024","3,101",19,0,"2,477","1,574",534,0,0,145,27,41,0,0,0,0,51,44,67,44,113,2,0,0,0,0,"4,136",295,281,235,300,319,280,311,262,333,263,355,270,121,217,294,"3,554",565,"1,174",954,0,861,0,0,0,0,0,0,0,0,0,0,"17,419"
6-Jul-20,"2,021","3,094",18,0,"2,473","1,571",532,0,0,137,28,40,0,0,0,0,59,43,67,44,111,3,0,0,0,0,"4,130",295,278,235,300,319,279,311,261,333,263,355,270,121,216,294,"3,553",565,"1,173",954,0,861,0,0,0,0,0,0,0,0,0,0,"17,392"
7-Jul-20,"2,017","3,041",18,0,"2,467","1,527",529,0,0,136,28,40,0,0,0,0,58,42,67,44,111,3,0,0,0,0,"4,205",295,277,235,299,340,278,311,279,349,279,354,280,121,216,292,"3,551",565,"1,173",953,0,860,0,0,0,0,0,0,0,0,0,0,"17,355"
8-Jul-20,"2,019","3,006",18,0,"2,518","1,490",527,0,0,136,27,39,0,0,0,0,58,42,67,44,111,3,0,0,0,0,"4,208",293,276,248,300,339,278,310,278,345,278,354,280,121,216,292,"3,558",565,"1,171",953,0,869,0,0,0,0,0,0,0,0,0,0,"17,344"
9-Jul-20,"2,015","2,990",18,0,"2,512","1,488",524,0,0,135,27,38,0,0,0,0,58,42,66,44,111,3,0,0,0,0,"4,235",293,276,259,304,339,278,324,277,345,278,354,279,119,216,294,"3,571",565,"1,184",953,0,869,0,0,0,0,0,0,0,0,0,0,"17,353"
10-Jul-20,"2,042","2,974",18,0,"2,540","1,525",516,0,0,144,26,37,0,0,0,0,48,42,61,44,111,3,0,0,0,0,"4,182",290,274,259,302,339,277,324,275,324,260,354,278,119,213,294,"3,570",565,"1,184",952,0,869,0,0,0,0,0,0,0,0,0,0,"17,367"
11-Jul-20,"2,042","2,972",18,0,"2,537","1,525",515,0,0,144,26,37,0,0,0,0,48,42,60,44,111,3,0,0,0,0,"4,182",290,274,258,302,340,277,324,275,324,260,354,278,119,213,294,"3,569",564,"1,184",952,0,869,0,0,0,0,0,0,0,0,0,0,"17,360"
12-Jul-20,"2,042","2,972",18,0,"2,537","1,525",515,0,0,144,26,37,0,0,0,0,48,42,60,44,111,3,0,0,0,0,"4,182",290,274,258,302,340,277,324,275,324,260,354,278,119,213,294,"3,569",564,"1,184",952,0,869,0,0,0,0,0,0,0,0,0,0,"17,360"
13-Jul-20,"2,039","2,971",18,0,"2,536","1,545",511,0,0,134,25,37,0,0,0,0,55,42,60,44,111,3,0,0,0,0,"4,181",290,274,258,302,340,277,323,275,324,260,354,278,119,213,294,"3,569",564,"1,184",952,0,869,0,0,0,0,0,0,0,0,0,0,"17,370"
14-Jul-20,"2,033","3,024",18,0,"2,519","1,521",514,0,0,137,25,37,0,0,0,0,55,42,60,44,111,3,0,0,0,0,"4,166",290,274,258,301,339,278,323,276,312,260,353,278,117,213,294,"3,565",563,"1,182",951,0,869,0,0,0,0,0,0,0,0,0,0,"17,360"
15-Jul-20,"2,033","3,090",19,0,"2,517","1,485",470,0,0,130,25,37,0,0,0,0,55,42,59,44,75,3,0,0,0,0,"4,160",290,274,258,300,338,278,323,275,311,260,353,278,117,212,293,"3,563",561,"1,184",950,0,868,0,0,0,0,0,0,0,0,0,0,"17,337"
16-Jul-20,"2,033","3,087",19,0,"2,518","1,504",480,0,0,103,25,37,0,0,0,0,46,53,63,44,106,3,0,0,0,0,"4,155",290,273,256,300,337,278,323,275,311,260,353,277,117,212,293,"3,566",563,"1,184",950,0,869,0,0,0,0,0,0,0,0,0,0,"17,362"
17-Jul-20,"2,033","3,079",18,0,"2,517","1,532",492,0,0,113,24,37,0,0,0,0,49,53,63,44,106,3,0,0,0,0,"4,139",290,273,250,299,335,277,322,275,309,258,352,277,117,212,293,"3,563",561,"1,184",950,0,868,0,0,0,0,0,0,0,0,0,0,"17,373"
