Location,Mississippi State Penitentiary,MSP TVC,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,SMCI TVC,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"4,648",108,"3,469",58,158,"3,282",0,"1,995","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"25,726"
1-Mar-15,"3,102",100,"2,355",23,88,"2,458",99,"1,487","1,027",49,52,43,48,43,55,46,47,51,60,85,56,159,92,46,48,47,"4,212",300,355,274,297,262,266,258,262,334,259,269,277,252,257,290,"3,949",0,"1,176",994,893,886,5,3,1,1,"18,905"
2-Mar-15,"3,111",99,"2,368",22,87,"2,457",99,"1,513","1,042",49,52,45,49,46,55,45,47,51,61,86,56,163,92,45,51,49,"4,210",300,354,274,300,259,266,257,262,338,256,269,276,252,256,291,"3,948",0,"1,176",994,892,886,5,3,1,1,"18,961"
3-Mar-15,"3,107",93,"2,376",22,101,"2,454",98,"1,513","1,043",49,52,45,49,46,55,45,46,51,61,86,56,166,92,44,51,49,"4,200",300,354,274,300,259,264,257,261,336,254,269,276,252,255,289,"3,963",0,"1,181",994,902,886,5,3,1,1,"18,975"
4-Mar-15,"3,104",92,"2,378",22,101,"2,442",93,"1,560","1,054",49,52,46,49,47,55,45,45,52,60,82,56,166,99,52,51,48,"4,191",300,353,270,300,259,265,256,266,337,251,267,276,252,254,285,"3,973",0,"1,181",992,914,886,5,3,1,1,"19,015"
5-Mar-15,"3,101",91,"2,383",22,109,"2,422",98,"1,552","1,057",49,51,48,50,47,53,44,45,59,60,81,56,165,98,52,51,48,"4,188",300,353,270,300,259,264,256,266,338,250,266,276,252,253,285,"3,969",0,"1,179",991,915,884,5,3,1,1,"18,997"
6-Mar-15,"3,091",90,"2,357",22,111,"2,430",98,"1,552","1,039",49,50,47,51,46,52,43,44,59,56,79,54,163,96,52,53,45,"4,188",300,353,269,297,260,262,256,265,338,252,265,276,256,254,285,"3,978",0,"1,183",991,921,883,4,2,1,1,"18,960"
7-Mar-15,"3,087",88,"2,354",22,111,"2,430",98,"1,552","1,038",49,50,47,51,46,51,43,44,59,56,79,54,163,96,52,53,45,"4,188",300,353,269,297,260,262,256,265,338,252,265,276,256,254,285,"3,978",0,"1,183",991,921,883,4,2,1,1,"18,950"
8-Mar-15,"3,087",88,"2,354",22,110,"2,428",94,"1,548","1,038",49,50,47,51,46,51,43,44,59,56,79,54,163,96,52,53,45,"4,188",300,353,269,297,260,262,256,265,338,252,265,276,256,254,285,"3,978",0,"1,183",991,921,883,4,2,1,1,"18,939"
9-Mar-15,"3,091",88,"2,352",22,120,"2,434",94,"1,570","1,052",49,50,50,50,48,52,44,46,57,60,79,54,163,98,52,52,48,"4,178",300,352,267,300,260,263,257,266,336,251,263,274,252,251,286,"3,979",0,"1,181",991,924,883,5,3,1,1,"18,985"
