Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"3,590","3,506",58,,"3,082","1,986","1,848",92,102,96,102,102,102,102,82,20,102,92,93,93,260,,82,20,102,102,102,"4,378",240,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"24,436"
10-Jul-16,"3,399","3,085",33,8,"2,990","1,566","1,098",0,0,68,91,71,0,0,60,19,90,81,89,91,170,27,63,16,94,68,0,"3,506",239,293,239,240,200,197,268,270,260,199,200,240,222,199,240,"3,868",0,"1,141",999,830,898,13,4,5,4,"19,566"
11-Jul-16,"3,397","3,123",31,8,"2,983","1,561","1,111",0,0,71,92,70,0,0,57,19,96,87,90,90,171,27,63,16,93,69,0,"3,493",240,291,237,240,198,197,267,269,260,198,199,240,221,198,238,"3,863",0,"1,140",999,827,897,16,5,6,5,"19,586"
12-Jul-16,"3,385","3,152",31,8,"2,978","1,552","1,095",0,0,68,91,68,0,0,53,19,96,87,91,90,169,26,61,16,91,69,0,"3,495",240,290,240,239,198,200,270,270,258,199,198,240,220,198,235,"3,850",0,"1,138",997,818,897,16,5,6,5,"19,562"
13-Jul-16,"3,388","3,197",31,8,"2,983","1,516","1,089",0,0,68,91,69,0,0,52,19,96,87,91,90,168,25,57,16,91,69,0,"3,497",239,294,240,238,197,200,270,268,257,199,198,240,220,198,239,"3,849",0,"1,135",998,815,901,16,5,6,5,"19,574"
14-Jul-16,"3,396","3,192",31,8,"2,982","1,535","1,076",0,0,66,90,68,0,0,50,19,96,85,91,89,171,26,52,16,89,68,0,"3,495",238,293,240,237,197,200,270,266,259,200,199,241,220,197,238,"3,846",0,"1,134",997,814,901,15,4,6,5,"19,576"
15-Jul-16,"3,393","3,180",31,13,"2,992","1,513","1,076",0,0,71,80,67,0,0,65,18,93,84,91,83,165,27,62,15,87,68,0,"3,500",239,292,240,240,200,200,269,265,258,200,198,241,220,198,240,"3,846",0,"1,146","1,001",812,887,15,4,6,5,"19,559"
16-Jul-16,"3,393","3,180",31,13,"2,993","1,513","1,076",0,0,71,80,67,0,0,65,18,93,84,91,83,165,27,62,15,87,68,0,"3,500",239,292,240,240,200,200,269,265,258,200,198,241,220,198,240,"3,847",0,"1,147","1,001",812,887,15,4,6,5,"19,561"
17-Jul-16,"3,391","3,178",31,13,"2,992","1,512","1,069",0,0,71,80,67,0,0,59,18,93,84,91,83,165,27,61,15,87,68,0,"3,497",239,292,240,240,200,199,268,265,258,200,197,241,220,198,240,"3,845",0,"1,146","1,001",811,887,15,4,6,5,"19,543"
18-Jul-16,"3,398","3,181",32,11,"2,997","1,514","1,079",0,0,76,81,68,0,0,56,19,95,83,90,87,166,26,60,15,89,68,0,"3,502",238,294,239,240,200,199,270,271,260,200,196,239,219,198,239,"3,851",0,"1,153","1,001",811,886,15,4,6,5,"19,580"
