Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,665","3,282","1,816","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,691"
1-Oct-12,"3,370","3,322","3,177","2,223","1,547",91,73,84,86,70,69,78,80,92,79,93,77,241,100,78,58,98,"4,354",300,369,279,300,279,280,274,280,340,280,279,278,237,279,300,"4,140",0,"1,199",999,"1,037",905,14,5,6,3,0,8,"22,155"
2-Oct-12,"3,373","3,322","3,181","2,205","1,552",91,73,84,86,68,69,78,81,97,79,93,83,240,100,78,58,94,"4,349",299,369,279,300,278,280,274,279,339,276,279,280,237,280,300,"4,134",0,"1,199",999,"1,033",903,14,4,6,4,0,8,"22,138"
3-Oct-12,"3,382","3,325","3,177","2,191","1,566",91,81,84,86,68,67,83,80,97,80,93,83,242,102,78,56,95,"4,349",297,368,279,300,280,280,274,278,337,280,280,280,237,280,299,"4,129",0,"1,197",997,"1,030",905,14,4,6,4,0,7,"22,140"
4-Oct-12,"3,381","3,343","3,183","2,183","1,561",92,80,85,86,65,67,85,79,96,80,93,83,241,102,77,56,94,"4,350",297,368,280,300,279,279,274,279,339,279,279,279,237,280,301,"4,129",0,"1,198",996,"1,030",905,14,4,6,4,0,9,"22,153"
5-Oct-12,"3,370","3,341","3,176","2,196","1,546",92,78,79,81,67,67,84,79,94,78,90,88,241,99,81,55,93,"4,347",300,365,279,300,279,279,274,280,339,279,279,278,236,280,300,"4,124",0,"1,197",996,"1,027",904,13,4,5,4,0,38,"22,151"
6-Oct-12,"3,370","3,344","3,172","2,196","1,542",92,78,79,81,67,67,84,79,94,78,87,87,241,99,81,55,93,"4,344",300,364,279,300,279,279,274,280,339,278,279,278,235,280,300,"4,122",0,"1,195",996,"1,027",904,13,4,5,4,0,37,"22,140"
7-Oct-12,"3,369","3,343","3,173","2,196","1,540",92,78,79,81,67,67,84,79,94,78,87,86,240,99,81,55,93,"4,342",300,364,279,300,278,279,274,280,339,278,278,278,235,280,300,"4,122",0,"1,195",996,"1,027",904,13,4,5,4,0,38,"22,136"
8-Oct-12,"3,380","3,320","3,179","2,211","1,575",91,80,84,83,69,71,85,81,96,81,92,88,242,100,81,55,96,"4,349",299,368,280,299,278,280,274,280,339,280,279,279,234,279,301,"4,123",0,"1,194",996,"1,027",906,13,4,5,4,0,7,"22,157"
9-Oct-12,"3,388","3,336","3,194","2,187","1,566",91,80,84,83,69,69,84,81,94,81,92,90,240,99,80,55,94,"4,352",298,369,280,300,276,280,274,278,340,280,280,279,239,278,301,"4,121",0,"1,192",995,"1,029",905,13,4,5,4,0,5,"22,162"
