Location,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County (opened on May 10th),Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta (Closed),East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,TOTALS
Capacity,"5,711","3,233","2,214","2,119","1,350",75,75,75,75,75,75,75,75,75,75,75,75,150,75,75,75,75,"2,750",250,250,250,250,250,250,250,250,250,250,250,"3,750",0,"1,000","1,000",750,"1,000",24,6,12,6,6,"21,157"
13-Feb-03,"5,568","3,097","2,102","2,068","1,263",68,70,72,75,75,75,66,71,74,72,51,59,142,74,73,72,74,"2,481",224,225,225,226,225,226,226,227,226,226,225,"3,386",0,729,977,704,976,13,6,4,3,6,"19,984"
14-Feb-03,"5,556","3,076","2,063","2,106","1,211",61,66,69,72,70,73,68,66,72,69,50,56,147,68,66,74,64,"2,488",226,225,227,227,226,226,226,227,226,227,225,"3,390",0,725,975,714,976,12,5,4,3,6,"19,908"
15-Feb-03,"5,555","3,076","2,062","2,106","1,211",61,66,69,72,70,73,68,66,72,69,50,56,147,68,66,74,64,"2,486",225,225,227,227,226,226,226,227,226,226,225,"3,389",0,725,975,713,976,12,5,4,3,6,"19,903"
16-Feb-03,"5,553","3,074","2,061","2,106","1,211",61,66,69,72,70,73,68,66,72,69,50,56,147,68,66,74,64,"2,484",225,225,226,226,226,226,226,227,226,226,225,"3,386",0,723,974,713,976,12,5,4,3,6,"19,893"
17-Feb-03,"5,550","3,075","2,061","2,111","1,277",71,70,72,75,75,75,74,70,72,72,51,58,148,74,71,75,74,"2,483",225,225,226,226,226,225,226,227,226,226,225,"3,386",0,723,974,713,976,13,6,4,3,6,"19,962"
18-Feb-03,"5,534","3,060","2,083","2,133","1,272",71,69,72,75,74,74,74,70,71,74,50,57,148,74,71,75,73,"2,483",225,225,226,226,226,225,226,227,226,225,226,"3,383",0,723,973,712,975,13,6,4,3,6,"19,967"
19-Feb-03,"5,545","3,060","2,090","2,164","1,268",71,69,74,74,74,71,74,70,71,74,49,57,148,74,71,75,72,"2,484",225,226,226,226,226,226,226,227,226,225,225,"3,383",0,724,973,711,975,13,6,4,3,6,"20,013"
20-Feb-03,"5,535","3,071","2,108","2,157","1,274",71,69,74,74,74,71,74,74,74,74,49,57,148,73,71,75,72,"2,484",224,227,226,225,226,226,226,227,227,224,226,"3,382",0,724,974,710,974,13,6,4,3,6,"20,030"
21-Feb-03,"5,512","3,086","2,110","2,133","1,230",68,67,70,72,71,68,74,70,71,74,47,56,149,71,68,69,65,"2,479",222,227,226,226,225,226,226,225,227,223,226,"3,413",0,724,984,719,986,13,6,4,3,6,"19,982"
22-Feb-03,"5,511","3,086","2,109","2,133","1,228",68,67,70,72,70,68,74,70,70,74,47,56,149,71,68,69,65,"2,477",221,227,226,226,225,226,226,224,227,223,226,"3,413",0,724,984,719,986,13,6,4,3,6,"19,976"
23-Feb-03,"5,507","3,085","2,109","2,133","1,228",68,67,69,72,71,68,74,70,71,74,46,56,149,71,68,69,65,"2,477",221,227,226,226,225,226,226,224,227,223,226,"3,412",0,723,984,719,986,13,6,4,3,6,"19,970"
