date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,435","3,449","3,204","1,543","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,763",294,280,300,280,280,274,280,355,280,280,280,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"24,236"
10-Jan-11,"3,267","3,204","3,160","1,569","1,495",73,79,70,86,72,79,89,74,98,86,79,82,191,92,85,82,78,"3,006",235,224,240,222,224,218,225,284,225,222,224,221,242,"5,209",907,"1,356",900,"1,163",883,8,4,3,1,5,10,"20,933"
11-Jan-11,"3,266","3,210","3,155","1,565","1,487",71,79,70,86,72,79,89,73,93,85,79,83,191,92,85,82,78,"3,008",235,224,249,222,224,215,224,283,224,222,224,221,241,"5,207",907,"1,355",899,"1,163",883,8,4,3,1,5,11,"20,922"
12-Jan-11,"3,260","3,195","3,148","1,589","1,471",70,78,69,86,71,78,88,71,92,85,79,84,190,92,84,79,75,"3,000",235,224,248,221,223,215,224,282,224,221,222,221,240,"5,205",907,"1,355",898,"1,163",882,8,4,3,1,5,10,"20,891"
13-Jan-11,"3,255","3,196","3,140","1,625","1,465",70,78,69,86,71,78,88,71,92,83,79,85,189,90,84,78,74,"3,001",235,224,248,220,223,217,224,282,224,221,222,221,240,"5,195",906,"1,353",898,"1,158",880,8,4,3,1,5,6,"20,896"
14-Jan-11,"3,244","3,201","3,117","1,647","1,391",65,73,67,81,66,70,82,69,88,81,77,83,186,84,81,70,68,"2,997",234,224,247,220,223,217,224,282,224,221,222,220,239,"5,191",904,"1,352",898,"1,158",879,7,3,3,1,5,74,"20,874"
15-Jan-11,"3,243","3,197","3,115","1,647","1,390",65,73,67,81,66,70,82,69,88,81,77,83,186,84,81,70,67,"2,992",234,223,245,220,223,217,223,282,224,221,222,220,238,"5,186",903,"1,352",897,"1,155",879,7,3,3,1,5,74,"20,856"
16-Jan-11,"3,243","3,194","3,115","1,647","1,389",65,73,67,81,66,70,82,68,88,81,77,83,186,84,81,70,67,"2,990",233,223,245,220,223,217,223,281,224,221,222,220,238,"5,183",902,"1,351",897,"1,154",879,7,3,3,1,5,76,"20,849"
17-Jan-11,"3,242","3,191","3,114","1,654","1,456",70,77,69,83,68,77,88,70,92,83,78,84,193,90,84,77,73,"2,990",233,223,245,220,223,217,223,281,224,221,222,220,238,"5,179",901,"1,350",897,"1,154",877,8,4,3,1,5,8,"20,847"
18-Jan-11,"3,247","3,149","3,149","1,616","1,460",69,77,74,84,72,81,87,69,91,77,78,83,192,88,84,82,72,"2,994",229,224,245,221,224,219,223,282,225,222,224,215,241,"5,209",900,"1,357",896,"1,169",887,8,4,3,1,5,11,"20,848"
