date_raw,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County (opened on May 10th),Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"5,768","3,233","2,214","2,176","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"2,750",250,250,250,250,250,250,250,250,250,250,250,"3,750","1,000","1,000",750,"1,000",24,6,12,6,6,,"21,737"
1-Nov-03,"5,706","3,098","2,037","1,933","1,507",86,73,88,91,68,67,80,91,101,85,40,73,226,89,88,66,95,"2,739",249,249,246,250,245,250,250,250,250,250,250,"3,411",725,991,741,954,16,6,7,3,6,40,"20,493"
2-Nov-03,"5,704","3,095","2,036","1,933","1,508",86,73,88,91,68,67,80,91,101,85,40,73,226,90,88,66,95,"2,738",249,249,246,250,245,250,250,250,249,250,250,"3,411",725,991,741,954,16,6,7,3,6,40,"20,487"
3-Nov-03,"5,701","3,078","2,062","1,937","1,540",90,72,88,92,70,72,80,93,102,89,43,73,227,93,91,69,96,"2,738",249,248,246,250,250,250,247,250,248,250,250,"3,409",724,991,740,954,16,6,7,3,6,3,"20,490"
4-Nov-03,"5,662","3,108","2,057","1,923","1,532",88,72,88,92,68,71,80,93,101,89,43,73,227,92,90,69,96,"2,736",248,248,249,250,248,250,246,250,247,250,250,"3,448",724,991,741,992,16,6,7,3,6,3,"20,491"
5-Nov-03,"5,680","3,090","2,055","1,919","1,543",88,72,96,92,66,71,80,92,101,92,42,73,227,92,90,69,100,"2,735",248,248,250,250,245,250,249,249,247,250,249,"3,446",722,991,742,991,16,6,7,3,6,2,"20,492"
6-Nov-03,"5,674","3,086","2,085","1,907","1,526",88,72,95,81,66,71,80,92,99,92,41,72,226,92,91,69,99,"2,737",247,248,250,250,249,250,248,249,250,250,246,"3,442",721,996,735,990,16,6,7,3,6,3,"20,482"
7-Nov-03,"5,680","3,095","2,075","1,910","1,511",86,70,95,80,64,73,81,91,102,92,41,72,221,89,89,67,98,"2,743",249,250,249,251,249,250,250,249,249,250,247,"3,438",721,996,731,990,13,6,4,3,6,23,"20,494"
8-Nov-03,"5,675","3,093","2,075","1,910","1,511",86,70,95,80,64,73,81,91,102,92,41,72,221,89,89,67,98,"2,744",250,250,249,251,249,250,250,249,249,250,247,"3,438",721,996,731,990,13,6,4,3,6,23,"20,488"
9-Nov-03,"5,671","3,093","2,075","1,910","1,511",86,70,95,80,64,73,81,91,102,92,41,72,221,89,89,67,98,"2,742",250,250,248,250,249,250,250,249,249,250,247,"3,437",720,996,731,990,13,6,4,3,6,23,"20,481"
10-Nov-03,"5,662","3,051","2,101","1,936","1,526",89,71,95,80,66,74,79,91,102,92,41,72,227,92,89,69,97,"2,742",249,250,248,250,250,250,249,250,249,250,247,"3,445",722,994,740,989,16,6,7,3,6,4,"20,489"
11-Nov-03,"5,660","3,051","2,100","1,942","1,526",89,71,95,80,66,74,79,91,102,92,41,72,227,92,89,69,97,"2,742",249,250,249,250,250,250,248,250,249,250,247,"3,443",720,994,740,989,16,6,7,3,6,6,"20,492"
12-Nov-03,"5,681","3,045","2,088","1,933","1,518",90,71,95,78,66,73,79,91,102,91,40,71,227,92,88,69,95,"2,737",247,249,249,250,249,250,247,250,249,250,247,"3,439",719,993,740,987,16,6,7,3,6,7,"20,470"
13-Nov-03,"5,677","3,045","2,115","1,915","1,515",90,71,95,76,67,73,79,90,102,91,40,71,227,91,88,69,95,"2,746",248,250,250,250,248,250,250,250,250,250,250,"3,437",718,992,740,987,16,6,7,3,6,6,"20,478"
