Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,"Washington County (Open Sept 21, 2011)",Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"3,356","3,449","3,256","1,616","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,363",300,294,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,882"
28-Sep-11,"3,068","3,072","3,185","1,920","1,510",85,80,82,86,88,90,73,86,92,77,57,75,188,90,92,87,82,"3,449",247,235,224,249,224,225,221,224,285,224,224,224,168,223,252,"5,165",900,"1,359",999,"1,015",892,11,4,3,4,5,14,"21,399"
29-Sep-11,"3,061","3,068","3,196","1,929","1,526",85,83,82,86,87,91,73,92,92,79,57,75,188,89,92,87,88,"3,446",247,234,224,250,224,224,221,224,285,224,223,223,168,223,252,"5,165",899,"1,357",999,"1,018",892,11,4,3,4,5,13,"21,420"
30-Sep-11,"3,067","3,051","3,201","1,939","1,505",82,82,83,86,85,89,77,90,91,73,55,74,190,88,87,87,86,"3,449",249,233,224,250,224,224,220,224,286,224,224,223,168,224,252,"5,167",899,"1,354",997,"1,026",891,11,4,3,4,5,31,"21,426"
Avg Population,"3,168","3,256","3,293","1,958","1,576",86,86,84,89,92,91,78,89,92,81,65,81,200,92,91,90,87,"3,430",257,243,231,257,231,232,227,232,294,232,231,231,42,231,259,"5,451",930,"1,507","1,032","1,053",928,10,4,4,2,5,23,"22,171"
